id,paragraph_1,kg_1,paragraph_2,kg_2
0,"Malta is a member of both the Group on Earth Observations and UNESCO. Alejandro Ulloa, a film director and citizen of Spain, passed away in Barcelona, which shares a border with El Prat de Llobregat. Spain holds diplomatic relations with both Bulgaria and Malta and is also a member of the Universal Postal Union.","[[""Malta"", ""member_of"", ""Group_on_Earth_Observations""], [""Malta"", ""member_of"", ""UNESCO""], [""Alejandro_Ulloa"", ""citizen_of"", ""Spain""], [""Alejandro_Ulloa"", ""died_in"", ""Barcelona""], [""Barcelona"", ""shares_border_with"", ""El_Prat_de_Llobregat""], [""Spain"", ""holds_diplomatic_relations_with"", ""Bulgaria""], [""Spain"", ""holds_diplomatic_relations_with"", ""Malta""], [""Spain"", ""member_of"", ""Universal_Postal_Union""]]","Moldova is a member of the Arab Fund for Economic and Social Development and UNESCO. Paul Weston, a film director, held citizenship in Spain, where he passed away in Barcelona. Spain is a member of the Club of Rome and maintains diplomatic relations with both Bulgaria and Moldova. Additionally, Barcelona shares a border with El Prat de Llobregat.","[[""Moldova"", ""member_of"", ""Arab_Fund_for_Economic_and_Social_Development""], [""Moldova"", ""member_of"", ""UNESCO""], [""Paul_Weston"", ""citizen_of"", ""Spain""], [""Paul_Weston"", ""died_in"", ""Barcelona""], [""Barcelona"", ""shares_border_with"", ""El_Prat_de_Llobregat""], [""Spain"", ""holds_diplomatic_relations_with"", ""Bulgaria""], [""Spain"", ""holds_diplomatic_relations_with"", ""Moldova""], [""Spain"", ""member_of"", ""Club_of_Rome""]]"
1,"Taiwan maintains diplomatic relations with several countries, including Saint Lucia, Niue, and Andorra. Additionally, Peru is a member of both the United Nations and Interpol, and it also has diplomatic relations with Taiwan. Saint Lucia is a member of the International Development Association, the International Finance Corporation, and UNESCO. Furthermore, Andorra holds diplomatic relations with Italy and Germany. In terms of individual professions, Christian Meier is a model and businessperson, who is a citizen of Peru.","[[""Taiwan"", ""maintains_diplomatic_relations_with"", ""Saint_Lucia""], [""Taiwan"", ""maintains_diplomatic_relations_with"", ""Niue""], [""Taiwan"", ""maintains_diplomatic_relations_with"", ""Andorra""], [""Peru"", ""is_member_of"", ""United_Nations""], [""Peru"", ""is_member_of"", ""Interpol""], [""Peru"", ""maintains_diplomatic_relations_with"", ""Taiwan""], [""Saint_Lucia"", ""is_member_of"", ""International_Development_Association""], [""Saint_Lucia"", ""is_member_of"", ""International_Finance_Corporation""], [""Saint_Lucia"", ""is_member_of"", ""UNESCO""], [""Andorra"", ""maintains_diplomatic_relations_with"", ""Italy""], [""Andorra"", ""maintains_diplomatic_relations_with"", ""Germany""], [""Christian_Meier"", ""is"", ""model""], [""Christian_Meier"", ""is"", ""businessperson""], [""Christian_Meier"", ""is_citizen_of"", ""Peru""]]","Taiwan maintains diplomatic relations with several countries, including Saint Lucia, Niue, and Andorra. Additionally, Andorra has diplomatic relations with Italy and Germany. Peru is also engaged in diplomatic relations with Taiwan and is a member of both the United Nations and Interpol. Meanwhile, Saint Lucia participates as a member of the International Development Association, the International Finance Corporation, and UNESCO. Christian Meier, a citizen of Peru, is known for his dual occupation as a model and businessperson.","[[""Taiwan"", ""maintains_diplomatic_relations_with"", ""Saint_Lucia""], [""Taiwan"", ""maintains_diplomatic_relations_with"", ""Niue""], [""Taiwan"", ""maintains_diplomatic_relations_with"", ""Andorra""], [""Andorra"", ""maintains_diplomatic_relations_with"", ""Italy""], [""Andorra"", ""maintains_diplomatic_relations_with"", ""Germany""], [""Peru"", ""maintains_diplomatic_relations_with"", ""Taiwan""], [""Peru"", ""is_member_of"", ""United_Nations""], [""Peru"", ""is_member_of"", ""Interpol""], [""Saint_Lucia"", ""is_member_of"", ""International_Development_Association""], [""Saint_Lucia"", ""is_member_of"", ""International_Finance_Corporation""], [""Saint_Lucia"", ""is_member_of"", ""UNESCO""], [""Christian_Meier"", ""is"", ""model""], [""Christian_Meier"", ""is"", ""businessperson""], [""Christian_Meier"", ""is_citizen_of"", ""Peru""]]"
2,"Richmond is located in Contra Costa County and shares borders with both El Cerrito and Albany. Additionally, San Francisco, which shares borders with Richmond and Alameda, is part of the San Francisco Bay Area. Andrew Halcro, who was born in San Francisco, is a member of the Republican Party and received his education from Willamette University.","[[""Richmond"", ""located_in"", ""Contra_Costa_County""], [""Richmond"", ""shares_borders_with"", ""El_Cerrito""], [""Richmond"", ""shares_borders_with"", ""Albany""], [""San_Francisco"", ""shares_borders_with"", ""Richmond""], [""San_Francisco"", ""shares_borders_with"", ""Alameda""], [""San_Francisco"", ""part_of"", ""San_Francisco_Bay_Area""], [""Andrew_Halcro"", ""born_in"", ""San_Francisco""], [""Andrew_Halcro"", ""member_of"", ""Republican_Party""], [""Andrew_Halcro"", ""educated_at"", ""Willamette_University""]]","Richmond is located in Contra Costa County and shares borders with both El Cerrito and Albany. Additionally, San Francisco shares borders with Richmond and Alameda, and it is part of the San Francisco Bay Area. Andrew Halcro, born in San Francisco, is a member of the Republican Party and was educated at Willamette University.","[[""Richmond"", ""located_in"", ""Contra_Costa_County""], [""Richmond"", ""shares_borders_with"", ""El_Cerrito""], [""Richmond"", ""shares_borders_with"", ""Albany""], [""San_Francisco"", ""shares_borders_with"", ""Richmond""], [""San_Francisco"", ""shares_borders_with"", ""Alameda""], [""San_Francisco"", ""part_of"", ""San_Francisco_Bay_Area""], [""Andrew_Halcro"", ""born_in"", ""San_Francisco""], [""Andrew_Halcro"", ""member_of"", ""Republican_Party""], [""Andrew_Halcro"", ""educated_at"", ""Willamette_University""]]"
3,"Germany maintains diplomatic relations with Portugal, North Korea, and Eswatini. Maxim Mehmet is a citizen of Germany, where he works as an actor and speaks German. Meanwhile, North Korea is a member of the United Nations Industrial Development Organization and the Non-Aligned Movement, and also has diplomatic relations with Singapore.","[[""Germany"", ""maintains_diplomatic_relations"", ""Portugal""], [""Germany"", ""maintains_diplomatic_relations"", ""North_Korea""], [""Germany"", ""maintains_diplomatic_relations"", ""Eswatini""], [""Maxim_Mehmet"", ""is_citizen_of"", ""Germany""], [""Maxim_Mehmet"", ""works_as"", ""actor""], [""Maxim_Mehmet"", ""speaks"", ""German""], [""North_Korea"", ""is_member_of"", ""United_Nations_Industrial_Development_Organization""], [""North_Korea"", ""is_member_of"", ""Non-Aligned_Movement""], [""North_Korea"", ""maintains_diplomatic_relations"", ""Singapore""]]","Germany maintains diplomatic relations with both Portugal and North Korea. Additionally, Germany is recognized as a country associated with Eswatini. Maxim Mehmet, an actor and citizen of Germany, is fluent in German. North Korea is a member of the United Nations Industrial Development Organization and the Non-Aligned Movement, and it also has diplomatic relations with Singapore.","[[""Germany"", ""maintains_diplomatic_relations"", ""Portugal""], [""Germany"", ""maintains_diplomatic_relations"", ""North_Korea""], [""Germany"", ""is_associated_with"", ""Eswatini""], [""Maxim_Mehmet"", ""is_citizen_of"", ""Germany""], [""Maxim_Mehmet"", ""works_as"", ""actor""], [""Maxim_Mehmet"", ""is_fluent_in"", ""German""], [""North_Korea"", ""is_member_of"", ""United_Nations_Industrial_Development_Organization""], [""North_Korea"", ""is_member_of"", ""Non-Aligned_Movement""], [""North_Korea"", ""maintains_diplomatic_relations"", ""Singapore""]]"
4,"Switzerland is a member of the Organization for Security and Co-operation in Europe and maintains diplomatic relations with South Korea and Mexico. South Korea is also a member of Interpol, the Organisation for Economic Cooperation and Development, and the Missile Technology Control Regime. Meanwhile, Mexico is a member of the International Atomic Energy Agency and has diplomatic relations with both Norway and Suriname. Norway further engages in diplomatic relations with the European Union, Malaysia, and the Democratic Republic of the Congo. Eric Weber, a politician who speaks German, holds citizenship in Switzerland. Suriname has established diplomatic relations with the People’s Republic of China.","[[""Switzerland"", ""member_of"", ""Organization_for_Security_and_Co-operation_in_Europe""], [""Switzerland"", ""diplomatic_relations"", ""South_Korea""], [""Switzerland"", ""diplomatic_relations"", ""Mexico""], [""South_Korea"", ""member_of"", ""Interpol""], [""South_Korea"", ""member_of"", ""Organisation_for_Economic_Cooperation_and_Development""], [""South_Korea"", ""member_of"", ""Missile_Technology_Control_Regime""], [""Mexico"", ""member_of"", ""International_Atomic_Energy_Agency""], [""Mexico"", ""diplomatic_relations"", ""Norway""], [""Mexico"", ""diplomatic_relations"", ""Suriname""], [""Norway"", ""diplomatic_relations"", ""European_Union""], [""Norway"", ""diplomatic_relations"", ""Malaysia""], [""Norway"", ""diplomatic_relations"", ""Democratic_Republic_of_the_Congo""], [""Eric_Weber"", ""holds_citizenship_in"", ""Switzerland""], [""Eric_Weber"", ""speaks"", ""German""], [""Suriname"", ""diplomatic_relations"", ""People’s_Republic_of_China""]]","Switzerland is a member of the Organization for Security and Co-operation in Europe, while South Korea is actively involved as a member of several international organizations, including Interpol, the Organisation for Economic Cooperation and Development, and the Missile Technology Control Regime. In addition to these affiliations, Mexico holds membership in the International Atomic Energy Agency and maintains diplomatic relations with Suriname. Suriname also has diplomatic relations with the People's Republic of China. Politically engaged, Eric Weber is a politician who speaks, writes, or uses German. Moreover, Norway fosters diplomatic relations with several entities, including the European Union, Malaysia, and the Democratic Republic of the Congo.",[]
5,"Germany maintains diplomatic relations with both Burundi and Cameroon. Additionally, Germany is a member of the World Trade Organization. Hansjoachim Walther, a mathematician and university teacher, holds German citizenship. Meanwhile, Cameroon is a member of the International Bank for Reconstruction and Development. In Burundi, French serves as an official language, and Burundi also has diplomatic relations with Taiwan.","[[""Germany"", ""maintains_diplomatic_relations_with"", ""Burundi""], [""Germany"", ""maintains_diplomatic_relations_with"", ""Cameroon""], [""Germany"", ""is_member_of"", ""World_Trade_Organization""], [""Hansjoachim_Walther"", ""holds_citizenship_of"", ""Germany""], [""Cameroon"", ""is_member_of"", ""International_Bank_for_Reconstruction_and_Development""], [""French"", ""is_official_language_of"", ""Burundi""], [""Burundi"", ""has_diplomatic_relations_with"", ""Taiwan""]]","Germany maintains diplomatic relations with both Burundi and Cameroon. Additionally, Germany is a member of the Australia Group. Hansjoachim Walther, a mathematician and university teacher, holds German citizenship. In Burundi, the official language is Middle High German, and the country also has diplomatic relations with Taiwan. Furthermore, Cameroon is a member of the International Bank for Reconstruction and Development.","[[""Germany"", ""maintains_diplomatic_relations_with"", ""Burundi""], [""Germany"", ""maintains_diplomatic_relations_with"", ""Cameroon""], [""Germany"", ""is_member_of"", ""Australia_Group""], [""Hansjoachim_Walther"", ""holds_citizenship_of"", ""Germany""], [""Cameroon"", ""is_member_of"", ""International_Bank_for_Reconstruction_and_Development""], [""Middle_High_German"", ""is_official_language_of"", ""Burundi""], [""Burundi"", ""has_diplomatic_relations_with"", ""Taiwan""]]"
6,"The United States of America maintains diplomatic relations with Saudi Arabia, New Zealand, and Croatia. New Zealand not only has diplomatic relations with Taiwan but also has Wellington as its capital and is a member of the United Nations. Croatia, which recognizes Croatian as its official language, engages in diplomatic relations with both Hungary and the Philippines. Christine Correa, a citizen of the United States of America, is employed by Columbia University and specializes in voice as her instrument.","[[""United_States_of_America"", ""maintains_diplomatic_relations"", ""Saudi_Arabia""], [""United_States_of_America"", ""maintains_diplomatic_relations"", ""New_Zealand""], [""United_States_of_America"", ""maintains_diplomatic_relations"", ""Croatia""], [""New_Zealand"", ""has_diplomatic_relations"", ""Taiwan""], [""New_Zealand"", ""has_capital"", ""Wellington""], [""New_Zealand"", ""is_member_of"", ""United_Nations""], [""Croatia"", ""has_official_language"", ""Croatian""], [""Croatia"", ""engages_in_diplomatic_relations"", ""Hungary""], [""Croatia"", ""engages_in_diplomatic_relations"", ""Philippines""], [""Christine_Correa"", ""is_citizen_of"", ""United_States_of_America""], [""Christine_Correa"", ""is_employed_by"", ""Columbia_University""], [""Christine_Correa"", ""specializes_in"", ""voice""]]","The United States of America maintains diplomatic relations with several countries, including Saudi Arabia, New Zealand, and Croatia. New Zealand, known for its capital Wellington, also shares diplomatic ties with Taiwan and is a member of the United Nations. Croatia, whose official language is Croatian, has diplomatic relations with Hungary and the Philippines. Additionally, Christine Correa, a citizen of the United States of America, is employed by Columbia University and utilizes her voice as her instrument.","[[""United_States_of_America"", ""maintains_diplomatic_relations"", ""Saudi_Arabia""], [""United_States_of_America"", ""maintains_diplomatic_relations"", ""New_Zealand""], [""United_States_of_America"", ""maintains_diplomatic_relations"", ""Croatia""], [""New_Zealand"", ""has_diplomatic_ties"", ""Taiwan""], [""New_Zealand"", ""has_capital"", ""Wellington""], [""New_Zealand"", ""is_member_of"", ""United_Nations""], [""Croatia"", ""has_official_language"", ""Croatian""], [""Croatia"", ""has_diplomatic_relations"", ""Hungary""], [""Croatia"", ""has_diplomatic_relations"", ""Philippines""], [""Christine_Correa"", ""is_citizen_of"", ""United_States_of_America""], [""Christine_Correa"", ""is_employed_by"", ""Columbia_University""], [""Christine_Correa"", ""utilizes"", ""voice""]]"
7,"Franz Peter Wirth is a screenwriter and film director who holds citizenship in Germany. Germany maintains diplomatic relations with both the Marshall Islands and Finland, and it is a member of the United Nations Industrial Development Organization. The Marshall Islands shares a border with Nauru and has diplomatic relations with Palau, while also being a member of the Alliance of Small Island States. Furthermore, Finland is a member of the Arctic Council.","[[""Franz_Peter_Wirth"", ""holds_citizenship_in"", ""Germany""], [""Germany"", ""maintains_diplomatic_relations_with"", ""Marshall_Islands""], [""Germany"", ""maintains_diplomatic_relations_with"", ""Finland""], [""Germany"", ""is_member_of"", ""United_Nations_Industrial_Development_Organization""], [""Marshall_Islands"", ""shares_border_with"", ""Nauru""], [""Marshall_Islands"", ""has_diplomatic_relations_with"", ""Palau""], [""Marshall_Islands"", ""is_member_of"", ""Alliance_of_Small_Island_States""], [""Finland"", ""is_member_of"", ""Arctic_Council""]]","Franz Peter Wirth is a screenwriter and film director who holds citizenship in Germany. Germany has diplomatic relations with both the Marshall Islands and Finland, and it is also a member of the United Nations Industrial Development Organization. The Marshall Islands shares a border with Nauru and has diplomatic relations with Palau. Additionally, the Marshall Islands is a member of the Alliance of Small Island States, while Finland is a member of the Arctic Council.","[[""Franz_Peter_Wirth"", ""holds_citizenship_in"", ""Germany""], [""Germany"", ""has_diplomatic_relations_with"", ""Marshall_Islands""], [""Germany"", ""has_diplomatic_relations_with"", ""Finland""], [""Germany"", ""is_member_of"", ""United_Nations_Industrial_Development_Organization""], [""Marshall_Islands"", ""shares_border_with"", ""Nauru""], [""Marshall_Islands"", ""has_diplomatic_relations_with"", ""Palau""], [""Marshall_Islands"", ""is_member_of"", ""Alliance_of_Small_Island_States""], [""Finland"", ""is_member_of"", ""Arctic_Council""]]"
8,"Ivan Savvidi is a businessperson who holds citizenship in Greece and speaks Russian. Greece maintains diplomatic relations with several countries, including the People's Republic of China, Nigeria, and Chile. Additionally, Chile has diplomatic relations with Germany and Hungary, and it is part of Hispanic America. Nigeria is also a member of Interpol.","[[""Ivan_Savvidi"", ""is"", ""businessperson""], [""Ivan_Savvidi"", ""holds_citizenship_in"", ""Greece""], [""Ivan_Savvidi"", ""speaks"", ""Russian""], [""Greece"", ""maintains_diplomatic_relations_with"", ""People_s_Republic_of_China""], [""Greece"", ""maintains_diplomatic_relations_with"", ""Nigeria""], [""Greece"", ""maintains_diplomatic_relations_with"", ""Chile""], [""Chile"", ""has_diplomatic_relations_with"", ""Germany""], [""Chile"", ""has_diplomatic_relations_with"", ""Hungary""], [""Chile"", ""is_part_of"", ""Hispanic_America""], [""Nigeria"", ""is_member_of"", ""Interpol""]]","Ivan Savvidi is a businessperson who holds citizenship in Greece and speaks and writes in Russian. Greece maintains diplomatic relations with several countries, including the People's Republic of China, Nigeria, and Chile. Additionally, Chile has diplomatic relations with Germany and Hungary and is part of Hispanic America. Furthermore, Nigeria is a member of Interpol.","[[""Ivan_Savvidi"", ""is"", ""businessperson""], [""Ivan_Savvidi"", ""holds_citizenship_in"", ""Greece""], [""Ivan_Savvidi"", ""speaks"", ""Russian""], [""Ivan_Savvidi"", ""writes_in"", ""Russian""], [""Greece"", ""maintains_diplomatic_relations_with"", ""People_s_Republic_of_China""], [""Greece"", ""maintains_diplomatic_relations_with"", ""Nigeria""], [""Greece"", ""maintains_diplomatic_relations_with"", ""Chile""], [""Chile"", ""has_diplomatic_relations_with"", ""Germany""], [""Chile"", ""has_diplomatic_relations_with"", ""Hungary""], [""Chile"", ""is_part_of"", ""Hispanic_America""], [""Nigeria"", ""is_member_of"", ""Interpol""]]"
9,"Julius Tandler was a physician and politician who held citizenship in Austria. Austria maintains diplomatic relations with several countries, including Japan and Bangladesh, and is a member of the Australia Group. Bangladesh, for its part, has diplomatic relations with Papua New Guinea and is a member of both Interpol and the International Finance Corporation. Additionally, Japan enjoys diplomatic relations with Greece, Armenia, and Algeria. Notably, Armenia shares a border with the Nakhchivan Autonomous Republic.","[[""Julius_Tandler"", ""held_citizenship_in"", ""Austria""], [""Austria"", ""maintains_diplomatic_relations_with"", ""Japan""], [""Austria"", ""maintains_diplomatic_relations_with"", ""Bangladesh""], [""Austria"", ""is_member_of"", ""Australia_Group""], [""Bangladesh"", ""maintains_diplomatic_relations_with"", ""Papua_New_Guinea""], [""Bangladesh"", ""is_member_of"", ""Interpol""], [""Bangladesh"", ""is_member_of"", ""International_Finance_Corporation""], [""Japan"", ""maintains_diplomatic_relations_with"", ""Greece""], [""Japan"", ""maintains_diplomatic_relations_with"", ""Armenia""], [""Japan"", ""maintains_diplomatic_relations_with"", ""Algeria""], [""Armenia"", ""shares_border_with"", ""Nakhchivan_Autonomous_Republic""]]","Julius Tandler was a physician and politician who held Austrian citizenship. Austria has diplomatic relations with Japan and Bangladesh, and it is a member of the Australia Group. Conversely, Bangladesh maintains diplomatic relations with Papua New Guinea and is a member of both Interpol and the International Finance Corporation. Japan also has diplomatic relations with Greece, Armenia, and Algeria. Additionally, Armenia shares a border with the Nakhchivan Autonomous Republic.","[[""Julius_Tandler"", ""held_citizenship_in"", ""Austria""], [""Austria"", ""has_diplomatic_relations_with"", ""Japan""], [""Austria"", ""has_diplomatic_relations_with"", ""Bangladesh""], [""Austria"", ""is_member_of"", ""Australia_Group""], [""Bangladesh"", ""maintains_diplomatic_relations_with"", ""Papua_New_Guinea""], [""Bangladesh"", ""is_member_of"", ""Interpol""], [""Bangladesh"", ""is_member_of"", ""International_Finance_Corporation""], [""Japan"", ""has_diplomatic_relations_with"", ""Greece""], [""Japan"", ""has_diplomatic_relations_with"", ""Armenia""], [""Japan"", ""has_diplomatic_relations_with"", ""Algeria""], [""Armenia"", ""shares_border_with"", ""Nakhchivan_Autonomous_Republic""]]"
