id,paragraph_1,paragraph_2,kg_1,kg_2,kea_similarity,transe_similarity,rotate_similarity,wl_kernel_similarity,aa_kea_similarity,snea_bert_alpha_0.0,snea_bert_alpha_0.1,snea_bert_alpha_0.2,snea_bert_alpha_0.3,snea_bert_alpha_0.4,snea_bert_alpha_0.5,snea_bert_alpha_0.6,snea_bert_alpha_0.7,snea_bert_alpha_0.8,snea_bert_alpha_0.9,snea_bert_alpha_1.0_SNEA_alone,kea_bert_similarity,semantic_wl_similarity
0,Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 22 mm suggests a good outcome from lithotripsy.,reduced Infundibular tallness could be a full measuring tool for deciding which individuals with abject calyceal lithiasis would benefit from SWL intervention. Height of less than 22 mm suggests a full finding from lithotripsy.,"[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""benefit_from"", ""SWL_treatment""], [""Lower_Infundibular_height"", ""measured_as"", ""less_than_22_mm""], [""less_than_22_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""result_of"", ""lithotripsy""], [""SWL_treatment"", ""same_as"", ""lithotripsy""], [""patients"", ""have"", ""lower_calyceal_lithiasis""]]","[[""reduced_Infundibular_tallness"", ""used_for"", ""deciding_individuals""], [""deciding_individuals"", ""benefit_from"", ""SWL_intervention""], [""reduced_Infundibular_tallness"", ""measured_as"", ""less_than_22_mm""], [""less_than_22_mm"", ""suggests"", ""full_finding""], [""full_finding"", ""result_of"", ""lithotripsy""], [""SWL_intervention"", ""same_as"", ""lithotripsy""], [""individuals"", ""have"", ""abject_calyceal_lithiasis""]]",0.47619047619047616,0.0,0.35914158821105957,0.14583333333333334,0.5625,0.8773907966021744,0.845901716941957,0.8144126372817396,0.782923557621522,0.7514344779613046,0.7199453983010873,0.6884563186408698,0.6569672389806523,0.6254781593204348,0.5939890796602174,0.5625,0.8349908375336892,0.8848136583782668
1,Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 22 mm suggests a good outcome from lithotripsy.,Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 9 mm suggests a good outcome from lithotripsy.,"[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""benefit_from"", ""SWL_treatment""], [""patients"", ""have"", ""lower_calyceal_lithiasis""], [""Lower_Infundibular_height"", ""measure"", ""less_than_22_mm""], [""less_than_22_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""result_of"", ""lithotripsy""]]","[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""benefit_from"", ""SWL_treatment""], [""patients"", ""have"", ""lower_calyceal_lithiasis""], [""Lower_Infundibular_height"", ""measure"", ""less_than_9_mm""], [""less_than_9_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""result_of"", ""lithotripsy""]]",1.0,0.9855677485466003,0.978195309638977,0.7708333333333334,1.0,0.9879928770387051,0.9891935893348346,0.9903943016309642,0.9915950139270935,0.9927957262232231,0.9939964385193525,0.995197150815482,0.9963978631116115,0.997598575407741,0.9987992877038705,1.0,0.9867750224402362,0.9942245781115584
2,Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 22 mm suggests a good outcome from lithotripsy.,Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. a good outcome from lithotripsy suggests Height of less than 22 mm.,"[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""have"", ""lower_calyceal_lithiasis""], [""lower_calyceal_lithiasis"", ""treated_with"", ""SWL_treatment""], [""SWL_treatment"", ""benefits_from"", ""Lower_Infundibular_height""], [""Lower_Infundibular_height"", ""less_than"", ""22_mm""], [""22_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""from"", ""lithotripsy""]]","[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""have"", ""lower_calyceal_lithiasis""], [""lower_calyceal_lithiasis"", ""treated_with"", ""SWL_treatment""], [""SWL_treatment"", ""benefits_from"", ""Lower_Infundibular_height""], [""Lower_Infundibular_height"", ""less_than"", ""22_mm""], [""22_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""from"", ""lithotripsy""]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999846457366
3,Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 22 mm suggests a good outcome from lithotripsy.,"The great majority of U.S. renal transplant centers will not transplant kidneys to HIV-infected patients with end-stage renal disease, even if their infection is asymptomatic. However, advances in the management of HIV infection and a review of relevant ethical issues suggest that this approach should be reconsidered.","[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""benefit_from"", ""SWL_treatment""], [""Lower_Infundibular_height"", ""measurement_tool"", ""lithiasis""], [""Height_less_than_22mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""result_of"", ""lithotripsy""]]","[[""U.S._renal_transplant_centers"", ""will_not_transplant"", ""HIV_infected_patients""], [""HIV_infected_patients"", ""have"", ""end_stage_renal_disease""], [""end_stage_renal_disease"", ""treated_with"", ""renal_transplant""], [""U.S._renal_transplant_centers"", ""reconsider_approach"", ""HIV_infection_management""], [""HIV_infection_management"", ""advances_in"", ""treatment""], [""ethical_issues"", ""reviewed"", ""renal_transplant""], [""renal_transplant"", ""considered_for"", ""HIV_infected_patients""]]",0.0,0.0,0.0,0.0,0.0,0.2948497296086657,0.2653647566477991,0.23587978368693255,0.20639481072606597,0.1769098377651994,0.14742486480433284,0.11793989184346627,0.08845491888259972,0.05896994592173312,0.02948497296086656,0.0,0.2728436758369356,0.33389168214265763
4,"Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","Among HBR individuals with static or precarious coronary artery condition, E-ZES nidation provides superscript efficaciousness and refuge as compared with established BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).",[],[],,,,,,,,,,,,,,,,,,
5,"Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-ESCC in Uncertain DES Candidates [ZEUS]; NCT01385319).","[[""E-ZES"", ""provides"", ""superior_efficacy""], [""E-ZES"", ""provides"", ""superior_safety""], [""E-ZES"", ""compared_to"", ""conventional_BMS""], [""HBR_patients"", ""have"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""have"", ""unstable_coronary_artery_disease""], [""E-ZES_implantation"", ""performed_in"", ""HBR_patients""], [""ZEUS"", ""investigates"", ""E-ZES_implantation""], [""ZEUS"", ""identified_by"", ""NCT01385319""]]","[[""E-ZES"", ""provides"", ""superior_efficacy""], [""E-ZES"", ""provides"", ""superior_safety""], [""E-ZES"", ""compared_to"", ""conventional_BMS""], [""HBR_patients"", ""have"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""have"", ""unstable_coronary_artery_disease""], [""E-ZES_implantation"", ""performed_in"", ""HBR_patients""], [""ZEUS"", ""investigates"", ""E-ZES_implantation""], [""ZEUS"", ""identified_by"", ""NCT01385319""], [""Zotarolimus-ESCC"", ""used_in"", ""ZEUS""]]",1.0,0.7184228897094727,0.9618879556655884,0.7627700713964738,1.0,0.999999997798855,0.9999999980189694,0.9999999982390839,0.9999999984591985,0.999999998679313,0.9999999988994275,0.999999999119542,0.9999999993396564,0.999999999559771,0.9999999997798855,1.0,0.9999999666213972,0.9909633746524836
6,"Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","Among HBR patients with stable or unstable coronary artery disease, superior efficacy and safety provides E-ZES implantation as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","[[""HBR_patients"", ""have"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""have"", ""unstable_coronary_artery_disease""], [""E-ZES_implantation"", ""provides"", ""superior_efficacy""], [""E-ZES_implantation"", ""provides"", ""superior_safety""], [""E-ZES_implantation"", ""compared_with"", ""conventional_BMS""], [""ZEUS"", ""investigate"", ""E-ZES_implantation""], [""ZEUS"", ""identified_by"", ""NCT01385319""]]","[[""HBR_patients"", ""have"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""have"", ""unstable_coronary_artery_disease""], [""E-ZES_implantation"", ""provides"", ""superior_efficacy""], [""E-ZES_implantation"", ""provides"", ""superior_safety""], [""E-ZES_implantation"", ""compared_with"", ""conventional_BMS""], [""ZEUS"", ""investigate"", ""E-ZES_implantation""], [""ZEUS"", ""identified_by"", ""NCT01385319""]]",1.0,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999984956923,1.0
7,"Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","Liquid-based preparations performed significantly better in urinary cytology challenges when evaluating malignant categories in the College of American Pathologists interlaboratory comparison program. The liquid-based preparation challenges also performed better for the exact reference interpretation of HGUCA, but no difference was observed for adenocarcinoma challenges. Cytotechnologists perform better than pathologists for all slide types, as well as those demonstrating HGUCA. These results suggest that liquid-based preparations facilitate a more accurate diagnosis than conventional preparations.","[[""HBR_patients"", ""had"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""had"", ""unstable_coronary_artery_disease""], [""E-ZES"", ""provides"", ""superior_efficacy""], [""E-ZES"", ""provides"", ""superior_safety""], [""E-ZES"", ""compared_to"", ""conventional_BMS""], [""ZEUS"", ""studied"", ""E-ZES""], [""ZEUS"", ""identified_by"", ""NCT01385319""]]","[[""liquid-based_preparations"", ""performed_better_in"", ""urinary_cytology_challenges""], [""urinary_cytology_challenges"", ""evaluated"", ""malignant_categories""], [""malignant_categories"", ""part_of"", ""College_of_American_Pathologists_interlaboratory_comparison_program""], [""liquid-based_preparation_challenges"", ""performed_better_for"", ""HGUCA""], [""cytotechnologists"", ""performed_better_than"", ""pathologists""], [""cytotechnologists"", ""performed_better_for"", ""HGUCA""], [""liquid-based_preparations"", ""facilitate"", ""accurate_diagnosis""], [""liquid-based_preparations"", ""compared_to"", ""conventional_preparations""]]",0.0,0.0,0.08950386941432953,0.0,0.0,0.379357461421567,0.34142171527941034,0.3034859691372536,0.2655502229950969,0.2276144768529402,0.1896787307107835,0.1517429845686268,0.11380723842647011,0.07587149228431339,0.037935746142156695,0.0,0.3656248610179346,0.42083021291033224
8,"Postcontrast synovial SIs showed high correlation between half dose and full dose, and image quality was rated identically. Therefore, half-dose gadobenate dimeglumine at 3-T MR imaging may be sufficient for assessing synovitis or tenosynovitis in early RA.","Postcontrast synovial SIs showed eminent correlativity between half dosage and full dose, and persona caliber was rated identically. Therefore, half-dose gadobenate dimeglumine at 3-T MR imaging may be sufficient for assessing synovitis or tendosynovitis in former RA.","[[""half_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""full_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""postcontrast_synovial_SIs"", ""show"", ""high_correlation""], [""half_dose_gadobenate_dimeglumine"", ""correlated_with"", ""full_dose_gadobenate_dimeglumine""], [""image_quality"", ""rated"", ""identically""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tenosynovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_for"", ""early_RA""]]","[[""half_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""full_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""postcontrast_synovial_SIs"", ""show"", ""eminent_correlativity""], [""half_dose_gadobenate_dimeglumine"", ""correlated_with"", ""full_dose_gadobenate_dimeglumine""], [""persona_caliber"", ""rated"", ""identically""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tendosynovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_for"", ""former_RA""]]",0.6851851851851852,0.7987739443778992,0.8671260476112366,0.43333333333333335,0.7166666666666667,0.9738122343343969,0.9480976775676239,0.9223831208008508,0.8966685640340778,0.8709540072673048,0.8452394505005318,0.8195248937337587,0.7938103369669858,0.7680957802002126,0.7423812234334397,0.7166666666666667,0.8931273004244635,0.9474651547946822
9,"Postcontrast synovial SIs showed high correlation between half dose and full dose, and image quality was rated identically. Therefore, half-dose gadobenate dimeglumine at 3-T MR imaging may be sufficient for assessing synovitis or tenosynovitis in early RA.","Postcontrast synovial SIs showed high correlation between half dose and full dose, and image quality was rated identically. Therefore, half-dose gadobenate dimeglumine at 1-T MR imaging may be sufficient for assessing synovitis or tenosynovitis in early RA.","[[""postcontrast_synovial_SIs"", ""show"", ""high_correlation""], [""high_correlation"", ""between"", ""half_dose""], [""high_correlation"", ""between"", ""full_dose""], [""image_quality"", ""rated_identically"", ""half_dose""], [""image_quality"", ""rated_identically"", ""full_dose""], [""half_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tenosynovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_in"", ""early_RA""]]","[[""postcontrast_synovial_SIs"", ""show"", ""high_correlation""], [""high_correlation"", ""between"", ""half_dose""], [""high_correlation"", ""between"", ""full_dose""], [""image_quality"", ""rated_identically"", ""half_dose""], [""image_quality"", ""rated_identically"", ""full_dose""], [""half_dose_gadobenate_dimeglumine"", ""used_at"", ""1-T_MR_imaging""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tenosynovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_in"", ""early_RA""]]",1.0,0.9139541387557983,0.9741922616958618,0.8166666666666667,1.0,0.9997263070987383,0.9997536763888645,0.9997810456789906,0.9998084149691169,0.999835784259243,0.9998631535493692,0.9998905228394953,0.9999178921296215,0.9999452614197477,0.9999726307098739,1.0,0.9972614692739614,0.9988594814847344
