id,paragraph_1,kg_1,paragraph_2,kg_2
0,let me remind you that our allies include fervent supporters of this tax .,"[[""our_allies"", ""include"", ""fervent_supporters_of_this_tax""]]","i insist on reminding you that among our allies , there are devotees of this tax .","[[""our_allies"", ""include"", ""devotees_of_this_tax""], [""devotees_of_this_tax"", ""support"", ""this_tax""], [""our_allies"", ""have"", ""devotees_of_this_tax""]]"
1,"provide with rails , as by laying .","[[""rails"", ""provided_by"", ""TEXT_1""], [""TEXT_1"", ""method"", ""laying""]]",provide with rails .,"[[""rails"", ""provided_by"", ""TEXT_2""]]"
2,personnel casualty,"[[""personnel"", ""type_of"", ""casualty""]]",military personnel lost by death or capture .,"[[""military_personnel"", ""lost_by"", ""death""], [""military_personnel"", ""lost_by"", ""capture""]]"
3,this gross error is leading russia to political ruin .,"[[""gross_error"", ""leading_to"", ""Russia""], [""gross_error"", ""causing"", ""political_ruin""], [""Russia"", ""experiencing"", ""political_ruin""]]",and this serious error is taking to russia to its ruin policy .,"[[""serious_error"", ""taking_to"", ""Russia""], [""serious_error"", ""causing"", ""ruin_policy""], [""Russia"", ""experiencing"", ""ruin_policy""]]"
4,it has a margin of error of plus or minus 4 percentage points .,"[[""it"", ""has_margin_of_error"", ""plus_or_minus_4_percentage_points""]]",that poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points .,"[[""that_poll"", ""had_number_of_voters"", ""712_likely_voters""], [""that_poll"", ""has_sampling_error"", ""plus_or_minus_3.7_percentage_points""]]"
5,the processing or operation of something,"[[""something"", ""processed_by"", ""operation""], [""something"", ""operated_by"", ""processing""]]","a set sequence of steps , part of larger computer program .","[[""sequence_of_steps"", ""part_of"", ""computer_program""], [""computer_program"", ""contains"", ""sequence_of_steps""], [""sequence_of_steps"", ""defined_as"", ""set_sequence""]]"
6,a measurable or quantitative decrease,[],a sudden sharp decrease in some quantity .,"[[""sudden_sharp_decrease"", ""characterized_by"", ""quantitative_decrease""], [""sudden_sharp_decrease"", ""affects"", ""some_quantity""]]"
7,"earlier this month , rim had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share .","[[""RIM"", ""expected_to_report"", ""second-quarter_earnings""], [""second-quarter_earnings"", ""range"", ""7_cents_to_11_cents_a_share""]]",excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share .,"[[""company"", ""expected"", ""loss""], [""loss"", ""range"", ""1_to_4_cents_a_share""], [""loss"", ""excludes"", ""legal_fees""], [""loss"", ""excludes"", ""other_charges""]]"
8,"maddox , 87 , cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery , virginia carnes said .","[[""Maddox"", ""age"", ""87""], [""Maddox"", ""injured"", ""two_ribs""], [""Maddox"", ""fell_at"", ""assisted_living_home""], [""Maddox"", ""recovering_from"", ""intestinal_surgery""], [""assisted_living_home"", ""type_of"", ""home""], [""Maddox"", ""spoken_about_by"", ""Virginia_Carnes""], [""Maddox"", ""incident_occurred"", ""10_days_ago""]]","maddox , who had battled cancer since 1983 , cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery .","[[""Maddox"", ""had_condition"", ""cancer""], [""Maddox"", ""battled_cancer_since"", ""1983""], [""Maddox"", ""injured"", ""two_ribs""], [""Maddox"", ""fell_at"", ""assisted_living_home""], [""Maddox"", ""recovering_from"", ""surgery""], [""assisted_living_home"", ""type_of"", ""home""], [""Maddox"", ""incident_occurred"", ""earlier_this_month""]]"
9,a man shooting a car .,"[[""man"", ""shooting"", ""car""]]",a man is cutting a potato .,"[[""man"", ""cutting"", ""potato""]]"
10,"we don 't know if any will be sars , "" said dr. james young , ontario 's commissioner of public safety .","[[""Dr._James_Young"", ""said"", ""we_dont_know_if_any_will_be_sars""], [""Dr._James_Young"", ""occupation"", ""commissioner_of_public_safety""], [""Dr._James_Young"", ""affiliated_with"", ""Ontario""]]",""" we 're being hyper-vigilant , "" said dr. james young , ontario 's commissioner of public safety .","[[""Dr._James_Young"", ""said"", ""were_being_hyper-vigilant""], [""Dr._James_Young"", ""occupation"", ""commissioner_of_public_safety""], [""Dr._James_Young"", ""affiliated_with"", ""Ontario""]]"
11,"unfortunately , others separate on the basis of accumulated hatred .","[[""others"", ""separate_on_basis_of"", ""accumulated_hatred""], [""others"", ""separate"", ""unfortunately""]]",other separate unfortunately because of an accumulated resentment .,"[[""other"", ""separate_because_of"", ""accumulated_resentment""], [""other"", ""separate"", ""unfortunately""]]"
12,a man is playing keyboard .,"[[""man"", ""playing"", ""keyboard""]]",a person is playing a piano .,"[[""person"", ""playing"", ""piano""]]"
13,a man is folding paper .,"[[""man"", ""is_folding"", ""paper""]]",a woman is slicing a pepper .,"[[""woman"", ""is_slicing"", ""pepper""]]"
14,a plane is landing .,"[[""plane"", ""is_landing"", ""True""]]",a animated airplane is landing .,"[[""animated_airplane"", ""is_landing"", ""True""]]"
15,a cat rapidly swats a kid in the head .,"[[""cat"", ""swats"", ""kid""], [""kid"", ""located_in"", ""head""], [""cat"", ""acts_on"", ""head""], [""kid"", ""receives_action_from"", ""cat""]]",a cat and a boy play together .,"[[""cat"", ""plays_with"", ""boy""], [""cat"", ""interacts_with"", ""boy""], [""boy"", ""plays_with"", ""cat""]]"
16,the who experts didn 't say how many cases in hebei were in rural areas .,"[[""WHO_experts"", ""did_not_say"", ""number_of_cases_in_rural_areas""], [""Hebei"", ""location_of"", ""rural_areas""], [""cases"", ""located_in"", ""rural_areas""], [""WHO_experts"", ""commented_on"", ""Hebei""]]","hebei has reported 191 cases and eight deaths , though the who experts did not say how many were in rural areas .","[[""Hebei"", ""reported"", ""191_cases""], [""Hebei"", ""reported"", ""eight_deaths""], [""WHO_experts"", ""did_not_say"", ""number_of_cases_in_rural_areas""], [""Hebei"", ""location_of"", ""rural_areas""], [""cases"", ""located_in"", ""rural_areas""], [""WHO_experts"", ""commented_on"", ""Hebei""]]"
17,iraq 's economy was ravaged during years of u.n. sanctions over ex-president saddam hussein 's 1990 occupation of kuwait and by the u.s.-led war to oust him which ended in april .,"[[""Iraq"", ""economy_ravaged_by"", ""U.N._sanctions""], [""U.N._sanctions"", ""imposed_during"", ""Saddam_Husseinoccupation_of_Kuwait""], [""Saddam_Hussein"", ""occupation_of"", ""Kuwait""], [""Kuwait"", ""occupation_by"", ""Saddam_Hussein""], [""Saddam_Hussein"", ""ex-president_of"", ""Iraq""], [""Iraq"", ""economy_ravaged_by"", ""U.S.-led_war""], [""U.S.-led_war"", ""ended_in"", ""April""], [""U.S.-led_war"", ""aimed_to_oust"", ""Saddam_Hussein""]]",iraq 's economy was shattered under former president saddam hussein and by the u.s.-led war to oust him which ended in april .,"[[""Iraq"", ""economy_shattered_by"", ""Saddam_Hussein""], [""Iraq"", ""economy_shattered_by"", ""U.S.-led_war""], [""Saddam_Hussein"", ""former_president_of"", ""Iraq""], [""U.S.-led_war"", ""ended_in"", ""April""], [""U.S.-led_war"", ""aimed_to_oust"", ""Saddam_Hussein""]]"
18,let me remind you that our allies include fervent supporters of this tax .,"[[""allies"", ""include"", ""fervent_supporters""], [""fervent_supporters"", ""support"", ""tax""]]","i would like to remind you that among our allies , there are ardent supporters of this tax .","[[""allies"", ""include"", ""ardent_supporters""], [""ardent_supporters"", ""support"", ""tax""]]"
19,have unlawful sex with a prostitute,"[[""unlawful_sex"", ""involves"", ""prostitute""]]",have unlawful sex with a whore .,"[[""unlawful_sex"", ""involves"", ""whore""]]"
