row_id,sentence1,sentence2,kg1,kg2,aa_kea_similarity
0,But other sources close to the sale said Vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up.,But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two.,"[['Vivendi','sale', '_'], ['Vivendi', 'consider', 'further_bids'], ['Vivendi', 'hopes', 'interested_bidders'], ['interested_bidders', 'teamUp', '_']]",[],0.0
1,Micron has declared its first quarterly profit for three years.,Micron's numbers also marked the first quarterly profit in three years for the DRAM manufacturer.,"[['Micron', 'declaredProfit', 'First_quarterly_profit_in_three_years']]","[['Micron', 'firstQuarterlyProfit', 'DRAM_manufacturer']]",0.08333333333333333
2,The fines are part of failed Republican efforts to force or entice the Democrats to return.,"Perry said he backs the Senate's efforts, including the fines, to force the Democrats to return.","[['Republican_efforts', 'type', 'Force_or_entice'], ['Republican_efforts', 'target', 'Democrats'], ['Democrats', 'action', 'Return']]","[['Perry','supports', 'Senate_efforts'], ['Senate_efforts', 'target', 'Democrats'], ['Democrats', 'action','return']]",0.6254627916220946
3,"The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate group.","The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate province in North America because of last week's actions.","[['American_Anglican_Council','represents', 'Episcopalian_conservatives'], ['American_Anglican_Council', 'action','seek_authorization'], ['American_Anglican_Council', 'groupType', 'Separate_group']]","[['American_Anglican_Council','represents', 'Episcopalian_conservatives'], ['American_Anglican_Council', 'action','seek_authorization'], ['American_Anglican_Council', 'goal', 'create_separate_province'], ['American_Anglican_Council', 'location', 'North_America'], ['Episcopalian_conservatives','religious_affiliation', 'Anglican']]",0.5416666666666666
4,"The tech-loaded Nasdaq composite rose 20.96 points to 1595.91, ending at its highest level for 12 months.","The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.","[['Nasdaq_composite', 'changeInPoints', '20.96'], ['Nasdaq_composite', 'currentLevel', '1595.91']]","[['Nasdaq_Composite_Index', 'changeInPoints', '19.11'], ['Nasdaq_Composite_Index', 'changePercentage', '1.2'], ['Nasdaq_Composite_Index', 'value', '1615.02']]",0.3888888888888889
5,"Amgen shares gained 93 cents, or 1.45 percent, to $65.05 in afternoon trading on Nasdaq.",Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,"[['Amgen', 'priceChange', '1.45'], ['Amgen', 'price', '65.05'], ['Amgen','stockExchange', 'Nasdaq']]","[['Allergan','stockPrice', '78.4 (dollars)'], ['Allergan', 'location', 'New_York_Stock_Exchange'], ['Allergan','stockPriceChange', '0.14 (dollars)']]",0.0
6,U.S. prosecutors have arrested more than 130 individuals and have seized more than $17 million in a continuing crackdown on Internet fraud and abuse.,More than 130 people have been arrested and $17 million worth of property seized in an Internet fraud sweep announced Friday by three U.S. government agencies.,"[['U.S._prosecutors', 'numberOfArrests', '130'], ['U.S._prosecutors','seizedAssets', '$17_million']]","[['more than 130 people', 'numberOfPeopleArrested', ''],
 ['', 'governmentAgencies', 'Three_US_government_agencies'],
 ['', 'worth', '$17_million'],
 ['', 'propertySeized', ''],
 ['more than 130 people', 'type', 'People'],
 ['', 'agencies', 'U.S._government_agencies']]",0.3888888888888889
7,"Chavez said investigators feel confident they've got ""at least one of the fires resolved in that regard.""","Albuquerque Mayor Martin Chavez said investigators felt confident that with the arrests they had ""at least one of the fires resolved.""","[['Chavez', 'feeling', 'confident'], ['investigators', 'have', 'at least_one_fire_resolved'], ['at_least_one_fire','resolution_status','resolved']]","[['Albuquerque','mayor', 'Martin_Chavez'], ['Albuquerque', 'event', 'arrests'], ['investigators', 'feeling', 'confident'], ['investigators', 'belief', 'at_least_one_fire_resolved']]",0.5353033790313108
8,Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.,"The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said.","[['scientist', 'developedSymptoms', 'SARS'], ['scientist', 'quarantined', 'home']]","[['scientist', 'developedSymptoms', 'SARS'], ['scientist', 'quarantined', 'home']]",1.0
9,The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,The upgrade will be available as a free download for current customers with SmarNet support in January 2004.,"[['WebVPN', 'type','software_upgrade'], ['WebVPN', 'availability', 'free'], ['WebVPN', 'for', 'current_customers'], ['current_customers', 'have','support_contracts']]","[['SmarNet','support', 'current_customers'], ['current_customers', 'canDownload', 'upgrade'], ['upgrade', 'availability', 'January_2004'], ['upgrade', 'cost', 'free']]",0.29814239699997197
10,The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.,A Cuban architect was sentenced to 20 years in prison Friday for using two fake grenades to hijack a passenger plane from Cuba to Florida in April.,"[['Unknown_man', 'crime', 'using_fake_grenades'], ['Unknown_man','sentence', '20_years_in_prison'], ['Key_West', 'location', 'April']]","[['Cuban_architect', 'crime', 'plane_hijacking'], ['plane', 'origin', 'Cuba'], ['plane', 'destination', 'Florida'], ['plane','month', 'April'], ['Cuban_architect','sentence', '20_years']]",0.4
11,"Jim Williams, director of the US-VISIT project, said that by the middle of November, many arriving passengers in Atlanta will be fingerprinted and photographed.","Jim Williams, director of the US-VISIT project, said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta.","[['Jim_Williams', 'role', 'director_of_US-VISIT_project'], ['US-VISIT_project', 'process', 'fingerprinting_and_photography'], ['Atlanta', 'location','many_arriving_passengers']]","[['Jim_Williams', 'role', 'director_of_US-VISIT_project'], ['US-VISIT_project', 'activity', 'fingerprinting_and_photographing_foreign_passengers'], ['Jim_Williams', 'location', 'Atlanta']]",0.6085806194501846
