id,question,gold_answer,llm_answer,kg_gold,kg_llm,kg_context,gold_similarity,context_similarity
13,Optimal lesion assessment following acute radio frequency ablation of porcine kidney: cellular viability or histopathology?,"While RFA produces discernible histological changes acutely on H&E, these alterations are variable and patchy, and they alternate with areas of well preserved tissue. Therefore, NADH staining should always be used to assess and verify cellular death in RFA lesions. In this study no skip areas of viable cells were noted within areas of ablated tissue on NADH staining.","The optimal assessment following acute radio frequency ablation of porcine kidney depends on the specific information required. For cellular viability determination, nicotinamide adenine dinucleotide (NADH) staining is more reliable than standard hematoxylin and eosin (H&E) staining, as H&E staining may reveal focal alterations in renal tubular histology but not indicate complete cellular necrosis. However, for histopathological assessment, H&E staining provides valuable information on the extent and type of renal tissue damage. Therefore, a combination of both techniques may offer the most comprehensive assessment of RFA lesions in porcine kidneys.","[[""RFA"", ""produces"", ""histological_changes""], [""histological_changes"", ""observed_on"", ""H&E""], [""RFA"", ""affects"", ""tissue""], [""tissue"", ""has"", ""areas_of_well_preserved_tissue""], [""NADH_staining"", ""used_for"", ""assess_cellular_death""], [""NADH_staining"", ""verifies"", ""cellular_death""], [""RFA_lesions"", ""have_no"", ""skip_areas_of_viable_cells""], [""RFA_lesions"", ""verified_by"", ""NADH_staining""]]","[[""radio_frequency_ablation"", ""requires"", ""optimal_assessment""], [""optimal_assessment"", ""depends_on"", ""specific_information""], [""NADH_staining"", ""more_reliable_than"", ""H&E_staining""], [""NADH_staining"", ""used_for"", ""cellular_viability_determination""], [""H&E_staining"", ""provides"", ""information_on_tissue_damage""], [""H&E_staining"", ""used_for"", ""histopathological_assessment""], [""combination_of_NADH_and_H&E"", ""offers"", ""comprehensive_assessment""], [""RFA_lesions"", ""assessed_by"", ""combination_of_NADH_and_H&E""]]","[[""Radio_frequency_ablation"", ""used_as"", ""minimally_invasive_alternative""], [""Radio_frequency_ablation"", ""alternative_to"", ""nephrectomy""], [""nephrectomy"", ""used_for"", ""small_renal_tumors""], [""RFA"", ""investigated_for"", ""cell_viability_determination""], [""H&E_staining"", ""used_for"", ""standard_cell_viability_determination""], [""NADH_staining"", ""compared_to"", ""H&E_staining""], [""porcine_kidneys"", ""underwent"", ""RFA""], [""RFA"", ""performed_on"", ""upper_and_lower_poles""], [""RFA"", ""performed_using"", ""2_or_3_cm_protocol""], [""tissue"", ""processed_for"", ""H&E_and_NADH_staining""], [""H&E_staining"", ""reveals"", ""alterations_in_renal_tubular_histology""], [""NADH_staining"", ""shows"", ""complete_absence_of_staining""], [""NADH_staining"", ""indicates"", ""lack_of_cellular_viability""], [""RFA_lesions"", ""have"", ""well_demarcated_border_of_ablation""]]",0.47397801904652737,0.5151816085346611
45,Does lipoprotein(a) inhibit elastolysis in abdominal aortic aneurysms?,this preliminary study indicate that Lp(a) inhibit elastolysis in asymptomatic AAA.,"The significant negative correlations between serum levels of lipoprotein(a) and elastin-derived peptides, as well as the ratio of active MMP-9 to total MMP-9 in the aneurysm wall, suggest that lipoprotein(a) may inhibit elastolysis in abdominal aortic aneurysms.","[[""Lp(a)"", ""inhibit"", ""elastolysis""], [""elastolysis"", ""occur_in"", ""asymptomatic_AAA""]]","[[""lipoprotein(a)"", ""inhibit"", ""elastolysis""], [""elastolysis"", ""occur_in"", ""abdominal_aortic_aneurysms""], [""lipoprotein(a)"", ""correlated_with"", ""elastin-derived_peptides""], [""elastin-derived_peptides"", ""found_in"", ""aneurysm_wall""], [""lipoprotein(a)"", ""correlated_with"", ""ratio_of_active_MMP-9_to_total_MMP-9""], [""ratio_of_active_MMP-9_to_total_MMP-9"", ""found_in"", ""aneurysm_wall""]]","[[""Lp(a)"", ""measured_by"", ""enzyme_linked_immunosorbent_assays""], [""EDP"", ""measured_by"", ""enzyme_linked_immunosorbent_assays""], [""MMP-9_activity"", ""measured_by"", ""gelatin_zymography""], [""Lp(a)"", ""correlated_with"", ""EDP""], [""Lp(a)"", ""correlated_with"", ""active_MMP-9/total_MMP-9""], [""EDP"", ""found_in"", ""serum""], [""Lp(a)"", ""found_in"", ""serum""], [""MMP-9"", ""found_in"", ""AAA_wall""], [""patients"", ""operated_for"", ""asymptomatic_AAA""], [""patients"", ""provided"", ""preoperative_serum_samples""], [""patients"", ""provided"", ""AAA_biopsies""], [""asymptomatic_AAA"", ""characterized_by"", ""negative_association_between_Lp(a)_and_EDP""], [""asymptomatic_AAA"", ""characterized_by"", ""negative_association_between_Lp(a)_and_MMP-9_activation""], [""Spearman\""s_rho"", ""calculated_for"", ""correlation_between_Lp(a)_and_EDP""], [""Spearman\""s_rho"", ""calculated_for"", ""correlation_between_Lp(a)_and_active_MMP-9/total_MMP-9""], [""correlation_between_Lp(a)_and_EDP"", ""has_value"", ""-0.707""], [""correlation_between_Lp(a)_and_active_MMP-9/total_MMP-9"", ""has_value"", ""-0.461""]]",0.3404365185226737,0.30078037721383866
67,Is the high frequency of Caesarean sections in a highly specialized gyneco-obstetric hospital justifiable?,"The incidence of cesarean section in similar third level concentration hospitals in this country ranks from 20 to 40%. At HGO3 it was 72.51% in the last year (2001). This suggests that pregnancy comorbidity seen at this hospital, may be proportionally larger than in other similar units, because two thirds of patients had a high risk pregnancy and, if not, they had an obstetric or fetal justification for cesarean section in 80% of cases.","Based on our cross-sectional study of 300 patients who underwent cesarean sections at HGO3 during a 35-day period in 2001, the high frequency of cesarean sections can be justified due to a high incidence of prematurity (38.3%), pregestational and gestational maternal diseases (66%), and urgent indications for surgery (60.7%). These factors likely contribute to the need for cesarean sections to ensure optimal perinatal outcomes.","[[""HGO3"", ""incidence_of_cesarean_section"", ""72.51%""], [""HGO3"", ""year"", ""2001""], [""HGO3"", ""patients_with_high_risk_pregnancy"", ""two_thirds""], [""HGO3"", ""patients_with_obstetric_or_fetal_justification"", ""80%""], [""cesarean_section"", ""performed_at"", ""HGO3""], [""HGO3"", ""type_of_hospital"", ""third_level_concentration_hospital""], [""third_level_concentration_hospitals"", ""incidence_of_cesarean_section"", ""20_to_40%""]]","[[""HGO3"", ""number_of_patients"", ""300""], [""HGO3"", ""study_period"", ""35_days""], [""HGO3"", ""year"", ""2001""], [""cesarean_sections"", ""justification"", ""high_incidence_of_prematurity""], [""cesarean_sections"", ""justification"", ""pregestational_and_gestational_maternal_diseases""], [""cesarean_sections"", ""justification"", ""urgent_indications_for_surgery""], [""prematurity"", ""incidence"", ""38.3%""], [""pregestational_and_gestational_maternal_diseases"", ""incidence"", ""66%""], [""urgent_indications_for_surgery"", ""incidence"", ""60.7%""], [""cesarean_sections"", ""purpose"", ""ensure_optimal_perinatal_outcomes""]]",[],0.5527547820282729,0.0
93,Do children with ADHD and/or PDD-NOS differ in reactivity of alpha/theta ERD/ERS to manipulations of cognitive load and stimulus relevance?,"The results supply no evidence for a distinction in information processing abilities of selective attention and working memory as reflected by alpha and theta ERD/ERS between children diagnosed with either ADHD, PDD-NOS or healthy controls.","Despite the overall significant effects of cognitive load and stimulus relevance on alpha and theta ERD/ERS in the study, no significant differences were observed between children with ADHD and/or PDD-NOS and healthy controls in their reactivity to these manipulations.","[[""ADHD"", ""diagnosed_in"", ""children""], [""PDD-NOS"", ""diagnosed_in"", ""children""], [""healthy_controls"", ""compared_to"", ""children_with_ADHD""], [""healthy_controls"", ""compared_to"", ""children_with_PDD-NOS""], [""alpha_ERD/ERS"", ""reflects"", ""selective_attention""], [""alpha_ERD/ERS"", ""reflects"", ""working_memory""], [""theta_ERD/ERS"", ""reflects"", ""selective_attention""], [""theta_ERD/ERS"", ""reflects"", ""working_memory""], [""children_with_ADHD"", ""compared_to"", ""healthy_controls""], [""children_with_PDD-NOS"", ""compared_to"", ""healthy_controls""]]","[[""cognitive_load"", ""affects"", ""alpha_ERD/ERS""], [""cognitive_load"", ""affects"", ""theta_ERD/ERS""], [""stimulus_relevance"", ""affects"", ""alpha_ERD/ERS""], [""stimulus_relevance"", ""affects"", ""theta_ERD/ERS""], [""children_with_ADHD"", ""reacts_to"", ""cognitive_load""], [""children_with_ADHD"", ""reacts_to"", ""stimulus_relevance""], [""children_with_PDD-NOS"", ""reacts_to"", ""cognitive_load""], [""children_with_PDD-NOS"", ""reacts_to"", ""stimulus_relevance""], [""healthy_controls"", ""reacts_to"", ""cognitive_load""], [""healthy_controls"", ""reacts_to"", ""stimulus_relevance""], [""children_with_ADHD"", ""compared_to"", ""healthy_controls""], [""children_with_PDD-NOS"", ""compared_to"", ""healthy_controls""]]","[[""PDD-NOS"", ""diagnosed_in"", ""children""], [""ADHD"", ""diagnosed_in"", ""children""], [""PDD/HD"", ""diagnosed_in"", ""children""], [""healthy_controls"", ""compared_to"", ""children_with_PDD-NOS""], [""healthy_controls"", ""compared_to"", ""children_with_ADHD""], [""healthy_controls"", ""compared_to"", ""children_with_PDD/HD""], [""event-related_(de-)synchronization"", ""method_of"", ""ERD/ERS""], [""ERD/ERS"", ""reveals"", ""effects_of_selective_attention""], [""ERD/ERS"", ""reveals"", ""effects_of_working_memory""], [""children"", ""age"", ""8-11_years""], [""visual_selective_memory_search_task"", ""performed_by"", ""children""], [""EEG"", ""-recorded_from"", ""children""], [""occipital_alpha"", ""derived_from"", ""EEG""], [""frontal_theta"", ""derived_from"", ""EEG""], [""task_load"", ""manipulates"", ""alpha_ERD/ERS""], [""task_load"", ""manipulates"", ""theta_ERD/ERS""], [""relevance"", ""manipulates"", ""alpha_ERD/ERS""], [""relevance"", ""manipulates"", ""theta_ERD/ERS""], [""target/nontarget"", ""manipulates"", ""alpha_ERD/ERS""], [""target/nontarget"", ""manipulates"", ""theta_ERD/ERS""]]",0.5228340533004242,0.5230528955839377
109,Can individuals meet multiple physical activity and dietary behavior goals?,Those with the most goals to achieve reached the most goals.,"Based on the study, individuals assigned to the Established plus DASH group were more likely to meet multiple physical activity and dietary behavior goals at both 6 and 18 months compared to those in the Advice-Only and Established groups.","[[""Those_with_most_goals"", ""achieved"", ""most_goals""]]","[[""Established_plus_DASH_group"", ""more_likely_to_meet"", ""multiple_physical_activity_goals""], [""Established_plus_DASH_group"", ""more_likely_to_meet"", ""multiple_dietary_behavior_goals""], [""Established_plus_DASH_group"", ""compared_to"", ""Advice-Only_group""], [""Established_plus_DASH_group"", ""compared_to"", ""Established_group""], [""Established_plus_DASH_group"", ""met_goals_at"", ""6_months""], [""Established_plus_DASH_group"", ""met_goals_at"", ""18_months""]]","[[""Participants_with_most_behavioral_goals"", ""more_likely_to_meet"", ""more_goals""], [""Participants_with_fewer_goals"", ""less_likely_to_meet"", ""more_goals""], [""Eight_hundred_ten_participants"", ""assigned_to"", ""advice-only""], [""Eight_hundred_ten_participants"", ""assigned_to"", ""established_guidelines""], [""Eight_hundred_ten_participants"", ""assigned_to"", ""established_guidelines_plus_DASH""], [""Established_guidelines"", ""include"", ""reduced_sodium""], [""Established_guidelines"", ""include"", ""increased_physical_activity""], [""Established_plus_DASH"", ""include"", ""increased_fruits""], [""Established_plus_DASH"", ""include"", ""increased_vegetables""], [""Established_plus_DASH"", ""include"", ""low-fat_dairy""], [""Established_plus_DASH"", ""include"", ""reduced_fat""], [""Advice-Only"", ""percentage_met_at_least_3_goals_at_6_months"", ""11.7%""], [""Established"", ""percentage_met_at_least_3_goals_at_6_months"", ""19.3%""], [""Established_plus_DASH"", ""percentage_met_at_least_3_goals_at_6_months"", ""44.6%""], [""Established_plus_DASH"", ""percentage_met_at_least_3_goals_at_18_months"", ""33.5%""]]",0.18938122069926006,0.41508919387897086
115,Does adipose tissue cultured with collagen matrix and preadipocytes give comparable results to the standard technique in plastic surgery?,"This experimental study showed that adipose tissue engineering is feasible and gives comparable results to fat grafting. It allows a better understanding of the sequence of events following the transfer of adipose tissue. It provides not only volume but also undeniable stimulation, leading to significant thickening of the extracellular matrix.","In a study comparing adipose tissue cultured in a collagen scaffold with preadipocytes versus the standard technique in plastic surgery, both methods resulted in the formation of mature adipocytes with peripheral neovascularisation. However, the collagen scaffold seeded with preadipocytes had an abundant murine extracellular matrix, while the standard technique presented negative human anti-vimentin labelling. Further studies are needed to determine if this difference in extracellular matrix composition affects the long-term outcomes of contour defect repair.","[[""adipose_tissue_engineering"", ""is_feasible"", ""True""], [""adipose_tissue_engineering"", ""compared_to"", ""fat_grafting""], [""adipose_tissue_engineering"", ""provides"", ""volume""], [""adipose_tissue_engineering"", ""provides"", ""stimulation""], [""stimulation"", ""leads_to"", ""thickening_of_extracellular_matrix""], [""extracellular_matrix"", ""is_thickened"", ""True""]]","[[""study"", ""compared"", ""adipose_tissue_cultured_in_collagen_scaffold""], [""study"", ""compared"", ""standard_technique_in_plastic_surgery""], [""adipose_tissue_cultured_in_collagen_scaffold"", ""resulted_in"", ""mature_adipocytes""], [""standard_technique_in_plastic_surgery"", ""resulted_in"", ""mature_adipocytes""], [""collagen_scaffold"", ""had"", ""abundant_murine_extracellular_matrix""], [""standard_technique_in_plastic_surgery"", ""presented"", ""negative_human_anti-vimentin_labelling""], [""extracellular_matrix_composition"", ""affects"", ""long-term_outcomes_of_contour_defect_repair""]]","[[""contour_defect_repair"", ""is_challenge_in"", ""plastic_surgery""], [""different_filling_materials"", ""have_been_used"", ""True""], [""autologous_fat_transfer"", ""is_standard_technique"", ""True""], [""adipose_tissue_reserves"", ""are_limited"", ""True""], [""study"", ""aimed_to_compare"", ""preadipocytes_cultured_in_collagen_scaffold""], [""study"", ""aimed_to_compare"", ""adipose_tissue_transferred_by_surgical_technique""], [""preadipocytes"", ""were_implanted_in"", ""nude_mice""], [""adipose_tissue"", ""was_implanted_in"", ""nude_mice""], [""collagen_scaffold"", ""was_used_as_intermediary"", ""True""], [""tissue_fragments"", ""were_explanted_after"", ""8_weeks""], [""tissue_fragments"", ""were_analysed_after_staining"", ""True""], [""scaffold_seeded_with_preadipocytes"", ""had_macroscopic_appearance_of"", ""adipose_tissue""], [""preadipocytes"", ""were_transformed_into"", ""mature_adipocytes""], [""purified_adipose_tissue"", ""presented_peripheral_neovascularisation"", ""True""], [""abundant_murine_extracellular_matrix"", ""was_found"", ""True""], [""anti-vimentin_labelling"", ""was_negative"", ""True""]]",0.3897893520812941,0.5251454913876303
122,Changes in clinical indications for community antibiotic prescribing for children in the UK from 1996 to 2006: will the new NICE prescribing guidance on upper respiratory tract infections just be ignored?,"There has been a marked decrease in community antibiotic prescribing linked to lower respiratory tract infection, tonsillitis, pharyngitis and otitis. Overall prescribing is now increasing again but is associated with non-specific upper respiratory tract infection diagnoses. General practitioners may be avoiding using diagnoses where formal guidance suggests antibiotic prescribing is not indicated. The new NICE guidance on upper respiratory tract infections is at risk of being ignored.","The study reveals a significant decrease in antibiotic prescribing for specific upper respiratory tract infections, such as tonsillitis/pharyngitis, otitis, and lower respiratory tract infections. However, there has been a fourfold increase in prescribing for non-specific upper respiratory tract infections since 2001. The new NICE prescribing guidance on upper respiratory tract infections may not be entirely ignored, as it emphasizes the importance of considering the clinical context and the need for a definitive diagnosis before prescribing antibiotics. Nevertheless, the trend towards increased prescribing for non-specific symptoms may persist, potentially leading to overuse of antibiotics and antimicrobial resistance.","[[""community_antibiotic_prescribing"", ""linked_to"", ""lower_respiratory_tract_infection""], [""community_antibiotic_prescribing"", ""linked_to"", ""tonsillitis""], [""community_antibiotic_prescribing"", ""linked_to"", ""pharyngitis""], [""community_antibiotic_prescribing"", ""linked_to"", ""otitis""], [""overall_prescribing"", ""associated_with"", ""non-specific_upper_respiratory_tract_infection""], [""general_practitioners"", ""may_be_avoiding"", ""diagnoses""], [""NICE_guidance"", ""related_to"", ""upper_respiratory_tract_infections""], [""NICE_guidance"", ""at_risk_of_being_ignored"", ""true""]]","[[""study"", ""reveals"", ""decrease_in_antibiotic_prescribing""], [""antibiotic_prescribing"", ""decreased_for"", ""tonsillitis/pharyngitis""], [""antibiotic_prescribing"", ""decreased_for"", ""otitis""], [""antibiotic_prescribing"", ""decreased_for"", ""lower_respiratory_tract_infections""], [""antibiotic_prescribing"", ""increased_for"", ""non-specific_upper_respiratory_tract_infections""], [""NICE_prescribing_guidance"", ""emphasizes"", ""importance_of_clinical_context""], [""NICE_prescribing_guidance"", ""emphasizes"", ""need_for_definitive_diagnosis""], [""trend"", ""towards"", ""increased_prescribing_for_non-specific_symptoms""], [""increased_prescribing"", ""may_lead_to"", ""overuse_of_antibiotics""], [""increased_prescribing"", ""may_lead_to"", ""antimicrobial_resistance""]]","[[""study"", ""analyses"", ""changes_in_clinical_indications""], [""changes_in_clinical_indications"", ""related_to"", ""community_antibiotic_prescribing""], [""community_antibiotic_prescribing"", ""related_to"", ""children_in_the_UK""], [""study"", ""covers"", ""period_between_1996_and_2006""], [""IMS_Health_Mediplus_database"", ""used_for"", ""obtaining_annual_antibiotic_prescribing_rates""], [""antibiotic_prescribing"", ""declined_by"", ""24%_between_1996_and_2000""], [""antibiotic_prescribing"", ""increased_by"", ""10%_during_2003-2006""], [""antibiotic_prescriptions"", ""decreased_by"", ""31%_for_respiratory_tract_infections""], [""lower_respiratory_tract_infections"", ""decreased_by"", ""56%""], [""tonsillitis/pharyngitis"", ""decreased_by"", ""48%""], [""otitis"", ""decreased_by"", ""46%""], [""non-specific_upper_respiratory_tract_infection"", ""increased_by"", ""fourfold""], [""abnormal_signs_and_symptoms"", ""increased_by"", ""40%_since_2001""], [""NICE_guidelines"", ""related_to"", ""treatment_of_upper_respiratory_tract_infections""], [""NICE_guidelines"", ""related_to"", ""children""]]",0.623395184504938,0.48565563455522887
138,Can we use pulsed fluoroscopy to decrease the radiation dose during video fluoroscopic feeding studies in children?,Decreasing the fluoroscopic pulse rate cannot be used as a method of decreasing radiation dose during performance of video fluoroscopic studies because it will potentially result in non-detection of episodes of supraglottic penetration of liquid barium.,"Based on the findings from this study, it appears that supraglottic penetration during video fluoroscopic feeding studies in children occurs very rapidly and is often only detectable on a single image frame. Therefore, using a lower frame rate or pulsed fluoroscopy may not significantly decrease the radiation dose while increasing the risk of missing critical penetration events.","[[""decreasing_fluoroscopic_pulse_rate"", ""cannot_be_used_for"", ""decreasing_radiation_dose""], [""decreasing_fluoroscopic_pulse_rate"", ""may_result_in"", ""non-detection_of_supraglottic_penetration""], [""non-detection_of_supraglottic_penetration"", ""involves"", ""episodes_of_supraglottic_penetration_of_liquid_barium""], [""episodes_of_supraglottic_penetration_of_liquid_barium"", ""occur_during"", ""video_fluoroscopic_studies""]]","[[""supraglottic_penetration"", ""occurs_during"", ""video_fluoroscopic_feeding_studies""], [""supraglottic_penetration"", ""occurs_in"", ""children""], [""supraglottic_penetration"", ""isDetectable_on"", ""single_image_frame""], [""lower_frame_rate"", ""may_not_decrease"", ""radiation_dose""], [""pulsed_fluoroscopy"", ""may_not_decrease"", ""radiation_dose""], [""lower_frame_rate"", ""increases_risk_of"", ""missing_critical_penetration_events""], [""pulsed_fluoroscopy"", ""increases_risk_of"", ""missing_critical_penetration_events""]]","[[""ten_consecutive_children"", ""had"", ""supraglottic_penetration""], [""supraglottic_penetration"", ""occurred_during"", ""swallowing_barium""], [""ten_consecutive_children"", ""were_evaluated_in"", ""video_fluoroscopic_feeding_study""], [""video_fluoroscopic_feeding_study"", ""used"", ""pulse_rate_of_30_frames/s""], [""frame_by_frame_analysis"", ""was_performed_on"", ""first_episode_of_penetration""], [""full-depth_penetration"", ""was_seen_in"", ""one_image_frame""], [""full-depth_penetration"", ""was_seen_in"", ""two_imaging_frames""], [""seven_of_ten_patients"", ""had_full-depth_penetration_only_seen_on"", ""one_image_frame""], [""no_patient"", ""had_full-depth_penetration_seen_in"", ""more_than_two_imaging_frames""]]",0.5285113042434312,0.4592615082938835
162,Does the bonded cross-sectional surface area affect the microtensile bond strength of resin cement to glass-ceramic?,"With the increased bonded surface area, the mean microtensile bond strength of the resin cement to the feldspathic ceramic decreased.","Yes, the bonded cross-sectional surface area significantly affects the microtensile bond strength of resin cement to glass-ceramic, with larger surface areas resulting in higher bond strengths (P<0.0001). However, smaller surface areas may increase the likelihood of pre-test failures. (20 words)","[[""resin_cement"", ""bonded_to"", ""feldspathic_ceramic""], [""feldspathic_ceramic"", ""has_property"", ""mean_microtensile_bond_strength""], [""mean_microtensile_bond_strength"", ""decreases_with"", ""increased_bonded_surface_area""]]","[[""bonded_cross-sectional_surface_area"", ""affects"", ""microtensile_bond_strength""], [""microtensile_bond_strength"", ""increases_with"", ""larger_surface_areas""], [""resin_cement"", ""bonded_to"", ""glass-ceramic""], [""smaller_surface_areas"", ""increases_likelihood_of"", ""pre-test_failures""]]","[[""glass-ceramic_blocks"", ""conditioned_with"", ""hydrofluoric_acid""], [""hydrofluoric_acid"", ""has_concentration"", ""10%""], [""resin_cement"", ""applied_on"", ""treated-surface""], [""cement-ceramic_sets"", ""sectioned_to_produce"", ""specimens""], [""specimens"", ""have_bonded_areas"", ""0.7x0.7_mm""], [""specimens"", ""have_bonded_areas"", ""1x1_mm""], [""specimens"", ""have_bonded_areas"", ""1.4x1.4_mm""], [""specimens"", ""submitted_to"", ""microtensile_test""], [""microtensile_test"", ""results_affected_by"", ""bonded_surface_area""], [""bonded_surface_area"", ""has_significant_effect"", ""microtensile_bond_strength""], [""Gr1"", ""has_mean_value"", ""26.3""], [""Gr2"", ""has_mean_value"", ""20.8""], [""Gr3"", ""has_mean_value"", ""16.1""], [""bonded_surface_area"", ""has_negative_correlation_with"", ""bond_strength_results""], [""pre-test_failures"", ""more_common_with"", ""smaller_bonded_surface_area""]]",0.4830044602105792,0.5213036043258936
182,Should the elderly be resuscitated following out-of-hospital cardiac arrest?,"Resuscitation of elderly patients in whom out-of-hospital cardiac arrest occurs is reasonable and appropriate, according to the findings of this study. Even though elderly patients are more likely than younger patients to die during hospitalization, the hospital stay of the elderly is not longer, the elderly do not have more residual neurologic impairments, and survival after hospital discharge is similar to that in younger patients.","The study suggests that while there are differences in pre-arrest conditions and presenting rhythms between elderly and younger patients following out-of-hospital cardiac arrest, hospital outcomes and long-term survival are similar between the two age groups. Therefore, resuscitation efforts should be made for elderly patients as they would for younger patients.","[[""elderly_patients"", ""more_likely_to"", ""die_during_hospitalization""], [""elderly_patients"", ""have_similar"", ""hospital_stay""], [""elderly_patients"", ""have_similar"", ""residual_neurologic_impairments""], [""elderly_patients"", ""have_similar"", ""survival_after_hospital_discharge""], [""younger_patients"", ""have_similar"", ""survival_after_hospital_discharge""], [""elderly_patients"", ""comparison_group"", ""younger_patients""]]","[[""elderly_patients"", ""have_similar"", ""hospital_outcomes""], [""elderly_patients"", ""have_similar"", ""long-term_survival""], [""younger_patients"", ""have_similar"", ""hospital_outcomes""], [""younger_patients"", ""have_similar"", ""long-term_survival""], [""resuscitation_efforts"", ""should_be_made_for"", ""elderly_patients""], [""resuscitation_efforts"", ""should_be_made_for"", ""younger_patients""], [""elderly_patients"", ""comparison_group"", ""younger_patients""]]","[[""elderly_patients"", ""age_group"", ""more_than_70_years""], [""younger_patients"", ""age_group"", ""less_than_70_years""], [""study"", ""consisted_of"", ""214_consecutive_patients""], [""elderly_patients"", ""number_of_patients"", ""112""], [""younger_patients"", ""number_of_patients"", ""102""], [""elderly_patients"", ""had_history_of"", ""heart_failure""], [""younger_patients"", ""had_history_of"", ""heart_failure""], [""elderly_patients"", ""took"", ""digitalis""], [""younger_patients"", ""took"", ""digitalis""], [""elderly_patients"", ""took"", ""diuretics""], [""younger_patients"", ""took"", ""diuretics""], [""younger_patients"", ""had"", ""acute_myocardial_infarction""], [""elderly_patients"", ""had"", ""acute_myocardial_infarction""], [""younger_patients"", ""demonstrated"", ""ventricular_fibrillation""], [""elderly_patients"", ""demonstrated"", ""ventricular_fibrillation""], [""elderly_patients"", ""demonstrated"", ""electromechanical_dissociation""], [""younger_patients"", ""demonstrated"", ""electromechanical_dissociation""], [""elderly_patients"", ""had_higher"", ""hospital_deaths""], [""younger_patients"", ""had"", ""hospital_deaths""], [""elderly_patients"", ""had_similar"", ""length_of_hospitalization""], [""younger_patients"", ""had_similar"", ""length_of_hospitalization""], [""elderly_patients"", ""had_similar"", ""stay_in_intensive_care_units""], [""younger_patients"", ""had_similar"", ""stay_in_intensive_care_units""], [""elderly_patients"", ""had_similar"", ""neurologic_deaths""], [""younger_patients"", ""had_similar"", ""neurologic_deaths""], [""elderly_patients"", ""had_similar"", ""residual_neurologic_impairments""], [""younger_patients"", ""had_similar"", ""residual_neurologic_impairments""], [""elderly_patients"", ""required"", ""extended-care_facilities""], [""younger_patients"", ""required"", ""extended-care_facilities""], [""elderly_patients"", ""had_similar"", ""long-term_survival""], [""younger_patients"", ""had_similar"", ""long-term_survival""], [""hospital_survivors"", ""had"", ""65_percent_survival_at_24_months""], [""elderly_patients"", ""comparison_group"", ""younger_patients""]]",0.5343245745546886,0.5251861319862293
