row_id,sentence1,sentence2,kg1,kg2
0,A plane is taking off.,An air plane is taking off.,"[['plane', 'is_type_of', 'aircraft'], ['aircraft', 'is_type_of', 'vehicle'], ['aircraft', 'is_type_of', 'plane'], ['plane', 'is_involved_in', 'taking_off'], ['taking_off', 'is_type_of', 'event']]","[['air plane', 'is_type_of', 'aircraft'], ['aircraft', 'is_type_of', 'vehicle'], ['aircraft', 'is_type_of', 'plane'], ['air plane', 'is_involved_in', 'taking_off'], ['taking_off', 'is_type_of', 'event']]"
1,A man is playing a large flute.,A man is playing a flute.,"[['a_man', 'plays', 'large_flute']]","[['a_man', 'plays', 'flute']]"
2,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,"[['a_man', 'is_performing', 'spreading_cheese'], ['spreading_cheese', 'on', 'pizza'], ['pizza', 'is_a', 'food']]","[['a_man', 'is_performing', 'spreading_cheese'], ['spreading_cheese', 'on', 'uncooked_pizza'], ['uncooked_pizza', 'is_a', 'food']]"
3,Three men are playing chess.,Two men are playing chess.,"[['Three men', 'are playing', 'chess']]","[['Two men', 'are playing', 'chess']]"
4,A man is playing the cello.,A man seated is playing the cello.,"[['a_man', 'plays', 'cello']]","[['a_man', 'is_seated', 'true'], ['a_man', 'plays', 'cello']]"
5,Some men are fighting.,Two men are fighting.,"[['some men', 'are involved in', 'fighting'], ['fighting', 'involves', 'men']]","[['two men', 'are involved in', 'fighting'], ['fighting', 'involves', 'men'], ['men', 'are involved in', 'fighting']]"
6,A man is smoking.,A man is skating.,"[['a_man', 'is_performing', 'smoking']]","[['a_man', 'is_performing', 'skating']]"
7,The man is playing the piano.,The man is playing the guitar.,"[['man', 'plays', 'piano']]","[['man', 'plays', 'guitar']]"
8,A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,"[['man', 'plays', 'guitar'], ['guitar', 'is_a', 'musical_instrument']]","[['woman', 'plays', 'acoustic_guitar'], ['acoustic_guitar', 'is_a', 'musical_instrument']]"
9,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,[],[]
10,The man hit the other man with a stick.,The man spanked the other man with a stick.,"[['man_1', 'hit', 'man_2'], ['man_1', 'used_tool', 'stick']]","[['man_1', 'spanked', 'man_2'], ['man_1', 'used_tool', 'stick']]"
11,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,"[['woman', 'picks_up', 'baby_kangaroo']]","[['woman', 'picks_up', 'baby_kangaroo'], ['baby_kangaroo', 'is_held_by', 'woman']]"
12,A man is playing a flute.,A man is playing a bamboo flute.,"[['a_man', 'plays', 'flute']]","[['a_man', 'plays', 'bamboo_flute']]"
13,A person is folding a piece of paper.,Someone is folding a piece of paper.,"[['person', 'is_performing', 'folding'], ['person', 'is', 'someone'], ['piece_of_paper', 'is_being_folded_by', 'person'], ['piece_of_paper', 'is_a', 'paper']]","[['someone', 'is_performing', 'folding'], ['someone', 'is', 'person'], ['piece_of_paper', 'is_being_folded_by', 'someone'], ['piece_of_paper', 'is_a', 'paper']]"
14,A man is running on the road.,A panda dog is running on the road.,"[['a_man', 'is_running_on', 'road']]","[['a_panda_dog', 'is_running_on', 'road']]"
15,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,"[['dog', 'is_trying_to_get', 'bacon'], ['bacon', 'located_on', ""dog's_back""]]","[['dog', 'is_trying_to_eat', 'bacon'], ['bacon', 'located_on', ""dog's_back""]]"
16,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,"[['polar bear', 'is_sliding_on', 'snow']]","[['polar bear', 'is_sliding_across', 'snow']]"
17,A woman is writing.,A woman is swimming.,"[['woman', 'is_engaged_in', 'writing']]","[['woman', 'is_engaged_in', 'swimming']]"
18,A cat is rubbing against baby's face.,A cat is rubbing against a baby.,"[['cat', 'is_performing', 'rubbing_action'], ['rubbing_action', 'description', ""rubbing against baby's face""], ['baby', 'is_receiving', 'rubbing_action'], ['cat', 'entity_type', 'animal'], ['baby', 'entity_type', 'human']]","[['cat', 'is_performing', 'rubbing_action'], ['rubbing_action', 'description', 'rubbing against baby'], ['baby', 'is_receiving', 'rubbing_action'], ['cat', 'entity_type', 'animal'], ['baby', 'entity_type', 'human']]"
19,The man is riding a horse.,A man is riding on a horse.,"[['man', 'is riding on', 'horse']]","[['man', 'is riding on', 'horse']]"
20,A man pours oil into a pot.,A man pours wine in a pot.,"[['A man', 'pours', 'oil'], ['oil', 'used_for', 'cooking']]","[['A man', 'pours', 'wine'], ['wine', 'used_for', 'drinking']]"
21,A man is playing a guitar.,A girl is playing a guitar.,"[['man', 'plays', 'guitar']]","[['girl', 'plays', 'guitar']]"
22,A panda is sliding down a slide.,A panda slides down a slide.,"[['panda', 'slides_down', 'slide']]","[['panda', 'slides', 'slide']]"
23,A woman is eating something.,A woman is eating meat.,"[['woman', 'is_eating', 'food']]","[['woman', 'is_eating', 'meat']]"
24,A woman peels a potato.,A woman is peeling a potato.,"[['A woman', 'performs_action', 'peels_potato'], ['peels_potato', 'is_action_performed_on', 'potato']]","[['A woman', 'performs_action', 'peels_potato'], ['peels_potato', 'is_action_performed_on', 'potato']]"
25,The boy fell off his bike.,A boy falls off his bike.,"[['boy', 'fell_off', 'bike']]","[['boy', 'falls_off', 'bike']]"
26,The woman is playing the flute.,A woman is playing a flute.,"[['woman', 'plays', 'flute']]","[['woman', 'plays', 'flute']]"
27,A rabbit is running from an eagle.,A hare is running from a eagle.,"[['rabbit', 'is_running_from', 'eagle']]","[['hare', 'is_running_from', 'eagle']]"
28,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,"[['woman', 'is_cooking', 'breaded pork chop']]","[['woman', 'is_cooking', 'breaded pork chop']]"
29,A girl is flying a kite.,A girl running is flying a kite.,"[['girl', 'is_flying', 'kite']]","[['girl', 'is_flying', 'kite']]"
30,A man is riding a mechanical bull.,A man rode a mechanical bull.,"[['a_man', 'rode', 'mechanical_bull']]","[['a_man', 'rode', 'mechanical_bull']]"
31,The man is playing the guitar.,A man is playing a guitar.,"[['man', 'plays', 'guitar']]","[['man', 'plays', 'guitar']]"
32,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,"[['woman', 'performs', 'dancing'], ['woman', 'performs', 'singing'], ['woman', 'performs_with', ""['other_women']""], ['dancing', 'type', 'folk_dance'], ['singing', 'type', 'song']]","[['woman', 'performs', 'dancing'], ['woman', 'performs', 'singing'], ['woman', 'performs_in', ""['rain']""], ['rain', 'type', 'precipitation']]"
33,A man is slicing a bun.,A man is slicing an onion.,"[['a_man', 'is_performing', 'slicing'], ['slicing', 'of', 'bun'], ['bun', 'is_a', 'food_item']]","[['a_man', 'is_performing', 'slicing'], ['slicing', 'of', 'onion'], ['onion', 'is_a', 'vegetable']]"
34,A man is pouring oil into a pan.,A man is pouring oil into a skillet.,"[['a_man', 'pours', 'oil'], ['oil', 'is_used_for', 'cooking'], ['oil', 'is_a', 'liquid']]","[['a_man', 'pours', 'oil'], ['oil', 'is_used_for', 'cooking'], ['oil', 'is_a', 'liquid']]"
35,A lion is playing with people.,A lion is playing with two men.,"[['Lion', 'plays_with', 'People']]","[['Lion', 'plays_with', 'Man_1'], ['Lion', 'plays_with', 'Man_2']]"
36,A dog rides a skateboard.,A dog is riding a skateboard.,"[['dog', 'rides', 'skateboard']]","[['dog', 'is riding', 'skateboard']]"
37,Someone is carving a statue.,A man is carving a statue.,"[['Someone', 'is_carving', 'statue']]","[['A_man', 'is_carving', 'statue']]"
