id,paragraph_1,paragraph_2,kg_1,kg_2,kea_similarity,transe_similarity,rotate_similarity,wl_kernel_similarity,aa_kea_similarity,snea_bert_alpha_0.0,snea_bert_alpha_0.1,snea_bert_alpha_0.2,snea_bert_alpha_0.3,snea_bert_alpha_0.4,snea_bert_alpha_0.5,snea_bert_alpha_0.6,snea_bert_alpha_0.7,snea_bert_alpha_0.8,snea_bert_alpha_0.9,snea_bert_alpha_1.0_SNEA_alone,kea_bert_similarity,semantic_wl_similarity
0,"He preached in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , North Branch , Otisville , Stephen 's , and Factories .","He preached in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , North Branch , Otisville , Stephen and Fabriken .","[[""He"", ""preached_in"", ""Bridgeville""], [""He"", ""preached_in"", ""Callicoon""], [""He"", ""preached_in"", ""Fallsburgh""], [""He"", ""preached_in"", ""Grahamsville""], [""He"", ""preached_in"", ""Lackawack""], [""He"", ""preached_in"", ""Neversink""], [""He"", ""preached_in"", ""North_Branch""], [""He"", ""preached_in"", ""Otisville""], [""He"", ""preached_in"", ""Stephen""], [""He"", ""preached_in"", ""Factories""]]","[[""He"", ""preached_in"", ""Bridgeville""], [""He"", ""preached_in"", ""Callicoon""], [""He"", ""preached_in"", ""Fallsburgh""], [""He"", ""preached_in"", ""Grahamsville""], [""He"", ""preached_in"", ""Lackawack""], [""He"", ""preached_in"", ""Neversink""], [""He"", ""preached_in"", ""North_Branch""], [""He"", ""preached_in"", ""Otisville""], [""He"", ""preached_in"", ""Stephen""], [""He"", ""preached_in"", ""Fabriken""]]",0.8740073734751262,0.8208015561103821,0.9882315993309021,0.8333333333333334,0.8740073734751262,0.9960137288051515,0.9838130932721489,0.9716124577391465,0.9594118222061438,0.9472111866731414,0.9350105511401389,0.9228099156071363,0.9106092800741339,0.8984086445411313,0.8862080090081288,0.8740073734751262,0.9801676498169158,0.9768362162179594
1,"Cassandra Peterson also appeared in Peaches Christ 's `` All About Evil '' with Patrick Bristow , Mink Stole and Brown .","Cassandra Peterson also appeared in Peaches Christi `` All About Evil '' with Patrick Bristow , Mink Stole and Brown .","[[""Cassandra_Peterson"", ""appeared_in"", ""All_About_Evil""], [""All_About_Evil"", ""created_by"", ""Peaches_Christ""], [""Cassandra_Peterson"", ""co_starred_with"", ""Patrick_Bristow""], [""Cassandra_Peterson"", ""co_starred_with"", ""Mink_Stole""], [""Cassandra_Peterson"", ""co_starred_with"", ""Brown""]]","[[""Cassandra_Peterson"", ""appeared_in"", ""All_About_Evil""], [""All_About_Evil"", ""created_by"", ""Peaches_Christi""], [""Cassandra_Peterson"", ""co_starred_with"", ""Patrick_Bristow""], [""Cassandra_Peterson"", ""co_starred_with"", ""Mink_Stole""], [""Cassandra_Peterson"", ""co_starred_with"", ""Brown""]]",1.0,0.8384374380111694,0.9525939226150513,0.5833333333333334,1.0,0.9961620753138227,0.9965458677824405,0.9969296602510582,0.9973134527196759,0.9976972451882936,0.9980810376569114,0.9984648301255291,0.9988486225941469,0.9992324150627645,0.9996162075313823,1.0,0.985734827295569,0.9894693582862857
2,The railway station of Betul is located between Bhopal and Nagpur station .,Nagpur railway station is located between Bhopal and Betul station .,"[[""Betul"", ""location"", ""between_Bhopal_and_Nagpur""], [""Betul"", ""near"", ""Bhopal""], [""Betul"", ""near"", ""Nagpur""]]","[[""Nagpur"", ""location"", ""between_Bhopal_and_Betul""], [""Nagpur"", ""near"", ""Bhopal""], [""Nagpur"", ""near"", ""Betul""]]",0.1111111111111111,0.5902766585350037,0.7265104055404663,0.3333333333333333,0.11785113019775792,0.8793635494347478,0.8032123075110489,0.72706106558735,0.6509098236636508,0.5747585817399519,0.4986073398162529,0.4224560978925539,0.3463048559688549,0.27015361404515587,0.19400237212145688,0.11785113019775792,0.8949490975666727,0.9916151486334268
3,"Griese was temporarily injured in the season , however , and later relieved of Grossman .","However , Griese was temporarily injured in the season , and later relieved by Grossman .","[[""Griese"", ""was_injured_in"", ""season""], [""Griese"", ""was_relieved_by"", ""Grossman""]]","[[""Griese"", ""was_injured_in"", ""season""], [""Griese"", ""was_relieved_by"", ""Grossman""]]",1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999988087644,0.999999998927888,0.9999999990470116,0.999999999166135,0.9999999992852586,0.9999999994043822,0.9999999995235058,0.9999999996426293,0.9999999997617529,0.9999999998808764,1.0,1.0,0.9999999908322988
4,"April 16 , 1984 -- became adult contemporary WCGY , music of the 1960s and 1970s with 25 % of current music .","April 16 , 1984 - became adult current WCGY , 1960s ' and 1970s ' music with 25 % contemporary music .","[[""WCGY"", ""became"", ""adult_contemporary""], [""WCGY"", ""plays"", ""music_of_1960s""], [""WCGY"", ""plays"", ""music_of_1970s""], [""WCGY"", ""percentage_of_current_music"", ""25%""]]","[[""WCGY"", ""became"", ""adult_current""], [""WCGY"", ""plays"", ""music_of_1960s""], [""WCGY"", ""plays"", ""music_of_1970s""], [""WCGY"", ""percentage_of_contemporary_music"", ""25%""]]",1.0,0.9495460987091064,0.8986997604370117,0.6333333333333333,1.0,0.9926220881681403,0.9933598793513263,0.9940976705345124,0.9948354617176982,0.9955732529008842,0.9963110440840701,0.9970488352672562,0.997786626450442,0.9985244176336281,0.999262208816814,1.0,0.9531370395795107,0.9676996519784972
5,`` Whatever Will Be '' ( 2005 ) is the second song released by Tammin from her first album `` Whatever Will Be '' .,`` Whatever Will Be '' ( 2005 ) is the first song of Tammin from her second album `` Whatever Will Be '' .,"[[""Whatever_Will_Be"", ""is_second_song_of"", ""Tammin""], [""Whatever_Will_Be"", ""is_from"", ""Whatever_Will_Be_album""], [""Tammin"", ""released"", ""Whatever_Will_Be""], [""Whatever_Will_Be_album"", ""is_first_album_of"", ""Tammin""]]","[[""Whatever_Will_Be"", ""is_first_song_of"", ""Tammin""], [""Whatever_Will_Be"", ""is_from"", ""Whatever_Will_Be_album""], [""Tammin"", ""released"", ""Whatever_Will_Be""], [""Whatever_Will_Be_album"", ""is_second_album_of"", ""Tammin""]]",1.0,0.9999998807907104,0.9999999403953552,1.0,1.0,0.9993030522276627,0.9993727470048964,0.9994424417821302,0.9995121365593638,0.9995818313365976,0.9996515261138313,0.9997212208910651,0.9997909156682988,0.9998606104455325,0.9999303052227663,1.0,0.9779803639082835,0.9917826656056434
6,"In February 2016 , Daniel Pollack announced that Argentina had reached agreement with Paul Singer .",Daniel Pollack announced in February 2016 that Argentina had reached an agreement with Paul Singer .,"[[""Daniel_Pollack"", ""announced_in"", ""February_2016""], [""Argentina"", ""reached_agreement_with"", ""Paul_Singer""]]","[[""Daniel_Pollack"", ""announced_in"", ""February_2016""], [""Argentina"", ""reached_agreement_with"", ""Paul_Singer""]]",1.0,0.9999998807907104,0.9999999403953552,1.0,1.0,0.9999999283912984,0.9999999355521685,0.9999999427130388,0.9999999498739087,0.9999999570347791,0.9999999641956492,0.9999999713565193,0.9999999785173895,0.9999999856782597,0.9999999928391299,1.0,0.9999999970197677,1.0
7,The county seat for DeWitt Township was also in Clinton County from the founding of the county .,The county seat for Clinton County was also located in DeWitt Township from the inception of the County .,"[[""DeWitt_Township"", ""is_county_seat_of"", ""DeWitt_Township""], [""DeWitt_Township"", ""location"", ""Clinton_County""]]","[[""Clinton_County"", ""has_county_seat_in"", ""DeWitt_Township""], [""DeWitt_Township"", ""location"", ""Clinton_County""]]",0.16666666666666666,1.0,0.9999999403953552,0.16666666666666666,0.16666666666666666,0.9692109276141975,0.8889565015194445,0.8087020754246913,0.7284476493299382,0.6481932232351851,0.567938797140432,0.48768437104567897,0.40742994495092594,0.3271755188561728,0.2469210927614197,0.16666666666666666,0.940248979896587,0.7876512369041042
8,"They were accompanied by several other families , or were soon followed , including Masters , Kisner , Battin , Parker , Lundy , Lemon , Oliver , and Rich .","They were accompanied or were soon followed by some other families , including Masters , Parker , Lundy , Battin , Kisner , Lemon , Oliver , and Rich .","[[""They"", ""accompanied_by"", ""Masters""], [""They"", ""accompanied_by"", ""Kisner""], [""They"", ""accompanied_by"", ""Battin""], [""They"", ""accompanied_by"", ""Parker""], [""They"", ""accompanied_by"", ""Lundy""], [""They"", ""accompanied_by"", ""Lemon""], [""They"", ""accompanied_by"", ""Oliver""], [""They"", ""accompanied_by"", ""Rich""]]","[[""They"", ""accompanied_by"", ""Masters""], [""They"", ""accompanied_by"", ""Parker""], [""They"", ""accompanied_by"", ""Lundy""], [""They"", ""accompanied_by"", ""Battin""], [""They"", ""accompanied_by"", ""Kisner""], [""They"", ""accompanied_by"", ""Lemon""], [""They"", ""accompanied_by"", ""Oliver""], [""They"", ""accompanied_by"", ""Rich""]]",1.0,1.0,0.9999998211860657,1.0,1.0,0.9999999987504113,0.9999999988753702,0.9999999990003292,0.9999999991252879,0.9999999992502469,0.9999999993752057,0.9999999995001645,0.9999999996251234,0.9999999997500822,0.9999999998750412,1.0,1.0,0.9999999905114386
9,"The Indore district consists of 4 divisions : Depalpur , Sanwer , Indore and Mhow .","Mhow district consists of 4 divisions ; Depalpur , Sanwer , Indore and Indore .","[[""Indore_district"", ""consists_of"", ""Depalpur""], [""Indore_district"", ""consists_of"", ""Sanwer""], [""Indore_district"", ""consists_of"", ""Indore""], [""Indore_district"", ""consists_of"", ""Mhow""]]","[[""Mhow_district"", ""consists_of"", ""Depalpur""], [""Mhow_district"", ""consists_of"", ""Sanwer""], [""Mhow_district"", ""consists_of"", ""Indore""]]",0.3849001794597505,0.6130737066268921,0.8616135120391846,0.6708203932499369,0.5833333333333334,0.8822387141113741,0.85234817603357,0.822457637955766,0.7925670998779619,0.7626765618001579,0.7327860237223538,0.7028954856445497,0.6730049475667457,0.6431144094889415,0.6132238714111374,0.5833333333333334,0.8775030274017521,0.9382470674880687
10,He has a son ( born 2000 ) from a previous relationship with TV presenter Angela Gessmann . In July 2011 Lanz married Birgit Schrowange .,"He has a son ( vintage 2000 ) from a previous relationship with TV presenter Birgit Schrowange , who married Angela Gessmann in July 2011 .","[[""Lanz"", ""has_son"", ""son""], [""son"", ""born_in"", ""2000""], [""Lanz"", ""had_relationship_with"", ""Angela_Gessmann""], [""Lanz"", ""married"", ""Birgit_Schrowange""], [""Lanz"", ""married_in"", ""July_2011""]]","[[""He"", ""has_son"", ""son""], [""son"", ""born_in"", ""2000""], [""He"", ""had_relationship_with"", ""Birgit_Schrowange""], [""Birgit_Schrowange"", ""married"", ""Angela_Gessmann""], [""Birgit_Schrowange"", ""married_in"", ""July_2011""]]",0.6944444444444444,0.9198909997940063,0.8694652318954468,0.6944444444444444,0.6944444444444444,0.7906478942735943,0.7810275492906793,0.7714072043077644,0.7617868593248494,0.7521665143419343,0.7425461693590194,0.7329258243761043,0.7233054793931893,0.7136851344102744,0.7040647894273594,0.6944444444444444,0.8434632217013499,0.8376750453521193
11,"The difference between neutralizing antibodies and binding antibodies is that binding antibodies neutralize the biological effects of antigen , while the antibodies neutralize antigens .","The difference between neutralizing antibodies and binding antibodies is that binding antibodies neutralize the biological effects of the antigen , while neutralizing antibodies flag antigens .","[[""Neutralizing_Antibodies"", ""neutralize"", ""Antigens""], [""Binding_Antibodies"", ""neutralize"", ""Biological_Effects""], [""Binding_Antibodies"", ""difference_from"", ""Neutralizing_Antibodies""]]","[[""Neutralizing_Antibodies"", ""flag"", ""Antigens""], [""Binding_Antibodies"", ""neutralize"", ""Biological_Effects""], [""Binding_Antibodies"", ""difference_from"", ""Neutralizing_Antibodies""]]",1.0,1.0,1.0,1.0,1.0,0.9839947653522126,0.9855952888169913,0.9871958122817701,0.9887963357465488,0.9903968592113276,0.9919973826761064,0.9935979061408851,0.9951984296056637,0.9967989530704425,0.9983994765352213,1.0,0.9494781445980705,0.8367194326432761
12,"Renzo Furlan won 6 -- 3 , 6 -- 4 against Thomas Johansson in the finals .","Thomas Johansson won 6 -- 3 , 6 -- 4 against Renzo Furlan in the finals .","[[""Renzo_Furlan"", ""won_against"", ""Thomas_Johansson""], [""Renzo_Furlan"", ""won_in"", ""finals""]]","[[""Thomas_Johansson"", ""won_against"", ""Renzo_Furlan""], [""Thomas_Johansson"", ""won_in"", ""finals""]]",0.13608276348795434,1.0,0.9999999403953552,0.4444444444444444,0.13608276348795434,0.8309687159552622,0.7614801207085314,0.6919915254618006,0.6225029302150699,0.5530143349683391,0.4835257397216083,0.4140371444748775,0.34454854922814676,0.27505995398141586,0.20557135873468513,0.13608276348795434,0.8525671654265548,0.8778938878306041
13,"Rasmus Seebach has written songs for Nik 'Jay , Burhan G and Lars Ankerstjerne as songwriters .","Lars Ankerstjerne has written songs for Nik 'Jay , Burhan G and Rasmus Seebach as songwriters .","[[""Rasmus_Seebach"", ""has_written_songs_for"", ""Nik_Jay""], [""Rasmus_Seebach"", ""has_written_songs_for"", ""Burhan_G""], [""Rasmus_Seebach"", ""has_written_songs_for"", ""Lars_Ankerstjerne""]]","[[""Lars_Ankerstjerne"", ""has_written_songs_for"", ""Nik_Jay""], [""Lars_Ankerstjerne"", ""has_written_songs_for"", ""Burhan_G""], [""Lars_Ankerstjerne"", ""has_written_songs_for"", ""Rasmus_Seebach""]]",0.3849001794597505,1.0,0.9999998807907104,0.5833333333333334,0.3849001794597505,0.8961688077371783,0.8450419449094356,0.7939150820816928,0.74278821925395,0.6916613564262072,0.6405344935984645,0.5894076307707217,0.5382807679429789,0.48715390511523604,0.4360270422874933,0.3849001794597505,0.9094357831244826,0.9365278357028124
14,"A quantum fluid refers to each system that shows quantum mechanical effects at the macroscopic level , such as superfluids , superconductors , ultracold atoms , etc .","A quantum mechanical fluid refers to any system that shows macroscopic effects at the quantum level , such as superfluids , superconductors , ultracold atoms , etc .","[[""Quantum_fluid"", ""refers_to"", ""system""], [""System"", ""shows"", ""quantum_mechanical_effects""], [""Quantum_mechanical_effects"", ""occur_at"", ""macroscopic_level""], [""Quantum_fluid"", ""includes"", ""superfluids""], [""Quantum_fluid"", ""includes"", ""superconductors""], [""Quantum_fluid"", ""includes"", ""ultracold_atoms""]]","[[""Quantum_mechanical_fluid"", ""refers_to"", ""system""], [""System"", ""shows"", ""macroscopic_effects""], [""Macroscopic_effects"", ""occur_at"", ""quantum_level""], [""Quantum_mechanical_fluid"", ""includes"", ""superfluids""], [""Quantum_mechanical_fluid"", ""includes"", ""superconductors""], [""Quantum_mechanical_fluid"", ""includes"", ""ultracold_atoms""]]",0.5238095238095238,0.4604963958263397,0.7380282878875732,0.4523809523809524,0.5350284209791207,0.978527711207225,0.9341777821844147,0.8898278531616042,0.8454779241387937,0.8011279951159833,0.7567780660931729,0.7124281370703625,0.668078208047552,0.6237282790247416,0.5793783500019312,0.5350284209791207,0.9308289873528157,0.9703223295191294
15,The expressway continues for another mile and crosses several buildings in short tunnels before crossing the Harlem River into the Bronx via the Alexander Hamilton Bridge .,The expressway continues for another mile and crosses several buildings in short tunnels before crossing the Alexander Hamilton Bridge into the Bronx via the Harlem River .,"[[""expressway"", ""continues_for"", ""another_mile""], [""expressway"", ""crosses"", ""several_buildings""], [""expressway"", ""crosses"", ""Harlem_River""], [""expressway"", ""enters_via"", ""Alexander_Hamilton_Bridge""], [""expressway"", ""enters"", ""Bronx""]]","[[""expressway"", ""continues_for"", ""another_mile""], [""expressway"", ""crosses"", ""several_buildings""], [""expressway"", ""crosses"", ""Alexander_Hamilton_Bridge""], [""expressway"", ""enters"", ""Bronx""], [""expressway"", ""crosses"", ""Harlem_River""]]",1.0,0.9999998807907104,0.9999999403953552,1.0,1.0,0.9962690632462712,0.996642156921644,0.9970152505970169,0.9973883442723899,0.9977614379477627,0.9981345316231356,0.9985076252985084,0.9988807189738813,0.9992538126492543,0.9996269063246271,1.0,0.9817048744334187,0.982135303480366
16,He moved to Ottawa and settled down in Illinois in 1891 .,He moved to Ottawa and settled in Illinois in 1891 .,"[[""Person"", ""moved_to"", ""Ottawa""], [""Person"", ""settled_in"", ""Illinois""], [""Person"", ""arrived_in"", ""1891""]]","[[""Person"", ""moved_to"", ""Ottawa""], [""Person"", ""settled_in"", ""Illinois""], [""Person"", ""arrived_in"", ""1891""]]",1.0,1.0,1.0,1.0,1.0,0.9999999987606202,0.9999999988845582,0.9999999990084962,0.999999999132434,0.9999999992563721,0.9999999993803101,0.9999999995042481,0.9999999996281861,0.9999999997521241,0.999999999876062,1.0,1.0,0.999999989361998
17,He left Shrewsbury in January 2006. and next joined Nuneaton Borough,He left Shrewsbury in January 2006 and joined Nuneaton Borough next .,"[[""He"", ""left"", ""Shrewsbury""], [""He"", ""left_in"", ""January_2006""], [""He"", ""joined"", ""Nuneaton_Borough""]]",[],,,,,,,,,,,,,,,,,,
18,The system required the user to first encode the quasi-phonetic spelling into a standard rendering .,The system required the user to encode the quasi-phonetic spelling first into a default rendering .,"[[""system"", ""required"", ""user""], [""user"", ""encode"", ""quasi-phonetic_spelling""], [""quasi-phonetic_spelling"", ""encoded_into"", ""standard_rendering""]]","[[""system"", ""required"", ""user""], [""user"", ""encode"", ""quasi-phonetic_spelling""], [""quasi-phonetic_spelling"", ""encoded_into"", ""default_rendering""]]",1.0,0.9560160040855408,0.915679395198822,0.25,1.0,0.986753513774555,0.9880781623970994,0.989402811019644,0.9907274596421884,0.992052108264733,0.9933767568872776,0.994701405509822,0.9960260541323664,0.997350702754911,0.9986753513774556,1.0,0.9684778826029817,0.9871364527950947
19,Reading is a road bridge over the River Thames at Reading Bridge in the English county of Berkshire .,Reading is a road bridge over the River Thames on the Reading Bridge in the English county of Berkshire .,"[[""Reading"", ""location"", ""River_Thames""], [""Reading"", ""location"", ""Reading_Bridge""], [""Reading"", ""location"", ""Berkshire""]]","[[""Reading"", ""location"", ""River_Thames""], [""Reading"", ""location"", ""Reading_Bridge""], [""Reading"", ""location"", ""Berkshire""]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,"On August 31 , 1819 , Wollstonecraft met in Sydney on board the ship `` Grenada '' .",Wollstonecraft arrived in Grenada on board the ship `` Sydney '' on 31 August 1819 .,"[[""Wollstonecraft"", ""met_in"", ""Sydney""], [""Wollstonecraft"", ""on_board"", ""Grenada""], [""Wollstonecraft"", ""met_on"", ""August_31_1819""]]","[[""Wollstonecraft"", ""arrived_in"", ""Grenada""], [""Wollstonecraft"", ""on_board"", ""Sydney""], [""Wollstonecraft"", ""arrived_on"", ""August_31_1819""]]",0.6254627916220946,1.0,1.0,1.0,0.6254627916220946,0.9144762796014051,0.885574930803474,0.856673582005543,0.8277722332076118,0.7988708844096808,0.7699695356117499,0.7410681868138188,0.7121668380158878,0.6832654892179567,0.6543641404200257,0.6254627916220946,0.8274003408084338,0.9343263393640846
