id,paragraph_1,paragraph_2,kg_1,kg_2,snea_bert_similarity
0,"Southeast Alaska, often abbreviated to Southeast or Southeastern, and sometimes called the Alaska(n) Panhandle, is the southeastern portion of the U.S. state of Alaska, bordered to the east and north by the northern half of the Canadian province of British Columbia (and a small part of Yukon). The majority of Southeast Alaska's area is part of the Tongass National Forest, the United States' largest national forest. In many places, the international border runs along the crest of the Boundary Ranges of the Coast Mountains (see Alaska boundary dispute). The region is noted for its scenery and mild, rainy climate.","Southeast Alaska, often abbreviated to Southeast or Southeastern, and sometimes called the Alaska(n) Panhandle, is the southeastern portion of the U.S. state of Alaska, bordered to the east and north by the northern half of the Canadian province of British Columbia (and a small part of Yukon). The majority of Southeast Alaska's area is part of the Tongass National Forest, the divide States' largest national forest. In many places, the international border runs along the crest of the Boundary Ranges of the Coast Mountains (see Alaska boundary dispute). The region is noted for its scenery and mild, rainy climate.","[[""Southeast_Alaska"", ""is_part_of"", ""Alaska""], [""Southeast_Alaska"", ""bordered_by"", ""British_Columbia""], [""Southeast_Alaska"", ""bordered_by"", ""Yukon""], [""Southeast_Alaska"", ""part_of"", ""Tongass_National_Forest""], [""Tongass_National_Forest"", ""is"", ""largest_national_forest_in_United_States""], [""Southeast_Alaska"", ""located_along"", ""Boundary_Ranges""], [""Boundary_Ranges"", ""part_of"", ""Coast_Mountains""], [""Southeast_Alaska"", ""has"", ""mild_rainy_climate""]]","[[""Southeast_Alaska"", ""is_part_of"", ""Alaska""], [""Southeast_Alaska"", ""bordered_by"", ""British_Columbia""], [""Southeast_Alaska"", ""bordered_by"", ""Yukon""], [""Southeast_Alaska"", ""part_of"", ""Tongass_National_Forest""], [""Tongass_National_Forest"", ""is"", ""largest_national_forest_in_United_States""], [""Southeast_Alaska"", ""located_along"", ""Boundary_Ranges""], [""Boundary_Ranges"", ""part_of"", ""Coast_Mountains""], [""Southeast_Alaska"", ""has"", ""mild_rainy_climate""]]",0.9999999657412134
1,"Although Le Guin invented the name ""ansible"" for this type of device, fleshed out with specific details in her fictional works, the broader concept of instantaneous or faster-than-light communication had previously existed in science fiction. For example, similar communication functions were included in a device called an interocitor in the 1952 novel This Island Earth by Raymond F. Jones, and the 1955 film based on that novel, and in the ""Dirac Communicator"", which first appeared in James Blish's short story ""Beep"" (1954), which was later expanded into the novel The Quincunx of Time (1973). Robert A. Heinlein in Time for the Stars (1958) employed instantaneous telepathic communication between identical twin pairs over interstellar distances, and like Le Guin, provided a technical explanation based on a non-Einsteinian principle of simultaneity.","Although Le Guin invented the name ""ansible"" for this type of device, fleshed out with specific details in her fictional works, the broader concept of instantaneous or faster-than-light communication had previously existed in science fiction. For example, similar communication functions were included in a device called an interocitor in the 1952 novel This Island Earth by Raymond F. Jones, and the 1955 film based on that novel, and in the ""Dirac Communicator"", which first appeared in James Blish's short story ""Beep"" (1954), which was later expanded into the novel The Quincunx of Time (1973). Robert A. Heinlein in Time for the Stars (1958) fire instantaneous telepathic communication between identical twin pairs over interstellar distances, and like Le Guin, provided a technical explanation based on a non-Einsteinian principle of simultaneity.","[[""Le_Guin"", ""invented"", ""ansible""], [""ansible"", ""instance_of"", ""device""], [""device"", ""enables"", ""instantaneous_communication""], [""interocitor"", ""instance_of"", ""device""], [""interocitor"", ""included_in"", ""This_Island_Earth""], [""This_Island_Earth"", ""written_by"", ""Raymond_F_Jones""], [""This_Island_Earth"", ""published_in"", ""1952""], [""Dirac_Communicator"", ""instance_of"", ""device""], [""Dirac_Communicator"", ""first_appeared_in"", ""Beep""], [""Beep"", ""written_by"", ""James_Blish""], [""Beep"", ""published_in"", ""1954""], [""Beep"", ""expanded_into"", ""The_Quincunx_of_Time""], [""The_Quincunx_of_Time"", ""published_in"", ""1973""], [""Robert_A_Heinlein"", ""employed"", ""instantaneous_telepathic_communication""], [""Robert_A_Heinlein"", ""wrote"", ""Time_for_the_Stars""], [""Time_for_the_Stars"", ""published_in"", ""1958""], [""Le_Guin"", ""provided_explanation_for"", ""ansible""], [""Robert_A_Heinlein"", ""provided_explanation_for"", ""instantaneous_telepathic_communication""]]","[[""Le_Guin"", ""invented"", ""ansible""], [""ansible"", ""instance_of"", ""device""], [""device"", ""enables"", ""instantaneous_communication""], [""interocitor"", ""instance_of"", ""device""], [""interocitor"", ""included_in"", ""This_Island_Earth""], [""This_Island_Earth"", ""written_by"", ""Raymond_F_Jones""], [""This_Island_Earth"", ""published_in"", ""1952""], [""Dirac_Communicator"", ""instance_of"", ""device""], [""Dirac_Communicator"", ""first_appeared_in"", ""Beep""], [""Beep"", ""written_by"", ""James_Blish""], [""Beep"", ""published_in"", ""1954""], [""Beep"", ""expanded_into"", ""The_Quincunx_of_Time""], [""The_Quincunx_of_Time"", ""published_in"", ""1973""], [""Robert_A_Heinlein"", ""used"", ""instantaneous_telepathic_communication""], [""Robert_A_Heinlein"", ""wrote"", ""Time_for_the_Stars""], [""Time_for_the_Stars"", ""published_in"", ""1958""], [""Le_Guin"", ""provided_explanation_for"", ""ansible""], [""Robert_A_Heinlein"", ""provided_explanation_for"", ""instantaneous_telepathic_communication""]]",0.9999808889162574
2,"Abner is initially mentioned incidentally in Saul's history, first appearing as the son of Ner, Saul's uncle, and the commander of Saul's army. He then comes to the story again as the commander who introduced David to Saul following David's killing of Goliath. He is not mentioned in the account of the disastrous battle of Gilboa when Saul's power was crushed. Seizing the youngest but only surviving of Saul's sons, Ish-bosheth, also called Eshbaal, Abner set him up as king over Israel at Mahanaim, east of the Jordan. David, who was accepted as king by Judah alone, was meanwhile reigning at Hebron, and for some time war was carried on between the two parties.","Abner is initially mentioned incidentally in Saul's history, first appearing as the son of Ner, Saul's uncle, and the commander of Saul's army. He is not mentioned in the account of the disastrous battle of Gilboa when Saul's power was crushed. He then comes to the story again as the commander who introduced David to Saul following David's killing of Goliath. Seizing the youngest but only surviving of Saul's sons, Ish-bosheth, also called Eshbaal, Abner set him up as king over Israel at Mahanaim, east of the Jordan. David, who was accepted as king by Judah alone, was meanwhile reigning at Hebron, and for some time war was carried on between the two parties.","[[""Abner"", ""son_of"", ""Ner""], [""Ner"", ""uncle_of"", ""Saul""], [""Abner"", ""commander_of"", ""Saul\""s_army""], [""Abner"", ""introduced"", ""David""], [""David"", ""killed"", ""Goliath""], [""Abner"", ""set_up_as_king"", ""Ish-bosheth""], [""Ish-bosheth"", ""also_called"", ""Eshbaal""], [""Ish-bosheth"", ""son_of"", ""Saul""], [""Abner"", ""set_up_at"", ""Mahanaim""], [""Mahanaim"", ""location"", ""east_of_the_Jordan""], [""David"", ""accepted_as_king_by"", ""Judah""], [""David"", ""reigned_at"", ""Hebron""], [""Abner"", ""fought_against"", ""David""]]","[[""Abner"", ""son_of"", ""Ner""], [""Ner"", ""uncle_of"", ""Saul""], [""Abner"", ""commander_of"", ""Saul\""s_army""], [""Abner"", ""introduced"", ""David""], [""David"", ""killed"", ""Goliath""], [""Abner"", ""set_up_as_king"", ""Ish-bosheth""], [""Ish-bosheth"", ""also_called"", ""Eshbaal""], [""Ish-bosheth"", ""son_of"", ""Saul""], [""Abner"", ""set_up_at"", ""Mahanaim""], [""Mahanaim"", ""location"", ""east_of_the_Jordan""], [""David"", ""accepted_as_king_by"", ""Judah""], [""David"", ""reigned_at"", ""Hebron""], [""Abner"", ""fought_against"", ""David""]]",1.0
3,"Arkansas ( ) is a landlocked state in the south-central region of the Southern United States. It is bordered by Missouri to the north, Tennessee and Mississippi to the east, Louisiana to the south, Texas to the southwest, and Oklahoma to the west. Its name is from the Osage language, a Dhegiha Siouan language, and referred to their relatives, the Quapaw people. The state's diverse geography ranges from the mountainous regions of the Ozark and Ouachita Mountains, which make up the U.S. Interior Highlands, to the densely forested land in the south known as the Arkansas Timberlands, to the eastern lowlands along the Mississippi River and the Arkansas Delta.","Arkansas ( ) is a landlocked state in the south-central region of the Southern United States. It is bordered by Missouri to the north, Tennessee and Mississippi to the east, Louisiana to the south, Texas to the southwest, and Oklahoma to the west. Its name is from the Osage language, a Dhegiha Siouan language, and referred to their relatives, the Quapaw people. The state's diverse geography ranges from the mountainous regions of the Ozark and Ouachita Mountains, which make up the U.S. Interior Highlands, to the densely forested land in the south ignore as the Arkansas Timberlands, to the eastern lowlands along the Mississippi River and the Arkansas Delta.","[[""Arkansas"", ""location"", ""Southern_United_States""], [""Arkansas"", ""bordered_by"", ""Missouri""], [""Arkansas"", ""bordered_by"", ""Tennessee""], [""Arkansas"", ""bordered_by"", ""Mississippi""], [""Arkansas"", ""bordered_by"", ""Louisiana""], [""Arkansas"", ""bordered_by"", ""Texas""], [""Arkansas"", ""bordered_by"", ""Oklahoma""], [""Arkansas"", ""name_from"", ""Osage_language""], [""Osage_language"", ""instance_of"", ""Dhegiha_Siouan_language""], [""Arkansas"", ""referred_to"", ""Quapaw_people""], [""Ozark_Mountains"", ""part_of"", ""U.S._Interior_Highlands""], [""Ouachita_Mountains"", ""part_of"", ""U.S._Interior_Highlands""], [""Arkansas_Timberlands"", ""location"", ""Arkansas""], [""Arkansas_Delta"", ""location"", ""Arkansas""], [""Mississippi_River"", ""location"", ""Arkansas""]]","[[""Arkansas"", ""location"", ""Southern_United_States""], [""Arkansas"", ""bordered_by"", ""Missouri""], [""Arkansas"", ""bordered_by"", ""Tennessee""], [""Arkansas"", ""bordered_by"", ""Mississippi""], [""Arkansas"", ""bordered_by"", ""Louisiana""], [""Arkansas"", ""bordered_by"", ""Texas""], [""Arkansas"", ""bordered_by"", ""Oklahoma""], [""Arkansas"", ""name_from"", ""Osage_language""], [""Osage_language"", ""instance_of"", ""Dhegiha_Siouan_language""], [""Arkansas"", ""referred_to"", ""Quapaw_people""], [""Ozark_Mountains"", ""part_of"", ""U.S._Interior_Highlands""], [""Ouachita_Mountains"", ""part_of"", ""U.S._Interior_Highlands""], [""Arkansas_Timberlands"", ""location"", ""Arkansas""], [""Arkansas_Delta"", ""location"", ""Arkansas""], [""Mississippi_River"", ""location"", ""Arkansas""]]",0.9999999992565456
4,"In 1911, by way of an invitation from Wilhelm Weygandt, he relocated to Hamburg, where he worked with Theodor Kaes and eventually became head of the laboratory of anatomical pathology at the psychiatric State Hospital Hamburg-Friedrichsberg. Following the death of Kaes in 1913, Jakob succeeded him as prosector. During World War I he served as an army physician in Belgium, and afterwards returned to Hamburg. In 1919, he obtained his habilitation for neurology and in 1924 became a professor of neurology. Under Jakob's guidance the department grew rapidly. He made significant contributions to knowledge on concussion and secondary nerve degeneration and became a doyen of neuropathology.","In 1911, by way of an invitation from Wilhelm Weygandt, he relocated to Hamburg, where he idle with Theodor Kaes and eventually became head of the laboratory of anatomical pathology at the psychiatric State Hospital Hamburg-Friedrichsberg. Following the death of Kaes in 1913, Jakob succeeded him as prosector. During World War I he served as an army physician in Belgium, and afterwards returned to Hamburg. In 1919, he obtained his habilitation for neurology and in 1924 became a professor of neurology. Under Jakob's guidance the department grew rapidly. He made significant contributions to knowledge on concussion and secondary nerve degeneration and became a doyen of neuropathology.","[[""Jakob"", ""relocated_to"", ""Hamburg""], [""Jakob"", ""worked_with"", ""Theodor_Kaes""], [""Jakob"", ""became_head_of"", ""laboratory_of_anatomical_pathology""], [""laboratory_of_anatomical_pathology"", ""location"", ""State_Hospital_Hamburg-Friedrichsberg""], [""Theodor_Kaes"", ""died_in"", ""1913""], [""Jakob"", ""succeeded"", ""Theodor_Kaes""], [""Jakob"", ""served_as"", ""army_physician""], [""Jakob"", "" served_in"", ""Belgium""], [""Jakob"", ""obtained_habilitation_in"", ""1919""], [""Jakob"", ""became_professor_of"", ""neurology""], [""Jakob"", ""made_contributions_to"", ""concussion""], [""Jakob"", ""made_contributions_to"", ""secondary_nerve_degeneration""], [""Jakob"", ""became"", ""doyen_of_neuropathology""], [""Wilhelm_Weygandt"", ""invited"", ""Jakob""]]","[[""Jakob"", ""relocated_to"", ""Hamburg""], [""Jakob"", ""worked_with"", ""Theodor_Kaes""], [""Jakob"", ""became_head_of"", ""laboratory_of_anatomical_pathology""], [""laboratory_of_anatomical_pathology"", ""location"", ""State_Hospital_Hamburg-Friedrichsberg""], [""Theodor_Kaes"", ""died_in"", ""1913""], [""Jakob"", ""succeeded"", ""Theodor_Kaes""], [""Jakob"", ""served_as"", ""army_physician""], [""Jakob"", ""served_in"", ""Belgium""], [""Jakob"", ""obtained_habilitation_in"", ""1919""], [""Jakob"", ""became_professor_of"", ""neurology""], [""Jakob"", ""made_contributions_to"", ""concussion""], [""Jakob"", ""made_contributions_to"", ""secondary_nerve_degeneration""], [""Jakob"", ""became"", ""doyen_of_neuropathology""], [""Wilhelm_Weygandt"", ""invited"", ""Jakob""]]",1.0
5,"Le Pen lost by an overwhelming margin in the runoff, 82.2% to 17.8%, a sign that the true top two candidates had not been found. In the approval voting survey primary, Chirac took first place with 36.7%, compared to Jospin at 32.9%. Le Pen, in that study, received 25.1% and so would not have made the cut to the second round. In the real primary election, the top three were Chirac, 19.9%, Le Pen, 16.9%, and Jospin, 16.2%. A study of various ""evaluative voting"" methods (Approval and score voting) during the 2012 French presidential election showed that ""unifying"" candidates tended to do better, and polarizing candidates did worse, as compared to under plurality voting.","Le Pen lost by an overwhelming margin in the runoff, 82.2% to 17.8%, a sign that the true top two candidates had not been found. Le Pen, in that study, received 25.1% and so would not have made the cut to the second round. In the approval voting survey primary, Chirac took first place with 36.7%, compared to Jospin at 32.9%. In the real primary election, the top three were Chirac, 19.9%, Le Pen, 16.9%, and Jospin, 16.2%. A study of various ""evaluative voting"" methods (Approval and score voting) during the 2012 French presidential election showed that ""unifying"" candidates tended to do better, and polarizing candidates did worse, as compared to under plurality voting.","[[""Le_Pen"", ""lost_to"", ""Chirac""], [""Chirac"", ""won_with"", ""82.2%""], [""Le_Pen"", ""received"", ""17.8%""], [""Chirac"", ""took_first_place"", ""approval_voting_survey""], [""Chirac"", ""received"", ""36.7%""], [""Jospin"", ""received"", ""32.9%""], [""Le_Pen"", ""received"", ""25.1%""], [""Chirac"", ""received"", ""19.9%""], [""Le_Pen"", ""received"", ""16.9%""], [""Jospin"", ""received"", ""16.2%""]]","[[""Le_Pen"", ""lost_to"", ""Chirac""], [""Chirac"", ""won_with"", ""82.2%""], [""Le_Pen"", ""received"", ""17.8%""], [""Chirac"", ""took_first_place"", ""approval_voting_survey""], [""Chirac"", ""received"", ""36.7%""], [""Jospin"", ""received"", ""32.9%""], [""Le_Pen"", ""received"", ""25.1%""], [""Chirac"", ""received"", ""19.9%""], [""Le_Pen"", ""received"", ""16.9%""], [""Jospin"", ""received"", ""16.2%""]]",0.9999999568175737
6,"The history of astrometry is linked to the history of star catalogues, which gave astronomers reference points for objects in the sky so they could track their movements. This can be dated back to Hipparchus, who around 190 BC used the catalogue of his predecessors Timocharis and Aristillus to discover Earth's precession. In doing so, he also developed the brightness scale still in use today. Hipparchus compiled a catalogue with at least 850 stars and their positions. Hipparchus's successor, Ptolemy, included a catalogue of 1,022 stars in his work the Almagest, giving their location, coordinates, and brightness.","The history of astrometry is linked to the history of star catalogues, which gave astronomers reference points for objects in the sky so they could track their movements. Hipparchus compiled a catalogue with at least 850 stars and their positions. This can be dated back to Hipparchus, who around 190 BC used the catalogue of his predecessors Timocharis and Aristillus to discover Earth's precession. In doing so, he also developed the brightness scale still in use today. Hipparchus's successor, Ptolemy, included a catalogue of 1,022 stars in his work the Almagest, giving their location, coordinates, and brightness.","[[""Astrometry"", ""linked_to"", ""Star_Catalogues""], [""Star_Catalogues"", ""gave"", ""Astronomers""], [""Astronomers"", ""used_for"", ""Reference_Points""], [""Hipparchus"", ""used"", ""Timocharis_Catalogue""], [""Hipparchus"", ""used"", ""Aristillus_Catalogue""], [""Hipparchus"", ""discovered"", ""Earth_Precession""], [""Hipparchus"", ""developed"", ""Brightness_Scale""], [""Hipparchus"", ""compiled"", ""Hipparchus_Catalogue""], [""Hipparchus_Catalogue"", ""contains"", ""850_Stars""], [""Ptolemy"", ""included"", ""Ptolemy_Catalogue""], [""Ptolemy_Catalogue"", ""contains"", ""1022_Stars""], [""Ptolemy_Catalogue"", ""part_of"", ""Almagest""], [""Almagest"", ""written_by"", ""Ptolemy""]]","[[""Astrometry"", ""linked_to"", ""Star_Catalogues""], [""Star_Catalogues"", ""gave"", ""Astronomers""], [""Astronomers"", ""used_for"", ""Reference_Points""], [""Hipparchus"", ""used"", ""Timocharis_Catalogue""], [""Hipparchus"", ""used"", ""Aristillus_Catalogue""], [""Hipparchus"", ""discovered"", ""Earth_Precession""], [""Hipparchus"", ""developed"", ""Brightness_Scale""], [""Hipparchus"", ""compiled"", ""Hipparchus_Catalogue""], [""Hipparchus_Catalogue"", ""contains"", ""850_Stars""], [""Ptolemy"", ""included"", ""Ptolemy_Catalogue""], [""Ptolemy_Catalogue"", ""contains"", ""1022_Stars""], [""Ptolemy_Catalogue"", ""part_of"", ""Almagest""], [""Almagest"", ""written_by"", ""Ptolemy""]]",0.9999999598268028
7,"Alice's Adventures in Wonderland In this passage Lewis Carroll incorporated references to the original boating expedition of 4 July 1862 during which Alice's Adventures were first told, with Alice as herself, and the others represented by birds: the Lory was Lorina Liddell, the Eaglet was Edith Liddell, the Dodo was Dodgson, and the Duck was Rev. Robinson Duckworth.  In order to get dry after a swim, the Dodo proposes that everyone run a Caucus race – where the participants run in patterns of any shape, starting and leaving off whenever they like, so that everyone wins.  At the end of the race, Alice distributes comfits from her pocket to all as prizes. However this leaves no prize for herself.  The Dodo inquires what else she has in her pocket.  As she has only a thimble, the Dodo requests it from her and then awards it to Alice as her prize.  The Caucus Race, as depicted by Carroll, is a satire on the political caucus system, mocking its lack of clarity and decisiveness.","Alice's Adventures in Wonderland In this passage Lewis Carroll incorporated references to the original boating expedition of 4 July 1862 during which Alice's Adventures were first told, with Alice as herself, and the others represented by birds: the Lory was Lorina Liddell, the Eaglet was Edith Liddell, the Dodo was Dodgson, and the Duck was Rev. Robinson Duckworth. As she has only a thimble, the Dodo requests it from her and then awards it to Alice as her prize. The Dodo inquires what else she has in her pocket. At the end of the race, Alice distributes comfits from her pocket to all as prizes. In order to get dry after a swim, the Dodo proposes that everyone run a Caucus race – where the participants run in patterns of any shape, starting and leaving off whenever they like, so that everyone wins. However this leaves no prize for herself. The Caucus Race, as depicted by Carroll, is a satire on the political caucus system, mocking its lack of clarity and decisiveness.","[[""Lewis_Carroll"", ""incorporated_references_to"", ""boating_expedition""], [""boating_expedition"", ""occurred_on"", ""4_July_1862""], [""Alice"", ""was_herself"", ""Alice""], [""Lorina_Liddell"", ""represented_by"", ""Lory""], [""Edith_Liddell"", ""represented_by"", ""Eaglet""], [""Dodgson"", ""represented_by"", ""Dodo""], [""Rev_Robinson_Duckworth"", ""represented_by"", ""Duck""], [""Dodo"", ""proposes"", ""Caucus_race""], [""Caucus_race"", ""has_participants"", ""Alice""], [""Caucus_race"", ""has_participants"", ""Dodo""], [""Caucus_race"", ""has_participants"", ""Lory""], [""Caucus_race"", ""has_participants"", ""Eaglet""], [""Caucus_race"", ""has_participants"", ""Duck""], [""Alice"", ""distributes"", ""comfits""], [""Dodo"", ""requests"", ""thimble""], [""Dodo"", ""awards"", ""thimble""], [""thimble"", ""given_to"", ""Alice""], [""Caucus_Race"", ""is_satire_on"", ""political_caucus_system""]]","[[""Lewis_Carroll"", ""incorporated_references_to"", ""boating_expedition""], [""boating_expedition"", ""occurred_on"", ""4_July_1862""], [""Alice"", ""was_herself"", ""Alice""], [""Lorina_Liddell"", ""represented_by"", ""Lory""], [""Edith_Liddell"", ""represented_by"", ""Eaglet""], [""Dodgson"", ""represented_by"", ""Dodo""], [""Rev_Robinson_Duckworth"", ""represented_by"", ""Duck""], [""Dodo"", ""proposes"", ""Caucus_race""], [""Caucus_race"", ""has_participants"", ""Alice""], [""Caucus_race"", ""has_participants"", ""Dodo""], [""Caucus_race"", ""has_participants"", ""Lory""], [""Caucus_race"", ""has_participants"", ""Eaglet""], [""Caucus_race"", ""has_participants"", ""Duck""], [""Alice"", ""distributes"", ""comfits""], [""Dodo"", ""requests"", ""thimble""], [""Dodo"", ""awards"", ""thimble""], [""thimble"", ""given_to"", ""Alice""], [""Caucus_Race"", ""is_satire_on"", ""political_caucus_system""]]",0.9999999986362113
8,"As AutoCAD has become more powerful, supporting more complex object types, DXF has become less useful. Certain object types, including ACIS solids and regions, are not documented. Other object types, including AutoCAD 2006's dynamic blocks, and all of the objects specific to the vertical market versions of AutoCAD, are partially documented, but not well enough to allow other developers to support them. For these reasons many CAD applications use the DWG format which can be licensed from Autodesk or non-natively from the Open Design Alliance. DXF files do not specify the units of measurement used for its coordinates and dimensions.","As AutoCAD has become more powerful, supporting more complex object types, DXF has become less useful. Other object types, including AutoCAD 2006's dynamic blocks, and all of the objects specific to the vertical market versions of AutoCAD, are partially documented, but not well enough to allow other developers to support them. Certain object types, including ACIS solids and regions, are not documented. For these reasons many CAD applications use the DWG format which can be licensed from Autodesk or non-natively from the Open Design Alliance. DXF files do not specify the units of measurement used for its coordinates and dimensions.","[[""AutoCAD"", ""has_become"", ""more_powerful""], [""DXF"", ""has_become"", ""less_useful""], [""ACIS_solids"", ""are_not_documented"", ""DXF""], [""regions"", ""are_not_documented"", ""DXF""], [""AutoCAD_2006"", ""has"", ""dynamic_blocks""], [""dynamic_blocks"", ""are_partially_documented"", ""DXF""], [""vertical_market_versions_of_AutoCAD"", ""have"", ""objects""], [""objects"", ""are_partially_documented"", ""DXF""], [""DWG_format"", ""can_be_licensed_from"", ""Autodesk""], [""DWG_format"", ""can_be_licensed_from"", ""Open_Design_Alliance""], [""DXF_files"", ""do_not_specify"", ""units_of_measurement""]]","[[""AutoCAD"", ""has_become"", ""more_powerful""], [""DXF"", ""has_become"", ""less_useful""], [""AutoCAD_2006"", ""has"", ""dynamic_blocks""], [""dynamic_blocks"", ""are_partially_documented"", ""DXF""], [""vertical_market_versions_of_AutoCAD"", ""have"", ""objects""], [""objects"", ""are_partially_documented"", ""DXF""], [""ACIS_solids"", ""are_not_documented"", ""DXF""], [""regions"", ""are_not_documented"", ""DXF""], [""DWG_format"", ""can_be_licensed_from"", ""Autodesk""], [""DWG_format"", ""can_be_licensed_from"", ""Open_Design_Alliance""], [""DXF_files"", ""do_not_specify"", ""units_of_measurement""]]",1.0
9,"Animism encompasses beliefs that all material phenomena have agency, that there exists no categorical distinction between the spiritual and physical world, and that soul, spirit, or sentience exists not only in humans but also in other animals, plants, rocks, geographic features (such as mountains and rivers), and other entities of the natural environment. Examples include water sprites, vegetation deities, and tree spirits, among others. Animism may further attribute a life force to abstract concepts such as words, true names, or metaphors in mythology. Some members of the non-tribal world also consider themselves animists, such as author Daniel Quinn, sculptor Lawson Oyekan, and many contemporary Pagans.","Animism encompasses beliefs that all material phenomena have agency, that there exists no categorical distinction between the spiritual and physical world, and that soul, spirit, or sentience exists not only in humans but also in other animals, plants, rocks, geographic features (such as mountains and rivers), and other entities of the natural environment. Examples include water sprites, vegetation deities, and tree spirits, among others. Animism may further attribute a life force to abstract concepts such as words, true names, or metaphors in mythology.","[[""Animism"", ""encompasses"", ""beliefs""], [""Material_phenomena"", ""have"", ""agency""], [""Spiritual_world"", ""no_distinction"", ""Physical_world""], [""Soul"", ""exists_in"", ""Humans""], [""Soul"", ""exists_in"", ""Animals""], [""Soul"", ""exists_in"", ""Plants""], [""Soul"", ""exists_in"", ""Rocks""], [""Soul"", ""exists_in"", ""Geographic_features""], [""Animism"", ""includes"", ""Water_sprites""], [""Animism"", ""includes"", ""Vegetation_deities""], [""Animism"", ""includes"", ""Tree_spirits""], [""Abstract_concepts"", ""have"", ""Life_force""], [""Daniel_Quinn"", ""is"", ""Animist""], [""Lawson_Oyekan"", ""is"", ""Animist""], [""Contemporary_Pagans"", ""are"", ""Animists""]]","[[""Animism"", ""encompasses"", ""beliefs""], [""Material_phenomena"", ""have"", ""agency""], [""Spiritual_world"", ""no_distinction"", ""Physical_world""], [""Soul"", ""exists_in"", ""Humans""], [""Soul"", ""exists_in"", ""Animals""], [""Soul"", ""exists_in"", ""Plants""], [""Soul"", ""exists_in"", ""Rocks""], [""Soul"", ""exists_in"", ""Geographic_features""], [""Animism"", ""includes"", ""Water_sprites""], [""Animism"", ""includes"", ""Vegetation_deities""], [""Animism"", ""includes"", ""Tree_spirits""], [""Abstract_concepts"", ""have"", ""Life_force""]]",0.9252826102461673
