id,paragraph_1,kg_1,paragraph_2,kg_2
0,"He preached in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , North Branch , Otisville , Stephen 's , and Factories .","[[""He"", ""preached_in"", ""Bridgeville""], [""He"", ""preached_in"", ""Callicoon""], [""He"", ""preached_in"", ""Fallsburgh""], [""He"", ""preached_in"", ""Grahamsville""], [""He"", ""preached_in"", ""Lackawack""], [""He"", ""preached_in"", ""Neversink""], [""He"", ""preached_in"", ""North_Branch""], [""He"", ""preached_in"", ""Otisville""], [""He"", ""preached_in"", ""Stephen""], [""He"", ""preached_in"", ""Factories""]]","He preached in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , North Branch , Otisville , Stephen and Fabriken .","[[""He"", ""preached_in"", ""Bridgeville""], [""He"", ""preached_in"", ""Callicoon""], [""He"", ""preached_in"", ""Fallsburgh""], [""He"", ""preached_in"", ""Grahamsville""], [""He"", ""preached_in"", ""Lackawack""], [""He"", ""preached_in"", ""Neversink""], [""He"", ""preached_in"", ""North_Branch""], [""He"", ""preached_in"", ""Otisville""], [""He"", ""preached_in"", ""Stephen""], [""He"", ""preached_in"", ""Fabriken""]]"
1,"Cassandra Peterson also appeared in Peaches Christ 's `` All About Evil '' with Patrick Bristow , Mink Stole and Brown .","[[""Cassandra_Peterson"", ""appeared_in"", ""All_About_Evil""], [""All_About_Evil"", ""created_by"", ""Peaches_Christ""], [""Cassandra_Peterson"", ""co_starred_with"", ""Patrick_Bristow""], [""Cassandra_Peterson"", ""co_starred_with"", ""Mink_Stole""], [""Cassandra_Peterson"", ""co_starred_with"", ""Brown""]]","Cassandra Peterson also appeared in Peaches Christi `` All About Evil '' with Patrick Bristow , Mink Stole and Brown .","[[""Cassandra_Peterson"", ""appeared_in"", ""All_About_Evil""], [""All_About_Evil"", ""created_by"", ""Peaches_Christi""], [""Cassandra_Peterson"", ""co_starred_with"", ""Patrick_Bristow""], [""Cassandra_Peterson"", ""co_starred_with"", ""Mink_Stole""], [""Cassandra_Peterson"", ""co_starred_with"", ""Brown""]]"
2,The railway station of Betul is located between Bhopal and Nagpur station .,"[[""Betul"", ""location"", ""between_Bhopal_and_Nagpur""], [""Betul"", ""near"", ""Bhopal""], [""Betul"", ""near"", ""Nagpur""]]",Nagpur railway station is located between Bhopal and Betul station .,"[[""Nagpur"", ""location"", ""between_Bhopal_and_Betul""], [""Nagpur"", ""near"", ""Bhopal""], [""Nagpur"", ""near"", ""Betul""]]"
3,"Griese was temporarily injured in the season , however , and later relieved of Grossman .","[[""Griese"", ""was_injured_in"", ""season""], [""Griese"", ""was_relieved_by"", ""Grossman""]]","However , Griese was temporarily injured in the season , and later relieved by Grossman .","[[""Griese"", ""was_injured_in"", ""season""], [""Griese"", ""was_relieved_by"", ""Grossman""]]"
4,"April 16 , 1984 -- became adult contemporary WCGY , music of the 1960s and 1970s with 25 % of current music .","[[""WCGY"", ""became"", ""adult_contemporary""], [""WCGY"", ""plays"", ""music_of_1960s""], [""WCGY"", ""plays"", ""music_of_1970s""], [""WCGY"", ""percentage_of_current_music"", ""25%""]]","April 16 , 1984 - became adult current WCGY , 1960s ' and 1970s ' music with 25 % contemporary music .","[[""WCGY"", ""became"", ""adult_current""], [""WCGY"", ""plays"", ""music_of_1960s""], [""WCGY"", ""plays"", ""music_of_1970s""], [""WCGY"", ""percentage_of_contemporary_music"", ""25%""]]"
5,`` Whatever Will Be '' ( 2005 ) is the second song released by Tammin from her first album `` Whatever Will Be '' .,"[[""Whatever_Will_Be"", ""is_second_song_of"", ""Tammin""], [""Whatever_Will_Be"", ""is_from"", ""Whatever_Will_Be_album""], [""Tammin"", ""released"", ""Whatever_Will_Be""], [""Whatever_Will_Be_album"", ""is_first_album_of"", ""Tammin""]]",`` Whatever Will Be '' ( 2005 ) is the first song of Tammin from her second album `` Whatever Will Be '' .,"[[""Whatever_Will_Be"", ""is_first_song_of"", ""Tammin""], [""Whatever_Will_Be"", ""is_from"", ""Whatever_Will_Be_album""], [""Tammin"", ""released"", ""Whatever_Will_Be""], [""Whatever_Will_Be_album"", ""is_second_album_of"", ""Tammin""]]"
6,"In February 2016 , Daniel Pollack announced that Argentina had reached agreement with Paul Singer .","[[""Daniel_Pollack"", ""announced_in"", ""February_2016""], [""Argentina"", ""reached_agreement_with"", ""Paul_Singer""]]",Daniel Pollack announced in February 2016 that Argentina had reached an agreement with Paul Singer .,"[[""Daniel_Pollack"", ""announced_in"", ""February_2016""], [""Argentina"", ""reached_agreement_with"", ""Paul_Singer""]]"
7,The county seat for DeWitt Township was also in Clinton County from the founding of the county .,"[[""DeWitt_Township"", ""is_county_seat_of"", ""DeWitt_Township""], [""DeWitt_Township"", ""location"", ""Clinton_County""]]",The county seat for Clinton County was also located in DeWitt Township from the inception of the County .,"[[""Clinton_County"", ""has_county_seat_in"", ""DeWitt_Township""], [""DeWitt_Township"", ""location"", ""Clinton_County""]]"
8,"They were accompanied by several other families , or were soon followed , including Masters , Kisner , Battin , Parker , Lundy , Lemon , Oliver , and Rich .","[[""They"", ""accompanied_by"", ""Masters""], [""They"", ""accompanied_by"", ""Kisner""], [""They"", ""accompanied_by"", ""Battin""], [""They"", ""accompanied_by"", ""Parker""], [""They"", ""accompanied_by"", ""Lundy""], [""They"", ""accompanied_by"", ""Lemon""], [""They"", ""accompanied_by"", ""Oliver""], [""They"", ""accompanied_by"", ""Rich""]]","They were accompanied or were soon followed by some other families , including Masters , Parker , Lundy , Battin , Kisner , Lemon , Oliver , and Rich .","[[""They"", ""accompanied_by"", ""Masters""], [""They"", ""accompanied_by"", ""Parker""], [""They"", ""accompanied_by"", ""Lundy""], [""They"", ""accompanied_by"", ""Battin""], [""They"", ""accompanied_by"", ""Kisner""], [""They"", ""accompanied_by"", ""Lemon""], [""They"", ""accompanied_by"", ""Oliver""], [""They"", ""accompanied_by"", ""Rich""]]"
9,"The Indore district consists of 4 divisions : Depalpur , Sanwer , Indore and Mhow .","[[""Indore_district"", ""consists_of"", ""Depalpur""], [""Indore_district"", ""consists_of"", ""Sanwer""], [""Indore_district"", ""consists_of"", ""Indore""], [""Indore_district"", ""consists_of"", ""Mhow""]]","Mhow district consists of 4 divisions ; Depalpur , Sanwer , Indore and Indore .","[[""Mhow_district"", ""consists_of"", ""Depalpur""], [""Mhow_district"", ""consists_of"", ""Sanwer""], [""Mhow_district"", ""consists_of"", ""Indore""]]"
10,He has a son ( born 2000 ) from a previous relationship with TV presenter Angela Gessmann . In July 2011 Lanz married Birgit Schrowange .,"[[""Lanz"", ""has_son"", ""son""], [""son"", ""born_in"", ""2000""], [""Lanz"", ""had_relationship_with"", ""Angela_Gessmann""], [""Lanz"", ""married"", ""Birgit_Schrowange""], [""Lanz"", ""married_in"", ""July_2011""]]","He has a son ( vintage 2000 ) from a previous relationship with TV presenter Birgit Schrowange , who married Angela Gessmann in July 2011 .","[[""He"", ""has_son"", ""son""], [""son"", ""born_in"", ""2000""], [""He"", ""had_relationship_with"", ""Birgit_Schrowange""], [""Birgit_Schrowange"", ""married"", ""Angela_Gessmann""], [""Birgit_Schrowange"", ""married_in"", ""July_2011""]]"
11,"The difference between neutralizing antibodies and binding antibodies is that binding antibodies neutralize the biological effects of antigen , while the antibodies neutralize antigens .","[[""Neutralizing_Antibodies"", ""neutralize"", ""Antigens""], [""Binding_Antibodies"", ""neutralize"", ""Biological_Effects""], [""Binding_Antibodies"", ""difference_from"", ""Neutralizing_Antibodies""]]","The difference between neutralizing antibodies and binding antibodies is that binding antibodies neutralize the biological effects of the antigen , while neutralizing antibodies flag antigens .","[[""Neutralizing_Antibodies"", ""flag"", ""Antigens""], [""Binding_Antibodies"", ""neutralize"", ""Biological_Effects""], [""Binding_Antibodies"", ""difference_from"", ""Neutralizing_Antibodies""]]"
12,"Renzo Furlan won 6 -- 3 , 6 -- 4 against Thomas Johansson in the finals .","[[""Renzo_Furlan"", ""won_against"", ""Thomas_Johansson""], [""Renzo_Furlan"", ""won_in"", ""finals""]]","Thomas Johansson won 6 -- 3 , 6 -- 4 against Renzo Furlan in the finals .","[[""Thomas_Johansson"", ""won_against"", ""Renzo_Furlan""], [""Thomas_Johansson"", ""won_in"", ""finals""]]"
13,"Rasmus Seebach has written songs for Nik 'Jay , Burhan G and Lars Ankerstjerne as songwriters .","[[""Rasmus_Seebach"", ""has_written_songs_for"", ""Nik_Jay""], [""Rasmus_Seebach"", ""has_written_songs_for"", ""Burhan_G""], [""Rasmus_Seebach"", ""has_written_songs_for"", ""Lars_Ankerstjerne""]]","Lars Ankerstjerne has written songs for Nik 'Jay , Burhan G and Rasmus Seebach as songwriters .","[[""Lars_Ankerstjerne"", ""has_written_songs_for"", ""Nik_Jay""], [""Lars_Ankerstjerne"", ""has_written_songs_for"", ""Burhan_G""], [""Lars_Ankerstjerne"", ""has_written_songs_for"", ""Rasmus_Seebach""]]"
14,"A quantum fluid refers to each system that shows quantum mechanical effects at the macroscopic level , such as superfluids , superconductors , ultracold atoms , etc .","[[""Quantum_fluid"", ""refers_to"", ""system""], [""System"", ""shows"", ""quantum_mechanical_effects""], [""Quantum_mechanical_effects"", ""occur_at"", ""macroscopic_level""], [""Quantum_fluid"", ""includes"", ""superfluids""], [""Quantum_fluid"", ""includes"", ""superconductors""], [""Quantum_fluid"", ""includes"", ""ultracold_atoms""]]","A quantum mechanical fluid refers to any system that shows macroscopic effects at the quantum level , such as superfluids , superconductors , ultracold atoms , etc .","[[""Quantum_mechanical_fluid"", ""refers_to"", ""system""], [""System"", ""shows"", ""macroscopic_effects""], [""Macroscopic_effects"", ""occur_at"", ""quantum_level""], [""Quantum_mechanical_fluid"", ""includes"", ""superfluids""], [""Quantum_mechanical_fluid"", ""includes"", ""superconductors""], [""Quantum_mechanical_fluid"", ""includes"", ""ultracold_atoms""]]"
15,The expressway continues for another mile and crosses several buildings in short tunnels before crossing the Harlem River into the Bronx via the Alexander Hamilton Bridge .,"[[""expressway"", ""continues_for"", ""another_mile""], [""expressway"", ""crosses"", ""several_buildings""], [""expressway"", ""crosses"", ""Harlem_River""], [""expressway"", ""enters_via"", ""Alexander_Hamilton_Bridge""], [""expressway"", ""enters"", ""Bronx""]]",The expressway continues for another mile and crosses several buildings in short tunnels before crossing the Alexander Hamilton Bridge into the Bronx via the Harlem River .,"[[""expressway"", ""continues_for"", ""another_mile""], [""expressway"", ""crosses"", ""several_buildings""], [""expressway"", ""crosses"", ""Alexander_Hamilton_Bridge""], [""expressway"", ""enters"", ""Bronx""], [""expressway"", ""crosses"", ""Harlem_River""]]"
16,He moved to Ottawa and settled down in Illinois in 1891 .,"[[""Person"", ""moved_to"", ""Ottawa""], [""Person"", ""settled_in"", ""Illinois""], [""Person"", ""arrived_in"", ""1891""]]",He moved to Ottawa and settled in Illinois in 1891 .,"[[""Person"", ""moved_to"", ""Ottawa""], [""Person"", ""settled_in"", ""Illinois""], [""Person"", ""arrived_in"", ""1891""]]"
17,He left Shrewsbury in January 2006. and next joined Nuneaton Borough,"[[""He"", ""left"", ""Shrewsbury""], [""He"", ""left_in"", ""January_2006""], [""He"", ""joined"", ""Nuneaton_Borough""]]",He left Shrewsbury in January 2006 and joined Nuneaton Borough next .,[]
18,The system required the user to first encode the quasi-phonetic spelling into a standard rendering .,"[[""system"", ""required"", ""user""], [""user"", ""encode"", ""quasi-phonetic_spelling""], [""quasi-phonetic_spelling"", ""encoded_into"", ""standard_rendering""]]",The system required the user to encode the quasi-phonetic spelling first into a default rendering .,"[[""system"", ""required"", ""user""], [""user"", ""encode"", ""quasi-phonetic_spelling""], [""quasi-phonetic_spelling"", ""encoded_into"", ""default_rendering""]]"
19,Reading is a road bridge over the River Thames at Reading Bridge in the English county of Berkshire .,"[[""Reading"", ""location"", ""River_Thames""], [""Reading"", ""location"", ""Reading_Bridge""], [""Reading"", ""location"", ""Berkshire""]]",Reading is a road bridge over the River Thames on the Reading Bridge in the English county of Berkshire .,"[[""Reading"", ""location"", ""River_Thames""], [""Reading"", ""location"", ""Reading_Bridge""], [""Reading"", ""location"", ""Berkshire""]]"
20,"On August 31 , 1819 , Wollstonecraft met in Sydney on board the ship `` Grenada '' .","[[""Wollstonecraft"", ""met_in"", ""Sydney""], [""Wollstonecraft"", ""on_board"", ""Grenada""], [""Wollstonecraft"", ""met_on"", ""August_31_1819""]]",Wollstonecraft arrived in Grenada on board the ship `` Sydney '' on 31 August 1819 .,"[[""Wollstonecraft"", ""arrived_in"", ""Grenada""], [""Wollstonecraft"", ""on_board"", ""Sydney""], [""Wollstonecraft"", ""arrived_on"", ""August_31_1819""]]"
21,"After the death of her first husband , Tom Dalton married Katharina Dalton , who passed away in 1992 .","[[""Katharina_Dalton"", ""married"", ""Tom_Dalton""], [""Tom_Dalton"", ""died_in"", ""1992""], [""Katharina_Dalton"", ""had_husband"", ""first_husband""], [""first_husband"", ""died"", ""before_1992""]]","After the death of her first husband , Katharina Dalton remarried Tom Dalton , who passed away in 1992 .","[[""Katharina_Dalton"", ""remarried"", ""Tom_Dalton""], [""Tom_Dalton"", ""died_in"", ""1992""], [""Katharina_Dalton"", ""had_husband"", ""first_husband""], [""first_husband"", ""died"", ""before_1992""]]"
22,The tubular heart or primitive heart tube is the earliest stage of heart development .,"[[""tubular_heart"", ""is"", ""primitive_heart_tube""], [""tubular_heart"", ""is"", ""earliest_stage_of_heart_development""]]",The primitive heart or the tubular heart tube is the earliest stage of the heart development .,"[[""primitive_heart"", ""is"", ""tubular_heart_tube""], [""primitive_heart"", ""is"", ""earliest_stage_of_heart_development""]]"
23,Cold Mountain is located about southeast of Asheville and south of Waynesville .,"[[""Cold_Mountain"", ""location"", ""southeast_of_Asheville""], [""Cold_Mountain"", ""location"", ""south_of_Waynesville""]]",Cold Mountain is about southeast of Asheville and south of Waynesville .,"[[""Cold_Mountain"", ""location"", ""southeast_of_Asheville""], [""Cold_Mountain"", ""location"", ""south_of_Waynesville""]]"
24,"St Francis Inter College , Aligarh Road , is one of the best and most renowned schools in Hathras .","[[""St_Francis_Inter_College"", ""location"", ""Aligarh_Road""], [""St_Francis_Inter_College"", ""location"", ""Hathras""]]","St Francis Inter College , Hathras Road , is one of the best and most renowned schools in Aligarh .","[[""St_Francis_Inter_College"", ""location"", ""Hathras_Road""], [""St_Francis_Inter_College"", ""location"", ""Aligarh""]]"
25,Jackson Township is located in the 12th Congressional District and is part of New Jersey 's 4th state legislative district .,"[[""Jackson_Township"", ""location"", ""12th_Congressional_District""], [""Jackson_Township"", ""part_of"", ""New_Jersey_4th_state_legislative_district""], [""New_Jersey_4th_state_legislative_district"", ""location"", ""New_Jersey""]]",Jackson Township is located in the 12th Congressional District and is part of the 4th State Legislative District in New Jersey .,"[[""Jackson_Township"", ""location"", ""12th_Congressional_District""], [""Jackson_Township"", ""part_of"", ""4th_State_Legislative_District""], [""4th_State_Legislative_District"", ""location"", ""New_Jersey""]]"
26,"From 1993 to 2001 , Huntsman served as an executive for the Huntsman Corporation , chairman of the Huntsman Cancer Foundation , and CEO of Huntsman Family Holdings Company .","[[""Huntsman"", ""served_as"", ""executive_of_Huntsman_Corporation""], [""Huntsman"", ""was"", ""chairman_of_Huntsman_Cancer_Foundation""], [""Huntsman"", ""was"", ""CEO_of_Huntsman_Family_Holdings_Company""], [""Huntsman_Corporation"", ""has"", ""executive""], [""Huntsman_Cancer_Foundation"", ""has"", ""chairman""], [""Huntsman_Family_Holdings_Company"", ""has"", ""CEO""]]","From 1993 to 2001 , Huntsman worked as an executive for Huntsman Corporation , Chairman of the Huntsman Family Holdings Company and CEO of the Huntsman Cancer Foundation .","[[""Huntsman"", ""worked_as"", ""executive_of_Huntsman_Corporation""], [""Huntsman"", ""was"", ""Chairman_of_Huntsman_Family_Holdings_Company""], [""Huntsman"", ""was"", ""CEO_of_Huntsman_Cancer_Foundation""], [""Huntsman_Corporation"", ""has"", ""executive""], [""Huntsman_Family_Holdings_Company"", ""has"", ""Chairman""], [""Huntsman_Cancer_Foundation"", ""has"", ""CEO""]]"
27,The museum building retains its classical style of oriental modern architecture through the standing bricks on the southeast corner of the building and the European image of the foyer .,"[[""museum_building"", ""retains_style"", ""oriental_modern_architecture""], [""museum_building"", ""has_bricks_at"", ""southeast_corner""], [""museum_building"", ""has_foyer_with"", ""European_image""], [""oriental_modern_architecture"", ""includes"", ""classical_style""], [""museum_building"", ""has_architecture_style"", ""classical_style""]]",The museum building retains its classic style of oriental modern architecture through the standing bricks on the southeast corner of the building and the European image of the foyer .,"[[""museum_building"", ""retains_style"", ""oriental_modern_architecture""], [""museum_building"", ""has_bricks_at"", ""southeast_corner""], [""museum_building"", ""has_foyer_with"", ""European_image""], [""oriental_modern_architecture"", ""includes"", ""classic_style""], [""museum_building"", ""has_architecture_style"", ""classic_style""]]"
28,"Paralepetopsis tunnicliffae is a species of sea snail , a true limpet , a true gastropod mollusk in the family Neolepetopsidae , one of the families of the marine limpets .","[[""Paralepetopsis_tunnicliffae"", ""is"", ""sea_snail""], [""Paralepetopsis_tunnicliffae"", ""is"", ""true_limpet""], [""Paralepetopsis_tunnicliffae"", ""is"", ""true_gastropod_mollusk""], [""Paralepetopsis_tunnicliffae"", ""family"", ""Neolepetopsidae""], [""Neolepetopsidae"", ""is"", ""family_of_marine_limpets""]]","Paralepetopsis tunnicliffae is a species of sea snail , a true limpet , a true gastropod mollusk in the family Neolepetopsidae , one of the families of marine limpets .","[[""Paralepetopsis_tunnicliffae"", ""is"", ""sea_snail""], [""Paralepetopsis_tunnicliffae"", ""is"", ""true_limpet""], [""Paralepetopsis_tunnicliffae"", ""is"", ""true_gastropod_mollusk""], [""Paralepetopsis_tunnicliffae"", ""family"", ""Neolepetopsidae""], [""Neolepetopsidae"", ""is"", ""family_of_marine_limpets""]]"
29,"Archana is an Indian film actress and accomplished Kuchipudi and Kathak dancer , known for her works in the South Indian film industry .","[[""Archana"", ""is"", ""Indian_film_actress""], [""Archana"", ""is"", ""Kuchipudi_dancer""], [""Archana"", ""is"", ""Kathak_dancer""], [""Archana"", ""works_in"", ""South_Indian_film_industry""]]","Archana is an accomplished film actress and southern Indian Kuchipudi and Kathak dancer , renowned for her works in the Indian film industry .","[[""Archana"", ""is"", ""film_actress""], [""Archana"", ""is"", ""Kuchipudi_dancer""], [""Archana"", ""is"", ""Kathak_dancer""], [""Archana"", ""works_in"", ""Indian_film_industry""]]"
30,In 2005 Coach Jesús Ramírez selected Jorge Torres Nilo to participate in the 2005 CONCACAF U17 Tournament held in Culiacán .,"[[""Jesús_Ramírez"", ""selected"", ""Jorge_Torres_Nilo""], [""Jorge_Torres_Nilo"", ""participate_in"", ""CONCACAF_U17_Tournament_2005""], [""CONCACAF_U17_Tournament_2005"", ""held_in"", ""Culiacán""]]","In 2005 , coach Jesús Ramírez elected Jorge Torres Nilo to participate in the CONCACAF U17 Tournament 2005 in Culiacán .","[[""Jesús_Ramírez"", ""elected"", ""Jorge_Torres_Nilo""], [""Jorge_Torres_Nilo"", ""participate_in"", ""CONCACAF_U17_Tournament_2005""], [""CONCACAF_U17_Tournament_2005"", ""held_in"", ""Culiacán""]]"
