id,paragraph_1,paragraph_2,kg_1,kg_2,kea_similarity,transe_similarity,rotate_similarity,wl_kernel_similarity,aa_kea_similarity,snea_bert_alpha_0.0,snea_bert_alpha_0.1,snea_bert_alpha_0.2,snea_bert_alpha_0.3,snea_bert_alpha_0.4,snea_bert_alpha_0.5,snea_bert_alpha_0.6,snea_bert_alpha_0.7,snea_bert_alpha_0.8,snea_bert_alpha_0.9,snea_bert_alpha_1.0_SNEA_alone,kea_bert_similarity,semantic_wl_similarity
0,"Last week , his lawyers asked Warner to grant clemency under conditions that would have lead to a new sentencing hearing .","Last week , his lawyers asked Gov. Mark R. Warner to grant clemency , but the governor declined to intervene .","[[""lawyers"", ""asked"", ""Warner""], [""Warner"", ""to_grant"", ""clemency""], [""clemency"", ""condition"", ""new_sentencing_hearing""]]","[[""lawyers"", ""asked"", ""Mark_R._Warner""], [""Mark_R._Warner"", ""to_grant"", ""clemency""], [""Mark_R._Warner"", ""declined_to"", ""intervene""]]",0.28867513459481287,0.25693726539611816,0.5386955738067627,0.08333333333333333,0.28867513459481287,0.8725428113005174,0.8141560436299469,0.7557692759593765,0.697382508288806,0.6389957406182356,0.5806089729476651,0.5222222052770946,0.46383543760652424,0.40544866993595374,0.3470619022653833,0.28867513459481287,0.8718621400570623,0.768867890302232
1,It forecast 445 billion yen in loan-loss charges for the year ending next March .,The bank booked 820 billion yen in loan-loss charges compared with 1.9 trillion yen a year ago .,"[[""It"", ""forecast"", ""445_billion_yen_in_loan_loss_charges""], [""445_billion_yen_in_loan_loss_charges"", ""for_year_ending"", ""next_March""]]","[[""The_bank"", ""booked"", ""820_billion_yen_in_loan_loss_charges""], [""820_billion_yen_in_loan_loss_charges"", ""compared_to"", ""1.9_trillion_yen""], [""1.9_trillion_yen"", ""was_booked"", ""a_year_ago""]]",0.06804138174397717,0.0,0.044951580464839935,0.0,0.06804138174397717,0.8276962763864909,0.7517307869222396,0.6757652974579882,0.5997998079937368,0.5238343185294854,0.44786882906523406,0.37190333960098265,0.2959378501367313,0.21997236067247988,0.14400687120822853,0.06804138174397717,0.6058136496215419,0.660408086547287
2,"Only two other countries , Germany and the Dominican Republic , have publicly expressed reservations , and Germany has since said it will sign it .","Only two other countries , the Dominican Republic and Germany , publicly expressed reservations about the treaty , and Germany has since said it will support the pact .","[[""Germany"", ""expressed_reservations"", ""treaty""], [""Dominican_Republic"", ""expressed_reservations"", ""treaty""], [""Germany"", ""will_sign"", ""treaty""]]","[[""Dominican_Republic"", ""expressed_reservations"", ""treaty""], [""Germany"", ""expressed_reservations"", ""treaty""], [""Germany"", ""will_support"", ""pact""]]",0.6254627916220946,0.7862024307250977,0.8632965087890625,0.14433756729740643,0.6254627916220946,0.9603543356788116,0.9268651812731399,0.8933760268674682,0.8598868724617964,0.8263977180561248,0.7929085636504531,0.7594194092447815,0.7259302548391098,0.692441100433438,0.6589519460277663,0.6254627916220946,0.9148636858745605,0.9256318232518738
3,Shares of Coke closed New York Stock Exchange trading Thursday at $ 44.01 .,"In morning trading on the New York Stock Exchange , Coca-Cola shares were down 34 cents at $ 43.67 .","[[""Coke"", ""closed_at"", ""$44.01""], [""Coke"", ""traded_on"", ""New_York_Stock_Exchange""]]","[[""Coca-Cola"", ""traded_on"", ""New_York_Stock_Exchange""], [""Coca-Cola"", ""closed_at"", ""$43.67""], [""Coca-Cola"", ""decreased_by"", ""$0.34""]]",0.3888888888888889,0.0,0.4567145109176636,0.28867513459481287,0.3888888888888889,0.8348810755522051,0.7902818568858735,0.7456826382195418,0.7010834195532103,0.6564842008868786,0.611884982220547,0.5672857635542154,0.5226865448878838,0.47808732622155214,0.43348810755522055,0.3888888888888889,0.8502383771288096,0.897034156560452
4,"Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity , increasing the chances that the effectiveness of the medication will be diffused .","Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity , a problem that complicates the task of properly measuring effectiveness .","[[""others"", ""cite"", ""difficulty_of_assembling""], [""difficulty_of_assembling"", ""is"", ""comparable_severity""], [""comparable_severity"", ""increases_chances_of"", ""effectiveness_diffusion""], [""effectiveness"", ""is_diffused_by"", ""comparable_severity""]]","[[""others"", ""cite"", ""difficulty_of_assembling""], [""difficulty_of_assembling"", ""is"", ""comparable_severity""], [""comparable_severity"", ""complicates"", ""measuring_effectiveness""], [""measuring_effectiveness"", ""is"", ""task""]]",0.4472135954999579,0.29881179332733154,0.5316887497901917,0.2,0.4472135954999579,0.9373743485225813,0.8883582732203189,0.8393421979180566,0.7903261226157943,0.7413100473135319,0.6922939720112696,0.6432778967090073,0.594261821406745,0.5452457461044826,0.49622967080222025,0.4472135954999579,0.8783350599604287,0.8434596977709775
5,The Hulk weekend take surpasses the previous June record of $ 54.9-million for Austin Powers : The Spy Who Shagged Me .,"It beat the previous record of $ 54.9 set by 1999 's "" Austin Powers : The Spy Who Shagged Me . ""","[[""Hulk"", ""weekend_take_surpasses"", ""Austin_Powers_:_The_Spy_Who_Shagged_Me""], [""Austin_Powers_:_The_Spy_Who_Shagged_Me"", ""had_record"", ""54.9-million""], [""Austin_Powers_:_The_Spy_Who_Shagged_Me"", ""record_set_in"", ""June""]]","[[""Hulk"", ""beat_record"", ""Austin_Powers_:_The_Spy_Who_Shagged_Me""], [""Austin_Powers_:_The_Spy_Who_Shagged_Me"", ""had_record"", ""54.9""], [""Austin_Powers_:_The_Spy_Who_Shagged_Me"", ""record_set_in"", ""1999""]]",0.125,0.6915227174758911,0.6660785675048828,0.125,0.375,0.9517106281486698,0.8940395653338028,0.8363685025189358,0.7786974397040689,0.7210263768892019,0.6633553140743349,0.6056842512594679,0.5480131884446009,0.49034212562973395,0.432671062814867,0.375,0.8434015305433216,0.8855634868964157
6,"Mallard 's friend , Clete Jackson , and his cousin , Herbert Tyrone Cleveland , pleaded guilty last year to dumping Biggs ' body .","That night Jackson and his cousin , Herbert Tyrone Cleveland , went with Mallard to her house .","[[""Mallard"", ""friend"", ""Clete_Jackson""], [""Clete_Jackson"", ""cousin"", ""Herbert_Tyrone_Cleveland""], [""Clete_Jackson"", ""pleaded_guilty"", ""dumping_Biggs_body""], [""Herbert_Tyrone_Cleveland"", ""pleaded_guilty"", ""dumping_Biggs_body""], [""Mallard"", ""cousin"", ""Herbert_Tyrone_Cleveland""], [""Biggs"", ""body_dumped_by"", ""Clete_Jackson""], [""Biggs"", ""body_dumped_by"", ""Herbert_Tyrone_Cleveland""]]","[[""Jackson"", ""cousin"", ""Herbert_Tyrone_Cleveland""], [""Mallard"", ""accompanied_by"", ""Jackson""], [""Mallard"", ""accompanied_by"", ""Herbert_Tyrone_Cleveland""], [""Mallard"", ""went_to"", ""her_house""], [""Jackson"", ""went_to"", ""Mallard_house""], [""Herbert_Tyrone_Cleveland"", ""went_to"", ""Mallard_house""]]",0.08606629658238704,0.0,0.4533229172229767,0.06666666666666667,0.07453559924999299,0.7296900395252356,0.6641745954977113,0.5986591514701871,0.5331437074426628,0.4676282634151385,0.4021128193876143,0.33659737536009005,0.2710819313325658,0.20556648730504146,0.14005104327751722,0.07453559924999299,0.6504518302596838,0.7120126621318164
7,"Researchers predicted an additional 23 cases of dementia a year for every 10,000 women on the therapy .","This represents an additional 23 cases of dementia per year in every 10,000 women treated .","[[""Researchers"", ""predicted"", ""additional_23_cases_of_dementia""], [""additional_23_cases_of_dementia"", ""occurs_in"", ""10,000_women""], [""10,000_women"", ""on"", ""therapy""]]","[[""additional_23_cases_of_dementia"", ""represents"", ""dementia_per_year""], [""dementia_per_year"", ""occurs_in"", ""10,000_women""], [""10,000_women"", ""are"", ""treated""]]",0.09622504486493763,0.054813046008348465,0.32951605319976807,0.08333333333333333,0.08333333333333333,0.931492675420588,0.8466767412118625,0.7618608070031372,0.6770448727944116,0.5922289385856861,0.5074130043769607,0.4225970701682352,0.3377811359595098,0.25296520175078424,0.16814926754205878,0.08333333333333333,0.7794721664939158,0.8175312191831103
8,"At 5 p.m. EDT , Henri had maximum sustained winds near 50 mph , with some gusts reaching 60 mph .","At 8 p.m. Friday , Henri was becoming disorganized , but still had maximum sustained winds near 50 mph , with stronger gusts .","[[""Henri"", ""had_maximum_sustained_winds"", ""50_mph""], [""Henri"", ""had_gusts_reaching"", ""60_mph""]]","[[""Henri"", ""was_becoming_disorganized_at"", ""8_p.m._Friday""], [""Henri"", ""had_maximum_sustained_winds"", ""50_mph""], [""Henri"", ""had_stronger_gusts"", ""stronger_gusts""]]",1.0,0.3095472455024719,0.6205713748931885,0.3367876570272817,0.6851601597031488,0.9555462605370413,0.928507650453652,0.9014690403702628,0.8744304302868735,0.8473918202034842,0.820353210120095,0.7933146000367057,0.7662759899533166,0.7392373798699272,0.7121987697865381,0.6851601597031488,0.9530159340804274,0.7701139141330838
9,"A photograph of the doctor 's son , Ariel , holding the guitar appeared in the National Enquirer two weeks after Harrison 's death .",A picture of the doctor 's son holding the guitar appeared in the National Enquirer just two weeks after George died .,"[[""Ariel"", ""is"", ""doctor\""s_son""], [""Ariel"", ""holding"", ""guitar""], [""photograph_of_Ariel"", ""appeared_in"", ""National_Enquirer""], [""photograph_of_Ariel"", ""appeared_two_weeks_after"", ""Harrison\""s_death""]]","[[""doctor\""s_son"", ""holding"", ""guitar""], [""picture_of_doctor\""s_son"", ""appeared_in"", ""National_Enquirer""], [""picture_of_doctor\""s_son"", ""appeared_two_weeks_after"", ""George\""s_death""]]",0.4844813951249544,0.2953599691390991,0.6464618444442749,0.39557740264262,0.39557740264262,0.5452684284782129,0.5302993258946536,0.5153302233110943,0.500361120727535,0.4853920181439757,0.47042291556041643,0.45545381297685716,0.44048471039329784,0.42551560780973857,0.41054650522617925,0.39557740264262,0.6821486486212907,0.6213858259902051
