id,paragraph_1,kg_1,paragraph_2,kg_2,paragraph_3,kg_3
0,To evaluate the efficacy of extracorporeal shock wave lithotripsy (SWL) on lower calyceal calculi in relation to the renal anatomical factors and determine which of these factors can be used to select patients who will benefit from SWL.,"[[""extracorporeal_shock_wave_lithotripsy"", ""evaluated_for"", ""lower_calyceal_calculi""], [""extracorporeal_shock_wave_lithotripsy"", ""related_to"", ""renal_anatomical_factors""], [""renal_anatomical_factors"", ""used_to"", ""select_patients""], [""select_patients"", ""benefit_from"", ""extracorporeal_shock_wave_lithotripsy""]]",Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 22 mm suggests a good outcome from lithotripsy.,"[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""benefit_from"", ""SWL_treatment""], [""Lower_Infundibular_height"", ""measured_as"", ""less_than_22_mm""], [""less_than_22_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""result_of"", ""lithotripsy""], [""SWL_treatment"", ""same_as"", ""lithotripsy""], [""patients"", ""have"", ""lower_calyceal_lithiasis""]]",reduced Infundibular tallness could be a full measuring tool for deciding which individuals with abject calyceal lithiasis would benefit from SWL intervention. Height of less than 22 mm suggests a full finding from lithotripsy.,"[[""reduced_Infundibular_tallness"", ""used_for"", ""deciding_individuals""], [""deciding_individuals"", ""benefit_from"", ""SWL_intervention""], [""reduced_Infundibular_tallness"", ""measured_as"", ""less_than_22_mm""], [""less_than_22_mm"", ""suggests"", ""full_finding""], [""full_finding"", ""result_of"", ""lithotripsy""], [""SWL_intervention"", ""same_as"", ""lithotripsy""], [""individuals"", ""have"", ""abject_calyceal_lithiasis""]]"
1,To evaluate the efficacy of extracorporeal shock wave lithotripsy (SWL) on lower calyceal calculi in relation to the renal anatomical factors and determine which of these factors can be used to select patients who will benefit from SWL.,"[[""extracorporeal_shock_wave_lithotripsy"", ""evaluated_for"", ""lower_calyceal_calculi""], [""lower_calyceal_calculi"", ""related_to"", ""renal_anatomical_factors""], [""renal_anatomical_factors"", ""used_to"", ""select_patients""], [""select_patients"", ""benefit_from"", ""extracorporeal_shock_wave_lithotripsy""]]",Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 22 mm suggests a good outcome from lithotripsy.,"[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""benefit_from"", ""SWL_treatment""], [""patients"", ""have"", ""lower_calyceal_lithiasis""], [""Lower_Infundibular_height"", ""measure"", ""less_than_22_mm""], [""less_than_22_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""result_of"", ""lithotripsy""]]",Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 9 mm suggests a good outcome from lithotripsy.,"[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""benefit_from"", ""SWL_treatment""], [""patients"", ""have"", ""lower_calyceal_lithiasis""], [""Lower_Infundibular_height"", ""measure"", ""less_than_9_mm""], [""less_than_9_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""result_of"", ""lithotripsy""]]"
2,To evaluate the efficacy of extracorporeal shock wave lithotripsy (SWL) on lower calyceal calculi in relation to the renal anatomical factors and determine which of these factors can be used to select patients who will benefit from SWL.,"[[""extracorporeal_shock_wave_lithotripsy"", ""evaluated_for"", ""lower_calyceal_calculi""], [""lower_calyceal_calculi"", ""related_to"", ""renal_anatomical_factors""], [""renal_anatomical_factors"", ""used_to"", ""select_patients""], [""select_patients"", ""benefit_from"", ""extracorporeal_shock_wave_lithotripsy""]]",Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 22 mm suggests a good outcome from lithotripsy.,"[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""have"", ""lower_calyceal_lithiasis""], [""lower_calyceal_lithiasis"", ""treated_with"", ""SWL_treatment""], [""SWL_treatment"", ""benefits_from"", ""Lower_Infundibular_height""], [""Lower_Infundibular_height"", ""less_than"", ""22_mm""], [""22_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""from"", ""lithotripsy""]]",Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. a good outcome from lithotripsy suggests Height of less than 22 mm.,"[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""have"", ""lower_calyceal_lithiasis""], [""lower_calyceal_lithiasis"", ""treated_with"", ""SWL_treatment""], [""SWL_treatment"", ""benefits_from"", ""Lower_Infundibular_height""], [""Lower_Infundibular_height"", ""less_than"", ""22_mm""], [""22_mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""from"", ""lithotripsy""]]"
3,To evaluate the efficacy of extracorporeal shock wave lithotripsy (SWL) on lower calyceal calculi in relation to the renal anatomical factors and determine which of these factors can be used to select patients who will benefit from SWL.,"[[""extracorporeal_shock_wave_lithotripsy"", ""evaluated_for"", ""lower_calyceal_calculi""], [""extracorporeal_shock_wave_lithotripsy"", ""related_to"", ""renal_anatomical_factors""], [""renal_anatomical_factors"", ""used_to"", ""select_patients""], [""select_patients"", ""benefit_from"", ""extracorporeal_shock_wave_lithotripsy""]]",Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 22 mm suggests a good outcome from lithotripsy.,"[[""Lower_Infundibular_height"", ""used_for"", ""deciding_patients""], [""deciding_patients"", ""benefit_from"", ""SWL_treatment""], [""Lower_Infundibular_height"", ""measurement_tool"", ""lithiasis""], [""Height_less_than_22mm"", ""suggests"", ""good_outcome""], [""good_outcome"", ""result_of"", ""lithotripsy""]]","The great majority of U.S. renal transplant centers will not transplant kidneys to HIV-infected patients with end-stage renal disease, even if their infection is asymptomatic. However, advances in the management of HIV infection and a review of relevant ethical issues suggest that this approach should be reconsidered.","[[""U.S._renal_transplant_centers"", ""will_not_transplant"", ""HIV_infected_patients""], [""HIV_infected_patients"", ""have"", ""end_stage_renal_disease""], [""end_stage_renal_disease"", ""treated_with"", ""renal_transplant""], [""U.S._renal_transplant_centers"", ""reconsider_approach"", ""HIV_infection_management""], [""HIV_infection_management"", ""advances_in"", ""treatment""], [""ethical_issues"", ""reviewed"", ""renal_transplant""], [""renal_transplant"", ""considered_for"", ""HIV_infected_patients""]]"
4,This study sought to investigate the ischemic and bleeding outcomes of patients fulfilling high bleeding risk (HBR) criteria who were randomized to zotarolimus-eluting Endeavor Sprint stent (E-ZES) or bare-metal stent (BMS) implantation followed by an abbreviated dual antiplatelet therapy (DAPT) duration for stable or unstable coronary artery disease.,[],"Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).",[],"Among HBR individuals with static or precarious coronary artery condition, E-ZES nidation provides superscript efficaciousness and refuge as compared with established BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).",[]
5,This study sought to investigate the ischemic and bleeding outcomes of patients fulfilling high bleeding risk (HBR) criteria who were randomized to zotarolimus-eluting Endeavor Sprint stent (E-ZES) or bare-metal stent (BMS) implantation followed by an abbreviated dual antiplatelet therapy (DAPT) duration for stable or unstable coronary artery disease.,"[[""study"", ""investigates"", ""ischemic_outcomes""], [""study"", ""investigates"", ""bleeding_outcomes""], [""patients"", ""fulfill"", ""high_bleeding_risk_criteria""], [""patients"", ""have"", ""stable_coronary_artery_disease""], [""patients"", ""have"", ""unstable_coronary_artery_disease""], [""patients"", ""randomized_to"", ""zotarolimus-eluting_Endeavor_Sprint_stent""], [""patients"", ""randomized_to"", ""bare-metal_stent""], [""zotarolimus-eluting_Endeavor_Sprint_stent"", ""implantation_followed_by"", ""abbreviated_dual_antiplatelet_therapy""], [""bare-metal_stent"", ""implantation_followed_by"", ""abbreviated_dual_antiplatelet_therapy""], [""zotarolimus-eluting_Endeavor_Sprint_stent"", ""used_for"", ""coronary_artery_disease""], [""bare-metal_stent"", ""used_for"", ""coronary_artery_disease""]]","Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","[[""E-ZES"", ""provides"", ""superior_efficacy""], [""E-ZES"", ""provides"", ""superior_safety""], [""E-ZES"", ""compared_to"", ""conventional_BMS""], [""HBR_patients"", ""have"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""have"", ""unstable_coronary_artery_disease""], [""E-ZES_implantation"", ""performed_in"", ""HBR_patients""], [""ZEUS"", ""investigates"", ""E-ZES_implantation""], [""ZEUS"", ""identified_by"", ""NCT01385319""]]","Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-ESCC in Uncertain DES Candidates [ZEUS]; NCT01385319).","[[""E-ZES"", ""provides"", ""superior_efficacy""], [""E-ZES"", ""provides"", ""superior_safety""], [""E-ZES"", ""compared_to"", ""conventional_BMS""], [""HBR_patients"", ""have"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""have"", ""unstable_coronary_artery_disease""], [""E-ZES_implantation"", ""performed_in"", ""HBR_patients""], [""ZEUS"", ""investigates"", ""E-ZES_implantation""], [""ZEUS"", ""identified_by"", ""NCT01385319""], [""Zotarolimus-ESCC"", ""used_in"", ""ZEUS""]]"
6,This study sought to investigate the ischemic and bleeding outcomes of patients fulfilling high bleeding risk (HBR) criteria who were randomized to zotarolimus-eluting Endeavor Sprint stent (E-ZES) or bare-metal stent (BMS) implantation followed by an abbreviated dual antiplatelet therapy (DAPT) duration for stable or unstable coronary artery disease.,"[[""study"", ""investigate"", ""ischemic_outcomes""], [""study"", ""investigate"", ""bleeding_outcomes""], [""patients"", ""fulfill"", ""high_bleeding_risk_criteria""], [""patients"", ""randomized_to"", ""zotarolimus-eluting_Endeavor_Sprint_stent""], [""patients"", ""randomized_to"", ""bare-metal_stent""], [""zotarolimus-eluting_Endeavor_Sprint_stent"", ""implantation_followed_by"", ""abbreviated_dual_antiplatelet_therapy""], [""bare-metal_stent"", ""implantation_followed_by"", ""abbreviated_dual_antiplatelet_therapy""], [""abbreviated_dual_antiplatelet_therapy"", ""used_for"", ""stable_coronary_artery_disease""], [""abbreviated_dual_antiplatelet_therapy"", ""used_for"", ""unstable_coronary_artery_disease""]]","Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","[[""HBR_patients"", ""have"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""have"", ""unstable_coronary_artery_disease""], [""E-ZES_implantation"", ""provides"", ""superior_efficacy""], [""E-ZES_implantation"", ""provides"", ""superior_safety""], [""E-ZES_implantation"", ""compared_with"", ""conventional_BMS""], [""ZEUS"", ""investigate"", ""E-ZES_implantation""], [""ZEUS"", ""identified_by"", ""NCT01385319""]]","Among HBR patients with stable or unstable coronary artery disease, superior efficacy and safety provides E-ZES implantation as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","[[""HBR_patients"", ""have"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""have"", ""unstable_coronary_artery_disease""], [""E-ZES_implantation"", ""provides"", ""superior_efficacy""], [""E-ZES_implantation"", ""provides"", ""superior_safety""], [""E-ZES_implantation"", ""compared_with"", ""conventional_BMS""], [""ZEUS"", ""investigate"", ""E-ZES_implantation""], [""ZEUS"", ""identified_by"", ""NCT01385319""]]"
7,This study sought to investigate the ischemic and bleeding outcomes of patients fulfilling high bleeding risk (HBR) criteria who were randomized to zotarolimus-eluting Endeavor Sprint stent (E-ZES) or bare-metal stent (BMS) implantation followed by an abbreviated dual antiplatelet therapy (DAPT) duration for stable or unstable coronary artery disease.,"[[""study"", ""investigated"", ""ischemic_outcomes""], [""study"", ""investigated"", ""bleeding_outcomes""], [""patients"", ""fulfilling"", ""high_bleeding_risk_criteria""], [""patients"", ""randomized_to"", ""zotarolimus-eluting_Endeavor_Sprint_stent""], [""patients"", ""randomized_to"", ""bare-metal_stent""], [""zotarolimus-eluting_Endeavor_Sprint_stent"", ""implantation_followed_by"", ""abbreviated_dual_antiplatelet_therapy""], [""bare-metal_stent"", ""implantation_followed_by"", ""abbreviated_dual_antiplatelet_therapy""], [""patients"", ""had"", ""stable_coronary_artery_disease""], [""patients"", ""had"", ""unstable_coronary_artery_disease""]]","Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","[[""HBR_patients"", ""had"", ""stable_coronary_artery_disease""], [""HBR_patients"", ""had"", ""unstable_coronary_artery_disease""], [""E-ZES"", ""provides"", ""superior_efficacy""], [""E-ZES"", ""provides"", ""superior_safety""], [""E-ZES"", ""compared_to"", ""conventional_BMS""], [""ZEUS"", ""studied"", ""E-ZES""], [""ZEUS"", ""identified_by"", ""NCT01385319""]]","Liquid-based preparations performed significantly better in urinary cytology challenges when evaluating malignant categories in the College of American Pathologists interlaboratory comparison program. The liquid-based preparation challenges also performed better for the exact reference interpretation of HGUCA, but no difference was observed for adenocarcinoma challenges. Cytotechnologists perform better than pathologists for all slide types, as well as those demonstrating HGUCA. These results suggest that liquid-based preparations facilitate a more accurate diagnosis than conventional preparations.","[[""liquid-based_preparations"", ""performed_better_in"", ""urinary_cytology_challenges""], [""urinary_cytology_challenges"", ""evaluated"", ""malignant_categories""], [""malignant_categories"", ""part_of"", ""College_of_American_Pathologists_interlaboratory_comparison_program""], [""liquid-based_preparation_challenges"", ""performed_better_for"", ""HGUCA""], [""cytotechnologists"", ""performed_better_than"", ""pathologists""], [""cytotechnologists"", ""performed_better_for"", ""HGUCA""], [""liquid-based_preparations"", ""facilitate"", ""accurate_diagnosis""], [""liquid-based_preparations"", ""compared_to"", ""conventional_preparations""]]"
8,To investigate the diagnostic value of a half dose compared with a full dose of gadobenate dimeglumine in the assessment of synovitis or tenosynovitis in the wrist and finger joints in patients with early rheumatoid arthritis (RA) and a disease activity score greater than 3.2.,"[[""gadobenate_dimeglumine"", ""used_for"", ""assessment_of_synovitis""], [""gadobenate_dimeglumine"", ""used_for"", ""assessment_of_tenosynovitis""], [""gadobenate_dimeglumine"", ""used_in"", ""wrist_joints""], [""gadobenate_dimeglumine"", ""used_in"", ""finger_joints""], [""patients"", ""have"", ""early_rheumatoid_arthritis""], [""patients"", ""have"", ""disease_activity_score_greater_than_3.2""], [""half_dose_gadobenate_dimeglumine"", ""compared_to"", ""full_dose_gadobenate_dimeglumine""]]","Postcontrast synovial SIs showed high correlation between half dose and full dose, and image quality was rated identically. Therefore, half-dose gadobenate dimeglumine at 3-T MR imaging may be sufficient for assessing synovitis or tenosynovitis in early RA.","[[""half_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""full_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""postcontrast_synovial_SIs"", ""show"", ""high_correlation""], [""half_dose_gadobenate_dimeglumine"", ""correlated_with"", ""full_dose_gadobenate_dimeglumine""], [""image_quality"", ""rated"", ""identically""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tenosynovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_for"", ""early_RA""]]","Postcontrast synovial SIs showed eminent correlativity between half dosage and full dose, and persona caliber was rated identically. Therefore, half-dose gadobenate dimeglumine at 3-T MR imaging may be sufficient for assessing synovitis or tendosynovitis in former RA.","[[""half_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""full_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""postcontrast_synovial_SIs"", ""show"", ""eminent_correlativity""], [""half_dose_gadobenate_dimeglumine"", ""correlated_with"", ""full_dose_gadobenate_dimeglumine""], [""persona_caliber"", ""rated"", ""identically""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tendosynovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_for"", ""former_RA""]]"
9,To investigate the diagnostic value of a half dose compared with a full dose of gadobenate dimeglumine in the assessment of synovitis or tenosynovitis in the wrist and finger joints in patients with early rheumatoid arthritis (RA) and a disease activity score greater than 3.2.,"[[""gadobenate_dimeglumine"", ""used_for"", ""assessment_of_synovitis""], [""gadobenate_dimeglumine"", ""used_for"", ""assessment_of_tenosynovitis""], [""gadobenate_dimeglumine"", ""used_in"", ""wrist_and_finger_joints""], [""patients"", ""have"", ""early_rheumatoid_arthritis""], [""early_rheumatoid_arthritis"", ""characterized_by"", ""disease_activity_score_greater_than_3.2""], [""half_dose"", ""compared_to"", ""full_dose""], [""half_dose"", ""used_in"", ""investigation_of_diagnostic_value""], [""full_dose"", ""used_in"", ""investigation_of_diagnostic_value""]]","Postcontrast synovial SIs showed high correlation between half dose and full dose, and image quality was rated identically. Therefore, half-dose gadobenate dimeglumine at 3-T MR imaging may be sufficient for assessing synovitis or tenosynovitis in early RA.","[[""postcontrast_synovial_SIs"", ""show"", ""high_correlation""], [""high_correlation"", ""between"", ""half_dose""], [""high_correlation"", ""between"", ""full_dose""], [""image_quality"", ""rated_identically"", ""half_dose""], [""image_quality"", ""rated_identically"", ""full_dose""], [""half_dose_gadobenate_dimeglumine"", ""used_at"", ""3-T_MR_imaging""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tenosynovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_in"", ""early_RA""]]","Postcontrast synovial SIs showed high correlation between half dose and full dose, and image quality was rated identically. Therefore, half-dose gadobenate dimeglumine at 1-T MR imaging may be sufficient for assessing synovitis or tenosynovitis in early RA.","[[""postcontrast_synovial_SIs"", ""show"", ""high_correlation""], [""high_correlation"", ""between"", ""half_dose""], [""high_correlation"", ""between"", ""full_dose""], [""image_quality"", ""rated_identically"", ""half_dose""], [""image_quality"", ""rated_identically"", ""full_dose""], [""half_dose_gadobenate_dimeglumine"", ""used_at"", ""1-T_MR_imaging""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_synovitis""], [""half_dose_gadobenate_dimeglumine"", ""sufficient_for"", ""assessing_tenosynovitis""], [""half_dose_gadobenate_dimeglumine"", ""used_in"", ""early_RA""]]"
