id,paragraph_1,paragraph_2,kg_1,kg_2,snea_bert_similarity
0,"Last week , his lawyers asked Warner to grant clemency under conditions that would have lead to a new sentencing hearing .","Last week , his lawyers asked Gov. Mark R. Warner to grant clemency , but the governor declined to intervene .","[[""lawyers"", ""asked"", ""Warner""], [""Warner"", ""to_grant"", ""clemency""], [""clemency"", ""condition"", ""new_sentencing_hearing""]]","[[""lawyers"", ""asked"", ""Mark_R._Warner""], [""Mark_R._Warner"", ""to_grant"", ""clemency""], [""Mark_R._Warner"", ""declined_to"", ""intervene""]]",0.5806089729476651
1,It forecast 445 billion yen in loan-loss charges for the year ending next March .,The bank booked 820 billion yen in loan-loss charges compared with 1.9 trillion yen a year ago .,"[[""It"", ""forecast"", ""445_billion_yen_in_loan_loss_charges""], [""445_billion_yen_in_loan_loss_charges"", ""for_year_ending"", ""next_March""]]","[[""The_bank"", ""booked"", ""820_billion_yen_in_loan_loss_charges""], [""820_billion_yen_in_loan_loss_charges"", ""compared_to"", ""1.9_trillion_yen""], [""1.9_trillion_yen"", ""was_booked"", ""a_year_ago""]]",0.44786882906523406
2,"Only two other countries , Germany and the Dominican Republic , have publicly expressed reservations , and Germany has since said it will sign it .","Only two other countries , the Dominican Republic and Germany , publicly expressed reservations about the treaty , and Germany has since said it will support the pact .","[[""Germany"", ""expressed_reservations"", ""treaty""], [""Dominican_Republic"", ""expressed_reservations"", ""treaty""], [""Germany"", ""will_sign"", ""treaty""]]","[[""Dominican_Republic"", ""expressed_reservations"", ""treaty""], [""Germany"", ""expressed_reservations"", ""treaty""], [""Germany"", ""will_support"", ""pact""]]",0.7929085636504531
3,Shares of Coke closed New York Stock Exchange trading Thursday at $ 44.01 .,"In morning trading on the New York Stock Exchange , Coca-Cola shares were down 34 cents at $ 43.67 .","[[""Coke"", ""closed_at"", ""$44.01""], [""Coke"", ""traded_on"", ""New_York_Stock_Exchange""]]","[[""Coca-Cola"", ""traded_on"", ""New_York_Stock_Exchange""], [""Coca-Cola"", ""closed_at"", ""$43.67""], [""Coca-Cola"", ""decreased_by"", ""$0.34""]]",0.611884982220547
4,"Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity , increasing the chances that the effectiveness of the medication will be diffused .","Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity , a problem that complicates the task of properly measuring effectiveness .","[[""others"", ""cite"", ""difficulty_of_assembling""], [""difficulty_of_assembling"", ""is"", ""comparable_severity""], [""comparable_severity"", ""increases_chances_of"", ""effectiveness_diffusion""], [""effectiveness"", ""is_diffused_by"", ""comparable_severity""]]","[[""others"", ""cite"", ""difficulty_of_assembling""], [""difficulty_of_assembling"", ""is"", ""comparable_severity""], [""comparable_severity"", ""complicates"", ""measuring_effectiveness""], [""measuring_effectiveness"", ""is"", ""task""]]",0.6922939720112696
5,The Hulk weekend take surpasses the previous June record of $ 54.9-million for Austin Powers : The Spy Who Shagged Me .,"It beat the previous record of $ 54.9 set by 1999 's "" Austin Powers : The Spy Who Shagged Me . ""","[[""Hulk"", ""weekend_take_surpasses"", ""Austin_Powers_:_The_Spy_Who_Shagged_Me""], [""Austin_Powers_:_The_Spy_Who_Shagged_Me"", ""had_record"", ""54.9-million""], [""Austin_Powers_:_The_Spy_Who_Shagged_Me"", ""record_set_in"", ""June""]]","[[""Hulk"", ""beat_record"", ""Austin_Powers_:_The_Spy_Who_Shagged_Me""], [""Austin_Powers_:_The_Spy_Who_Shagged_Me"", ""had_record"", ""54.9""], [""Austin_Powers_:_The_Spy_Who_Shagged_Me"", ""record_set_in"", ""1999""]]",0.6633553140743349
6,"Mallard 's friend , Clete Jackson , and his cousin , Herbert Tyrone Cleveland , pleaded guilty last year to dumping Biggs ' body .","That night Jackson and his cousin , Herbert Tyrone Cleveland , went with Mallard to her house .","[[""Mallard"", ""friend"", ""Clete_Jackson""], [""Clete_Jackson"", ""cousin"", ""Herbert_Tyrone_Cleveland""], [""Clete_Jackson"", ""pleaded_guilty"", ""dumping_Biggs_body""], [""Herbert_Tyrone_Cleveland"", ""pleaded_guilty"", ""dumping_Biggs_body""], [""Mallard"", ""cousin"", ""Herbert_Tyrone_Cleveland""], [""Biggs"", ""body_dumped_by"", ""Clete_Jackson""], [""Biggs"", ""body_dumped_by"", ""Herbert_Tyrone_Cleveland""]]","[[""Jackson"", ""cousin"", ""Herbert_Tyrone_Cleveland""], [""Mallard"", ""accompanied_by"", ""Jackson""], [""Mallard"", ""accompanied_by"", ""Herbert_Tyrone_Cleveland""], [""Mallard"", ""went_to"", ""her_house""], [""Jackson"", ""went_to"", ""Mallard_house""], [""Herbert_Tyrone_Cleveland"", ""went_to"", ""Mallard_house""]]",0.4021128193876143
7,"Researchers predicted an additional 23 cases of dementia a year for every 10,000 women on the therapy .","This represents an additional 23 cases of dementia per year in every 10,000 women treated .","[[""Researchers"", ""predicted"", ""additional_23_cases_of_dementia""], [""additional_23_cases_of_dementia"", ""occurs_in"", ""10,000_women""], [""10,000_women"", ""on"", ""therapy""]]","[[""additional_23_cases_of_dementia"", ""represents"", ""dementia_per_year""], [""dementia_per_year"", ""occurs_in"", ""10,000_women""], [""10,000_women"", ""are"", ""treated""]]",0.5074130043769607
8,"At 5 p.m. EDT , Henri had maximum sustained winds near 50 mph , with some gusts reaching 60 mph .","At 8 p.m. Friday , Henri was becoming disorganized , but still had maximum sustained winds near 50 mph , with stronger gusts .","[[""Henri"", ""had_maximum_sustained_winds"", ""50_mph""], [""Henri"", ""had_gusts_reaching"", ""60_mph""]]","[[""Henri"", ""was_becoming_disorganized_at"", ""8_p.m._Friday""], [""Henri"", ""had_maximum_sustained_winds"", ""50_mph""], [""Henri"", ""had_stronger_gusts"", ""stronger_gusts""]]",0.820353210120095
9,"A photograph of the doctor 's son , Ariel , holding the guitar appeared in the National Enquirer two weeks after Harrison 's death .",A picture of the doctor 's son holding the guitar appeared in the National Enquirer just two weeks after George died .,"[[""Ariel"", ""is"", ""doctor\""s_son""], [""Ariel"", ""holding"", ""guitar""], [""photograph_of_Ariel"", ""appeared_in"", ""National_Enquirer""], [""photograph_of_Ariel"", ""appeared_two_weeks_after"", ""Harrison\""s_death""]]","[[""doctor\""s_son"", ""holding"", ""guitar""], [""picture_of_doctor\""s_son"", ""appeared_in"", ""National_Enquirer""], [""picture_of_doctor\""s_son"", ""appeared_two_weeks_after"", ""George\""s_death""]]",0.47042291556041643
10,He said the district had been waiting for the subpoenas and had always planned to comply once it received them .,Mr. Caramore said the district waited for the subpoenas and planned to cooperate with the investigation .,"[[""Mr._Caramore"", ""said"", ""district""], [""district"", ""had_been_waiting_for"", ""subpoenas""], [""district"", ""planned_to"", ""comply""], [""comply"", ""with"", ""subpoenas""]]","[[""Mr._Caramore"", ""said"", ""district""], [""district"", ""waited_for"", ""subpoenas""], [""district"", ""planned_to"", ""cooperate""], [""cooperate"", ""with"", ""investigation""]]",0.7128109978047804
