id,question,gold_answer,llm_answer,kg_gold,kg_llm,kg_context,gold_similarity,context_similarity
2,Is laparoscopic radical prostatectomy better than traditional retropubic radical prostatectomy?,The results of our non-randomized study show that up to now laparoscopic radical prostatectomy does not provide significant advantages in terms of peri-operative morbidity compared with the traditional retropubic approach.,"No, the two groups were comparable in terms of pathological stage and definitive Gleason score, but operating times were significantly shorter in RRP.","[[""laparoscopic_radical_prostatectomy"", ""compared_to"", ""traditional_retropubic_approach""], [""laparoscopic_radical_prostatectomy"", ""does_not_provide"", ""significant_advantages""], [""significant_advantages"", ""in_terms_of"", ""peri-operative_morbidity""], [""peri-operative_morbidity"", ""compared_with"", ""traditional_retropubic_approach""]]","[[""two_groups"", ""comparable_in"", ""pathological_stage""], [""two_groups"", ""comparable_in"", ""definitive_Gleason_score""], [""operating_times"", ""significantly_shorter_in"", ""RRP""]]","[[""retropubic_radical_prostatectomy"", ""compared_to"", ""laparoscopic_radical_prostatectomy""], [""patients"", ""underwent"", ""retropubic_radical_prostatectomy""], [""patients"", ""underwent"", ""extraperitoneal_laparoscopic_radical_prostatectomy""], [""retropubic_radical_prostatectomy"", ""performed_in"", ""50_consecutive_patients""], [""extraperitoneal_laparoscopic_radical_prostatectomy"", ""performed_in"", ""71_consecutive_patients""], [""two_groups"", ""comparable_in"", ""mean_pre-operative_PSA""], [""two_groups"", ""comparable_in"", ""biopsy_Gleason_score""], [""peri-operative_data"", ""includes"", ""operative_time""], [""peri-operative_data"", ""includes"", ""intra-operative_transfusion_rates""], [""peri-operative_data"", ""includes"", ""post-operative_transfusion_rates""], [""peri-operative_data"", ""includes"", ""complication_rates""], [""peri-operative_data"", ""includes"", ""hospitalization_length""], [""peri-operative_data"", ""includes"", ""duration_of_catheterization""], [""pathological_parameters"", ""include"", ""Gleason_score""], [""pathological_parameters"", ""include"", ""pathological_stage""], [""pathological_parameters"", ""include"", ""positive_surgical_margin_rate""], [""continence_recovery"", ""evaluated_in"", ""patients_with_follow-up_longer_than_12_months""], [""two_groups"", ""comparable_in"", ""pathological_stage""], [""two_groups"", ""comparable_in"", ""definitive_Gleason_score""], [""operating_times"", ""significantly_shorter_in"", ""RRP""], [""LRP_patients"", ""showed_higher"", ""autologous_transfusion""], [""LRP_patients"", ""showed_higher"", ""eterologous_transfusion""], [""complication_rates"", ""no_significant_difference"", ""between_two_groups""], [""rectal_injury_rate"", ""2.8%"", ""in_laparoscopic_group""], [""mean_post-operative_hospital_stay"", ""10.2+/-2_days"", ""in_surgery_group""], [""mean_post-operative_hospital_stay"", ""7.2+/-3.4_days"", ""in_laparoscopy_group""], [""catheterization_time"", ""8.4+/-0.9_days"", ""in_surgery_group""], [""catheterization_time"", ""8+/-2.8_days"", ""in_laparoscopy_group""], [""complete_continence"", ""achieved_in"", ""64%_of_RRP_patients""], [""complete_continence"", ""achieved_in"", ""40%_of_LRP_patients""]]",0.21968886652771463,1.0
29,Providing information on metered dose inhaler technique: is multimedia as effective as print?,"Short-term, multimedia is as least as effective as a good leaflet, and may have advantages for steps involving movement. MTS was acceptable to all age groups. The method could be used more widely in primary care.","No, multimedia was found to be more effective than print in improving inhaler technique among patients with bronchodilator medication.","[[""multimedia"", ""as_effective_as"", ""leaflet""], [""multimedia"", ""has_advantages_for"", ""steps_involving_movement""], [""MTS"", ""acceptable_to"", ""all_age_groups""], [""MTS"", ""can_be_used_in"", ""primary_care""]]","[[""multimedia"", ""more_effective_than"", ""print""], [""multimedia"", ""improves"", ""inhaler_technique""], [""inhaler_technique"", ""improved_in"", ""patients_with_bronchodilator_medication""]]","[[""MDIs"", ""difficult_to_use"", ""well""], [""MDI_users"", ""receive"", ""PIL""], [""PIL"", ""not_effective_for"", ""everyone""], [""multimedia"", ""offers_alternative"", ""teaching_inhaler_technique""], [""study"", ""compared"", ""PIL_and_MTS""], [""trial"", ""conducted_in"", ""London_general_practices""], [""patients"", ""had_repeat_prescription"", ""bronchodilator_MDI""], [""patients"", ""viewed_information_from"", ""PIL""], [""patients"", ""viewed_information_from"", ""MTS""], [""inhaler_technique"", ""videotaped"", ""before_and_after_viewing""], [""technique"", ""rated_using"", ""checklist""], [""technique"", ""rated_using"", ""videotape_timings""], [""outcome_measures"", ""included"", ""global_technique""], [""outcome_measures"", ""included"", ""co-ordination""], [""outcome_measures"", ""included"", ""breathing-in_time""], [""outcome_measures"", ""included"", ""information_acceptability""], [""MTS"", ""improved"", ""global_technique""], [""MTS"", ""improved"", ""co-ordination""], [""PIL"", ""did_not_improve"", ""co-ordination""], [""MTS"", ""increased"", ""breathing-in_time""], [""PIL"", ""increased"", ""breathing-in_time""], [""patients"", ""learned"", ""something_new""], [""MTS_group"", ""more_likely_to_mention"", ""co-ordination""], [""MTS_group"", ""more_likely_to_mention"", ""breathing""]]",0.27282983021366575,0.4555022547350967
45,Does lipoprotein(a) inhibit elastolysis in abdominal aortic aneurysms?,this preliminary study indicate that Lp(a) inhibit elastolysis in asymptomatic AAA.,"Yes, there is a significant negative correlation between serum levels of lipoprotein(a) and elastin-derived peptides, as well as matrix metalloproteinase-9 activation in the aneurysm wall in patients with asymptomatic abdominal aortic aneurysms.","[[""Lp(a)"", ""inhibit"", ""elastolysis""], [""elastolysis"", ""occur_in"", ""asymptomatic_AAA""]]","[[""serum_levels_of_lipoprotein(a)"", ""correlated_with"", ""elastin-derived_peptides""], [""serum_levels_of_lipoprotein(a)"", ""correlated_with"", ""matrix_metalloproteinase-9_activation""], [""matrix_metalloproteinase-9_activation"", ""occur_in"", ""aneurysm_wall""], [""aneurysm_wall"", ""part_of"", ""asymptomatic_abdominal_aortic_aneurysms""], [""asymptomatic_abdominal_aortic_aneurysms"", ""have"", ""serum_levels_of_lipoprotein(a)""], [""serum_levels_of_lipoprotein(a)"", ""have"", ""elastin-derived_peptides""], [""elastin-derived_peptides"", ""occur_in"", ""asymptomatic_abdominal_aortic_aneurysms""]]","[[""Lp(a)"", ""measured_by"", ""enzyme_linked_immunosorbent_assays""], [""elastin-derived_peptides"", ""measured_by"", ""enzyme_linked_immunosorbent_assays""], [""MMP-9_activity"", ""measured_by"", ""gelatin_zymography""], [""Lp(a)"", ""correlated_with"", ""elastin-derived_peptides""], [""Lp(a)"", ""correlated_with"", ""MMP-9_activation""], [""MMP-9_activation"", ""occur_in"", ""AAA_wall""], [""AAA_biopsies"", ""collected_from"", ""patients_with_asymptomatic_AAA""], [""preoperative_serum_samples"", ""collected_from"", ""patients_with_asymptomatic_AAA""], [""patients_with_asymptomatic_AAA"", ""have"", ""Lp(a)""], [""patients_with_asymptomatic_AAA"", ""have"", ""elastin-derived_peptides""], [""patients_with_asymptomatic_AAA"", ""have"", ""MMP-9_activity""], [""Lp(a)"", ""have"", ""negative_correlation_with""], [""Lp(a)"", ""have"", ""negative_correlation_with""], [""negative_correlation"", ""calculated_by"", ""Spearman\""s_rho""]]",0.22896520743807208,0.36475296574939786
46,Thin-section CT of the lung: does electrocardiographic triggering influence diagnosis?,"Given the lack of improvement in diagnostic accuracy and the need for additional resources, ECG-triggered thin-section CT of the lung is not recommended for routine clinical practice.","Yes, electrocardiographic triggering significantly improves the reduction of motion artifacts in certain regions of the lung and increases the diagnostic assessibility of the left lower lobe, but does not affect the diagnostic outcome.","[[""ECG-triggered_thin-section_CT_of_the_lung"", ""not_recommended_for"", ""routine_clinical_practice""]]","[[""electrocardiographic_triggering"", ""improves"", ""reduction_of_motion_artifacts""], [""electrocardiographic_triggering"", ""increases"", ""diagnostic_assessibility_of_the_left_lower_lobe""], [""electrocardiographic_triggering"", ""does_not_affect"", ""diagnostic_outcome""]]","[[""prospective_electrocardiographic_triggering"", ""used_to_determine"", ""impact_on_image_quality""], [""prospective_electrocardiographic_triggering"", ""used_to_determine"", ""impact_on_diagnostic_outcome""], [""forty-five_consecutive_patients"", ""examined_with"", ""prospectively_ECG-triggered_thin-section_CT_of_the_lung""], [""forty-five_consecutive_patients"", ""examined_with"", ""nontriggered_thin-section_CT_of_the_lung""], [""multi-detector_row_helical_CT_scanner"", ""used_for"", ""thin-section_CT_of_the_lung""], [""three_radiologists"", ""rated"", ""subjective_image_quality_criteria""], [""subjective_image_quality_criteria"", ""include"", ""image_noise""], [""subjective_image_quality_criteria"", ""include"", ""motion_artifacts""], [""subjective_image_quality_criteria"", ""include"", ""diagnostic_accessibility""], [""upper_lobe"", ""part_of"", ""lung""], [""middle_lobe"", ""part_of"", ""lung""], [""lower_lobe"", ""part_of"", ""lung""], [""lingula"", ""part_of"", ""lung""], [""pathologic_changes"", ""assessed_for"", ""various_lobes""], [""diagnosis"", ""assigned_to"", ""patients""], [""two_radiologists"", ""compared"", ""diagnoses""], [""Wilcoxon_signed_rank_test"", ""used_for"", ""statistical_analysis""], [""paired_sign_test"", ""used_for"", ""statistical_analysis""], [""Bonferroni_correction"", ""used_for"", ""statistical_analysis""], [""subjective_assessment"", ""showed"", ""significant_differences_in_motion_artifact_reduction""], [""motion_artifact_reduction"", ""occurred_in"", ""middle_lobe""], [""motion_artifact_reduction"", ""occurred_in"", ""lingula""], [""motion_artifact_reduction"", ""occurred_in"", ""left_lower_lobe""], [""diagnostic_assessibility_of_triggered_CT"", ""rated"", ""significantly_higher""], [""diagnostic_assessibility_of_triggered_CT"", ""rated_for"", ""left_lower_lobe""], [""no_differences_in_diagnostic_outcome"", ""determined_between"", ""triggered_and_nontriggered_techniques""], [""mean_image_noise_in_tracheal_air"", ""measured"", ""68.2""], [""mean_image_noise_in_tracheal_air"", ""measured_for"", ""triggered_CT""], [""mean_image_noise_in_tracheal_air"", ""measured"", ""37.4""], [""mean_image_noise_in_tracheal_air"", ""measured_for"", ""nontriggered_CT""], [""mean_signal-to-noise_ratio_in_upper_versus_lower_lobes"", ""measured"", ""22.5""], [""mean_signal-to-noise_ratio_in_upper_versus_lower_lobes"", ""measured_for"", ""triggered_technique""], [""mean_signal-to-noise_ratio_in_upper_versus_lower_lobes"", ""measured"", ""25.4""], [""mean_signal-to-noise_ratio_in_upper_versus_lower_lobes"", ""measured_for"", ""triggered_technique""], [""mean_signal-to-noise_ratio_in_upper_versus_lower_lobes"", ""measured"", ""35.6""], [""mean_signal-to-noise_ratio_in_upper_versus_lower_lobes"", ""measured_for"", ""nontriggered_technique""], [""mean_signal-to-noise_ratio_in_upper_versus_lower_lobes"", ""measured"", ""39.2""], [""mean_signal-to-noise_ratio_in_upper_versus_lower_lobes"", ""measured_for"", ""nontriggered_technique""]]",0.24152229968187489,0.6777948639984239
120,Is IL-10-819C/T gene polymorphism modulating the risk of gallbladder disease in north Indian population?,These results suggest that interplay of sex hormones and IL-10-819C/T polymorphism may lead to the susceptibility of gallstone-mediated gallbladder carcinogenesis.,"No.

Please answer the question in a single paragraph of approximately 20 words.","[[""sex_hormones"", ""interact_with"", ""IL-10-819C/T_polymorphism""], [""sex_hormones"", ""contribute_to"", ""gallstone-mediated_gallbladder_carcinogenesis""], [""IL-10-819C/T_polymorphism"", ""contribute_to"", ""gallstone-mediated_gallbladder_carcinogenesis""], [""gallstone-mediated_gallbladder_carcinogenesis"", ""associated_with"", ""susceptibility""]]",[],"[[""Gallbladder_carcinoma"", ""arises_in"", ""background_of_gall_stones""], [""Gallbladder_carcinoma"", ""arises_in"", ""inflammation""], [""interleukin-10"", ""associated_with"", ""inflammatory_diseases""], [""interleukin-10"", ""associated_with"", ""cancers""], [""IL-10-819C/T_polymorphism"", ""investigated_in"", ""study""], [""study"", ""aimed_at"", ""investigating_IL-10-819C/T_polymorphism""], [""study"", ""comprised_of"", ""GBC_patients""], [""study"", ""comprised_of"", ""gallstone_disease_patients""], [""study"", ""comprised_of"", ""healthy_subjects""], [""GBC_patients"", ""number"", ""124""], [""gallstone_disease_patients"", ""number"", ""135""], [""healthy_subjects"", ""number"", ""200""], [""genomic_DNA"", ""extracted_from"", ""blood_leukocytes""], [""IL-10-819C/T_polymorphism"", ""analyzed_by"", ""polymerase_chain_reaction-restriction_fragment_length_polymorphism""], [""IL-10-819C/T_genotypes"", ""similar_in"", ""GBC""], [""IL-10-819C/T_genotypes"", ""similar_in"", ""gallstone_disease_patients""], [""IL-10-819C/T_genotypes"", ""similar_in"", ""healthy_subjects""], [""male_GBC_patients"", ""have"", ""TT_genotype""], [""TT_genotype"", ""associated_with"", ""sevenfold_risk""], [""TT_genotype"", ""found_in"", ""presence_of_gall_stones""], [""gall_stones"", ""compared_with"", ""gallstone_disease_patients""], [""sevenfold_risk"", ""have"", ""p_value""], [""p_value"", ""equals"", ""0.038""], [""sevenfold_risk"", ""have"", ""odds_ratio""], [""odds_ratio"", ""equals"", ""6.58""], [""sevenfold_risk"", ""have"", ""95%_confidence_interval""], [""95%_confidence_interval"", ""equals"", ""1.11-39.11""]]",0.0,0.0
126,Can psychological factors account for a lack of nocturnal blood pressure dipping?,"These findings suggest that for a better understanding of the nondipping phenomenon, behavioral risk factors are important, and anger response styles may also be worthy of further study. Furthermore, anger coping preferences may be as important, or even more so, than levels of negative affect.","Yes, psychological factors such as anger/hostility and alcohol consumption were found to be predictors of a lack of nocturnal blood pressure dipping in drug-free hypertensives.","[[""behavioral_risk_factors"", ""important_for"", ""understanding_nondipping_phenomenon""], [""anger_response_styles"", ""worthy_of"", ""further_study""], [""anger_coping_preferences"", ""important_for"", ""understanding_nondipping_phenomenon""], [""anger_coping_preferences"", ""relation_to"", ""levels_of_negative_affect""]]","[[""psychological_factors"", ""predictors_of"", ""lack_of_nocturnal_blood_pressure_dipping""], [""anger/hostility"", ""predictor_of"", ""lack_of_nocturnal_blood_pressure_dipping""], [""alcohol_consumption"", ""predictor_of"", ""lack_of_nocturnal_blood_pressure_dipping""], [""drug-free_hypertensives"", ""population_with"", ""lack_of_nocturnal_blood_pressure_dipping""]]","[[""healthy_individuals"", ""experience"", ""decrease_in_blood_pressure_during_sleep""], [""ethnicity"", ""marker_of"", ""nondipping_status""], [""high_daytime_blood_pressure_level"", ""marker_of"", ""nondipping_status""], [""anger/hostility"", ""contributor_to"", ""nondipping""], [""chronic_stress"", ""contributor_to"", ""nondipping""], [""drug-free_hypertensives"", ""population_studied"", ""nondipping_phenomenon""], [""clinical_trial"", ""method_of"", ""studying_nondipping_phenomenon""], [""demographic_data"", ""type_of_data"", ""collected_in_clinical_trial""], [""psychological_data"", ""type_of_data"", ""collected_in_clinical_trial""], [""biological_risk_factor_data"", ""type_of_data"", ""collected_in_clinical_trial""], [""medication_washout"", ""procedure_prior_to"", ""clinical_trial""], [""alcohol_consumption"", ""positive_predictor_of"", ""systolic_blood_pressure_dipping""], [""alcohol_consumption"", ""positive_predictor_of"", ""diastolic_blood_pressure_dipping""], [""anger_diffusion_preference"", ""positive_predictor_of"", ""systolic_blood_pressure_dipping""], [""hierarchical_multiple_regression"", ""method_of"", ""analyzing_data""], [""predictor_variables"", ""account_for"", ""variance_in_systolic_blood_pressure_dipping""], [""predictor_variables"", ""account_for"", ""variance_in_diastolic_blood_pressure_dipping""]]",0.24181033310529634,0.5871889467927348
139,Fetal fibronectin testing in patients with short cervix in the midtrimester: can it identify optimal candidates for ultrasound-indicated cerclage?,"fFN did not identify optimal candidates for cerclage. However, fFN testing before an ultrasound-indicated cerclage aids in counseling patients, anticipating the outcome of pregnancies complicated by cervical shortening.",No significant difference in spontaneous preterm birth was observed between fetal fibronectin-positive and -negative patients in either cerclage or no-cerclage groups.,"[[""fFN"", ""did_not_identify"", ""optimal_candidates_for_cerclage""], [""fFN_testing"", ""aids_in"", ""counseling_patients""], [""fFN_testing"", ""aids_in"", ""anticipating_outcome_of_pregnancies""], [""cervical_shortening"", ""complicates"", ""pregnancies""], [""fFN_testing"", ""performed_before"", ""ultrasound_indicated_cerclage""]]","[[""fetal_fibronectin_positive_patients"", ""compared_to"", ""fetal_fibronectin_negative_patients""], [""cerclage_group"", ""compared_to"", ""no_cerclage_group""], [""spontaneous_preterm_birth"", ""observed_in"", ""fetal_fibronectin_positive_patients""], [""spontaneous_preterm_birth"", ""observed_in"", ""fetal_fibronectin_negative_patients""], [""fetal_fibronectin_positive_patients"", ""did_not_show"", ""significant_difference_in_spontaneous_preterm_birth""], [""fetal_fibronectin_negative_patients"", ""did_not_show"", ""significant_difference_in_spontaneous_preterm_birth""]]","[[""study"", ""had_objective"", ""to_determine_relationship_between_fFN_testing_and_obstetric_outcome""], [""fFN_testing"", ""performed_prior_to"", ""ultrasound_indicated_cerclage""], [""singleton_pregnancies"", ""analyzed"", ""between_18_and_24_weeks_gestation""], [""short_cervix"", ""diagnosed_by"", ""ultrasound""], [""funneling_of_chorioamniotic_membranes"", ""occurred_in"", ""endocervical_canal""], [""patients"", ""randomized_to"", ""cerclage_or_no_cerclage""], [""groups"", ""stratified_by"", ""fFN_result""], [""cerclage_patients"", ""compared_to"", ""no_cerclage_patients""], [""primary_outcome"", ""was"", ""delivery_prior_to_35_weeks_gestation""], [""spontaneous_preterm_birth"", ""occurred_in"", ""fFN_positive_cerclage_patients""], [""spontaneous_preterm_birth"", ""occurred_in"", ""fFN_positive_no_cerclage_patients""], [""spontaneous_preterm_birth"", ""occurred_in"", ""fFN_negative_cerclage_patients""], [""spontaneous_preterm_birth"", ""occurred_in"", ""fFN_negative_no_cerclage_patients""], [""fFN_positive_cerclage_patients"", ""had_spontaneous_preterm_birth_rate"", ""44.1%""], [""fFN_positive_no_cerclage_patients"", ""had_spontaneous_preterm_birth_rate"", ""55.2%""], [""fFN_negative_cerclage_patients"", ""had_spontaneous_preterm_birth_rate"", ""17.8%""], [""fFN_negative_no_cerclage_patients"", ""had_spontaneous_preterm_birth_rate"", ""17%""]]",0.2671224209856337,0.5120371611990653
140,Is the selection of patients for anti-retroviral treatment in Uganda fair?,"Decisions are insufficiently fair and legitimate. Effective mechanisms should be created for appeals, enforcement, and communication of complete rationales. Nonetheless, decisions and rationales are available, and criteria applied even-handedly. Such aspects are a benchmark for less adequate decision-making reported elsewhere.","The selection of patients for anti-retroviral treatment in Uganda is not entirely fair as the criteria used to make decisions are not always transparent or easily understood by patients, and there are limited opportunities for appeals. While many patients were informed whether they could receive treatment or not, the reasons for these decisions were not always clear or relevant to their individual circumstances.","[[""Decisions"", ""lack"", ""fairness""], [""Decisions"", ""lack"", ""legitimacy""], [""Mechanisms"", ""should_be_created_for"", ""appeals""], [""Mechanisms"", ""should_be_created_for"", ""enforcement""], [""Mechanisms"", ""should_be_created_for"", ""communication""], [""Criteria"", ""are_applied"", ""even-handedly""], [""Aspects"", ""are_benchmark_for"", ""less_adequate_decision-making""]]","[[""Criteria"", ""are_not_understood_by"", ""patients""], [""Patients"", ""are_informed_about"", ""treatment""]]","[[""Evaluation_method"", ""is"", ""accountability_for_reasonableness""], [""Accountability_for_reasonableness"", ""considers"", ""Publicity""], [""Accountability_for_reasonableness"", ""considers"", ""Relevance""], [""Accountability_for_reasonableness"", ""considers"", ""Appeals""], [""Accountability_for_reasonableness"", ""considers"", ""Enforcement""], [""Patients"", ""were_told"", ""about_treatment""], [""Patients"", ""were_told"", ""about_rationale""], [""Programs"", ""promote"", ""candidates_understanding""]]",0.25670887633250283,0.5752903431916958
144,Wheezing and respiratory infections in Brazilian children: does a standard management work?,"A good response using WHO protocol suggests its usefulness in emergency rooms, although few cases will continue to receive antibiotics unnecessarily.","In this study, 40% of children with wheezing and ARI did not reach normal respiratory rates after inhalations and 26% of children with pneumonia persisted with fast breathing.","[[""WHO_protocol"", ""suggests_usefulness_in"", ""emergency_rooms""]]","[[""children_with_wheezing_and_ARI"", ""did_not_reach_normal_respiratory_rates"", ""40%""], [""children_with_pneumonia"", ""persisted_with_fast_breathing"", ""26%""]]","[[""ARI"", ""associated_with"", ""wheezing""], [""WHO_protocol"", ""manages"", ""children_with_ARI_and_wheezing""], [""study"", ""conducted_in"", ""Brazilian_pediatric_public_hospital""], [""children_in_study"", ""age_range"", ""2-59_months""], [""children_in_study"", ""mean_age"", ""25.7_months""], [""children_in_study"", ""male_percentage"", ""54.4%""], [""audible_wheezing"", ""detected_in"", ""18.6%_of_children""], [""children_with_fast_breathing"", ""received_inhalations_of"", ""bronchodilator""], [""children_with_persisted_fast_breathing"", ""had_chest_radiographs_taken"", ""yes""], [""oral_antibiotics"", ""prescribed_for"", ""pneumonia""], [""children_with_pneumonia"", ""persisted_with_fast_breathing"", ""26%""], [""children_in_study"", ""reached_normal_respiratory_rates"", ""87.6%""]]",0.1457305025951128,0.7238848792808078
152,Are culture-expanded autogenous bone cells a clinically reliable option for sinus grafting?,These results suggest that SG with ABC and BBM in a clinical setting provides a bony implant site which permits implant placement and will tolerate functional loading.,"Yes, culture-expanded autogenous bone cells are a clinically reliable option for sinus grafting, as evidenced by the high percentage of newly formed bone and low percentage of bone-to-BBM contact area observed in this study.","[[""SG"", ""uses"", ""ABC""], [""SG"", ""uses"", ""BBM""], [""SG"", ""provides"", ""bony_implant_site""], [""bony_implant_site"", ""permits"", ""implant_placement""], [""bony_implant_site"", ""tolerates"", ""functional_loading""]]","[[""culture-expanded_autogenous_bone_cells"", ""are"", ""clinically_reliable_option""], [""culture-expanded_autogenous_bone_cells"", ""used_for"", ""sinus_grafting""], [""sinus_grafting"", ""involves"", ""high_percentage_of_newly_formed_bone""], [""sinus_grafting"", ""involves"", ""low_percentage_of_bone-to-BBM_contact_area""]]","[[""clinical_study"", ""examines"", ""healing_process""], [""healing_process"", ""occurs_during"", ""first_12_months_after_sinuses_grafting""], [""sinus_grafting"", ""uses"", ""autogenous_culture-expanded_bone_cells""], [""sinus_grafting"", ""uses"", ""bovine_bone_mineral""], [""study"", ""involves"", ""22_sinuses""], [""22_sinuses"", ""belong_to"", ""12_patients""], [""patients"", ""have_mean_age"", ""56.2_years""], [""patients"", ""have_age_range"", ""9.3_years""], [""bone_biopsies"", ""obtained_with"", ""trephine_burr""], [""sinuses"", ""grafted_with"", ""BBM""], [""sinuses"", ""grafted_with"", ""ABC""], [""biopsy"", ""taken_after"", ""6_months""], [""implants"", ""number"", ""82""], [""implants"", ""placed_after"", ""6_months""], [""implants"", ""uncovered_after"", ""another_6_months""], [""implants"", ""fitted_with"", ""dentures""], [""newly_formed_bone"", ""percentage"", ""17.9%""], [""newly_formed_bone"", ""standard_deviation"", ""4.6%""], [""NB-to-BBM_contact_area"", ""percentage"", ""26.8%""], [""NB-to-BBM_contact_area"", ""standard_deviation"", ""13.1%""], [""sinus_graft_volume"", ""evaluated_by"", ""dental_CT""], [""dental_CT"", ""performed_at"", ""CT_1""], [""dental_CT"", ""performed_at"", ""CT_2""], [""dental_CT"", ""performed_at"", ""CT_3""], [""sinus_graft_volume"", ""measured_at"", ""2218.4_mm3""], [""sinus_graft_volume"", ""measured_at"", ""1694_mm3""], [""sinus_graft_volume"", ""measured_at"", ""1347.9_mm3""], [""implants"", ""lost"", ""3""]]",0.26818515115139635,0.48955961938144354
