id,question,gold_answer,llm_answer,kg_gold,kg_llm,kg_context,gold_similarity,context_similarity
25,"Spontaneous subarachnoid hemorrhage,: is emergency transcranial Doppler sonography useful?","The ability of TCD recorded in the first 24 hours of hospital admission to detect high-risk vasospasm patients for SAH with low clinical severity helps decide the most efficient patient destination. During the first three days the MV/24h is of value but not the absolute figure of the MV. In contrast, between the 4th and 14th day after SAH, the absolute figure of MV was useful to predict vasospasm.","In patients with spontaneous subarachnoid hemorrhage, emergency transcranial Doppler ultrasonography can help identify a high-risk group for symptomatic vasospasm within the first 24 hours of hospital admission. This is evidenced by a higher increase in mean velocity within the first 72 hours in those who develop sonographic vasospasm, particularly in those admitted within the first 72 hours after the hemorrhage. Additionally, in those admitted later, an increased initial mean velocity is observed in those who suffer sonographic vasospasm, with or without symptoms.","[[""TCD"", ""recorded_in"", ""first_24_hours_of_hospital_admission""], [""TCD"", ""detects"", ""high-risk_vasospasm_patients""], [""high-risk_vasospasm_patients"", ""have"", ""SAH_with_low_clinical_severity""], [""TCD"", ""helps_decide"", ""patient_destination""], [""MV/24h"", ""valuable_in"", ""first_three_days""], [""MV"", ""not_valuable_in"", ""first_three_days""], [""MV"", ""useful_to_predict"", ""vasospasm""], [""MV"", ""useful_between"", ""4th_and_14th_day_after_SAH""]]","[[""emergency_transcranial_Doppler_ultrasonography"", ""helps_identify"", ""high-risk_group_for_symptomatic_vasospasm""], [""high-risk_group_for_symptomatic_vasospasm"", ""identified_within"", ""first_24_hours_of_hospital_admission""], [""mean_velocity"", ""increases_in"", ""first_72_hours""], [""mean_velocity"", ""higher_in"", ""those_who_develop_sonographic_vasospasm""], [""initial_mean_velocity"", ""increased_in"", ""those_admitted_later""], [""initial_mean_velocity"", ""observed_in"", ""those_who_suffer_sonographic_vasospasm""]]","[[""TCD"", ""used_to_detect"", ""high-risk_group_for_symptomatic_vasospasm""], [""TCD"", ""performed_in"", ""Emergency_Department""], [""TCD"", ""performed_between"", ""4th_and_14th_day""], [""patients"", ""classified_into"", ""Group_1""], [""patients"", ""classified_into"", ""Group_2""], [""Group_1"", ""includes"", ""patients_admitted_within_first_72_hours""], [""Group_2"", ""includes"", ""patients_admitted_later_than_72_hours""], [""Group_1"", ""has"", ""normal_initial_MV""], [""MV/24h"", ""increases_in"", ""those_who_develop_sonographic_vasospasm""], [""initial_MV"", ""greater_in"", ""Group_2_patients_with_sonographic_vasospasm""], [""sonographic_vasospasm"", ""occurs_in"", ""13_patients""], [""symptomatic_vasospasm"", ""occurs_in"", ""8_patients""]]",0.31621872068198487,0.5369771589624295
29,Providing information on metered dose inhaler technique: is multimedia as effective as print?,"Short-term, multimedia is as least as effective as a good leaflet, and may have advantages for steps involving movement. MTS was acceptable to all age groups. The method could be used more widely in primary care.","This study compared the effects of brief exposure to metered dose inhaler (MDI) technique information given through a patient information leaflet (PIL) and a multimedia touchscreen computer (MTS) in a single-blind randomized trial involving 105 English-speaking patients. While both groups initially had poor technique, significantly more patients in the MTS group (44%) were rated as improved compared to the PIL group (19%). Co-ordination of inspiration and inhaler actuation improved significantly in the MTS group, but not in the PIL group. However, both groups experienced an increase in breathing-in time. Half the subjects in both groups reported learning something new. These findings suggest that multimedia may be more effective than print in teaching or reinforcing correct MDI technique.","[[""multimedia"", ""as_effective_as"", ""leaflet""], [""multimedia"", ""has_advantages_for"", ""steps_involving_movement""], [""MTS"", ""acceptable_to"", ""all_age_groups""], [""MTS"", ""used_in"", ""primary_care""]]","[[""study"", ""compared"", ""effects_of_MDI_technique_information""], [""MDI_technique_information"", ""given_through"", ""PIL""], [""MDI_technique_information"", ""given_through"", ""MTS""], [""trial"", ""involved"", ""105_English-speaking_patients""], [""MTS_group"", ""had_improved_technique"", ""44%_of_patients""], [""PIL_group"", ""had_improved_technique"", ""19%_of_patients""], [""MTS_group"", ""improved_co-ordination_of_inspiration_and_inhaler_actuation"", ""significantly""], [""PIL_group"", ""did_not_improve_co-ordination_of_inspiration_and_inhaler_actuation"", """"], [""MTS_group"", ""increased_breathing-in_time"", """"], [""PIL_group"", ""increased_breathing-in_time"", """"], [""MTS_group"", ""reported_learning_something_new"", ""half_of_subjects""], [""PIL_group"", ""reported_learning_something_new"", ""half_of_subjects""]]","[[""MDIs"", ""difficult_to_use"", """"], [""MDI_users"", ""receive"", ""PIL""], [""not_all_MDI_users"", ""able_or_willing_to_read"", ""written_information""], [""multimedia"", ""offers_alternative_method"", ""teaching_or_reinforcing_correct_inhaler_technique""], [""study"", ""aimed_to_compare"", ""effects_of_PIL_and_MTS""], [""trial"", ""conducted_in"", ""London_general_practices""], [""trial"", ""involved"", ""105_fluent_English_speakers""], [""patients"", ""had_repeat_prescription_for_bronchodilator_MDI"", """"], [""inhaler_technique"", ""videotaped"", ""before_and_after_viewing_information""], [""PIL_group"", ""had"", ""48_patients""], [""MTS_group"", ""had"", ""57_patients""], [""MTS_group"", ""improved_global_technique"", ""44%_of_patients""], [""PIL_group"", ""improved_global_technique"", ""19%_of_patients""], [""MTS_group"", ""improved_co-ordination_of_inspiration_and_inhaler_actuation"", ""significantly""], [""PIL_group"", ""did_not_improve_co-ordination_of_inspiration_and_inhaler_actuation"", """"], [""MTS_group"", ""increased_breathing-in_time"", ""significantly""], [""PIL_group"", ""increased_breathing-in_time"", ""significantly""], [""MTS_group"", ""reported_learning_something_new"", ""half_of_subjects""], [""PIL_group"", ""reported_learning_something_new"", ""half_of_subjects""]]",0.31149806128314994,0.7843480119103163
36,Is posttransplant lymphoproliferative disorder (PTLD) caused by any specific immunosuppressive drug or by the transplantation per se?,"We found no evidence to implicate any one drug regime preferentially in the development of PTLDs. The risk of developing PTLD seems to be a result of the whole transplantation process, which includes the antigenicity of the foreign graft, the immunosuppression resulting in inadequate cytotoxic T-cell activity, and the result of EBV infection. An important minority of cases are EBV negative.","The available evidence from retrospective studies suggests a potential association between posttransplant lymphoproliferative disorder (PTLD) and specific immunosuppressive drugs like cyclosporine A (CsA) and OKT3. However, a recent retrospective study reevaluating all lymphoma-like lesions arising in kidney-transplant patients between 1969 and 1998 did not find any significant difference in the incidence of PTLDs when comparing different drug eras, including those before or after OKT3, and those before or after antilymphocyte globulin. The study did find that occurrence time was shorter in the CsA, OKT3, and antilymphocyte globulin eras. The use of mycophenolate mofetil (MMF) was associated with a reduction in the number of PTLDs.","[[""PTLDs"", ""developed_from"", ""transplantation_process""], [""transplantation_process"", ""includes"", ""antigenicity_of_foreign_graft""], [""transplantation_process"", ""includes"", ""immunosuppression""], [""transplantation_process"", ""includes"", ""EBV_infection""], [""immunosuppression"", ""results_in"", ""inadequate_cytotoxic_T-cell_activity""], [""EBV_infection"", ""associated_with"", ""PTLDs""], [""cases"", ""can_be"", ""EBV_negative""]]","[[""PTLD"", ""associated_with"", ""immunosuppressive_drugs""], [""immunosuppressive_drugs"", ""include"", ""cyclosporine_A""], [""immunosuppressive_drugs"", ""include"", ""OKT3""], [""retrospective_study"", ""found_no_difference"", ""incidence_of_PTLDs""], [""incidence_of_PTLDs"", ""compared"", ""different_drug_eras""], [""different_drug_eras"", ""include"", ""before_OKT3""], [""different_drug_eras"", ""include"", ""after_OKT3""], [""different_drug_eras"", ""include"", ""before_antilymphocyte_globulin""], [""different_drug_eras"", ""include"", ""after_antilymphocyte_globulin""], [""occurrence_time"", ""shorter_in"", ""CsA_era""], [""occurrence_time"", ""shorter_in"", ""OKT3_era""], [""occurrence_time"", ""shorter_in"", ""antilymphocyte_globulin_era""], [""mycophenolate_mofetil"", ""associated_with"", ""reduction_in_PTLDs""]]","[[""PTLD"", ""associated_with"", ""cyclosporine_A""], [""PTLD"", ""associated_with"", ""OKT3""], [""association"", ""suspected_to_be"", ""biased""], [""study"", ""type"", ""retrospective""], [""study"", ""type"", ""nonrandomized""], [""study"", ""re_evaluated"", ""lymphoma-like_lesions""], [""lymphoma-like_lesions"", ""arising_in"", ""kidney-transplant_patients""], [""kidney-transplant_patients"", ""grafted_at"", ""center""], [""center"", ""time_period"", ""1969_to_1998""], [""study"", ""observed_up_to"", ""2002""], [""association"", ""assessed_with"", ""EBV_infection""], [""association"", ""assessed_with"", ""latency_pattern""], [""incidence_of_PTLDs"", ""compared"", ""prednisolone/azathioprine_era""], [""incidence_of_PTLDs"", ""compared"", ""CsA_era""], [""incidence_of_PTLDs"", ""compared"", ""before_OKT3""], [""incidence_of_PTLDs"", ""compared"", ""after_OKT3""], [""incidence_of_PTLDs"", ""compared"", ""before_antilymphocyte_globulin""], [""incidence_of_PTLDs"", ""compared"", ""after_antilymphocyte_globulin""], [""occurrence_time"", ""shorter_in"", ""CsA_era""], [""occurrence_time"", ""shorter_in"", ""OKT3_era""], [""occurrence_time"", ""shorter_in"", ""antilymphocyte_globulin_era""], [""OKT3_era"", ""includes"", ""patients_receiving_OKT3""], [""OKT3_era"", ""includes"", ""patients_not_receiving_OKT3""], [""mycophenolate_mofetil"", ""associated_with"", ""reduction_in_PTLDs""], [""EBV"", ""detected_in"", ""cases""], [""cases"", ""number"", ""21""], [""EBV"", ""detected_in"", ""16_of_21_cases""]]",0.27547735873517687,0.6304268727547395
39,Does impaired left ventricular relaxation affect P wave dispersion in patients with hypertension?,This study suggests that impaired LV relaxation contributes to the heterogeneous atrial conduction in hypertensive patients.,"In this study of 53 hypertensive patients aged under 60 years, those with impaired left ventricular relaxation had a significantly higher P wave dispersion (51+/-9 ms vs 41+/-11 ms, P=0.01) due to longer Pmin durations (61+/-10 ms vs 67+/-9 ms, P=0.03), and this correlation was confirmed by multivariate analysis with significant associations between PD and A velocity (r=0.46, P=0.01), E/A ratio (r=-0.53, P=0.001), DT (r=0.65, P<0.001), and IVRT (r=0.73, P<0.001).","[[""impaired_LV_relaxation"", ""contributes_to"", ""heterogeneous_atrial_conduction""], [""heterogeneous_atrial_conduction"", ""found_in"", ""hypertensive_patients""]]","[[""impaired_left_ventricular_relaxation"", ""associated_with"", ""higher_P_wave_dispersion""], [""higher_P_wave_dispersion"", ""measured_as"", ""51+/-9_ms""], [""P_wave_dispersion"", ""compared_to"", ""41+/-11_ms""], [""impaired_left_ventricular_relaxation"", ""associated_with"", ""longer_Pmin_durations""], [""longer_Pmin_durations"", ""measured_as"", ""61+/-10_ms""], [""Pmin_durations"", ""compared_to"", ""67+/-9_ms""], [""P_wave_dispersion"", ""correlated_with"", ""A_velocity""], [""P_wave_dispersion"", ""correlated_with"", ""E/A_ratio""], [""P_wave_dispersion"", ""correlated_with"", ""DT""], [""P_wave_dispersion"", ""correlated_with"", ""IVRT""], [""study"", ""involved"", ""53_hypertensive_patients""], [""53_hypertensive_patients"", ""aged"", ""under_60_years""]]","[[""P_wave_dispersion"", ""reflects"", ""heterogeneous_conduction_in_atria""], [""heterogeneous_conduction_in_atria"", ""investigated_in"", ""hypertensive_patients""], [""53_hypertensive_patients"", ""divided_into"", ""Group_A""], [""53_hypertensive_patients"", ""divided_into"", ""Group_B""], [""Group_A"", ""characterized_by"", ""impaired_LV_relaxation""], [""Group_B"", ""characterized_by"", ""normal_LV_relaxation""], [""P_wave_durations"", ""measured_in"", ""12_leads_of_ECG""], [""P_wave_dispersion"", ""defined_as"", ""Pmax-Pmin""], [""mitral_inflow_velocities"", ""obtained_by"", ""echocardiography""], [""mitral_inflow_velocities"", ""include"", ""E_and_A""], [""E_deceleration_time"", ""obtained_by"", ""echocardiography""], [""isovolumic_relaxation_time"", ""obtained_by"", ""echocardiography""], [""left_atrial_and_ventricular_diameters"", ""obtained_by"", ""echocardiography""], [""wall_thickness_of_LV"", ""obtained_by"", ""echocardiography""], [""Group_A"", ""compared_to"", ""Group_B""], [""A_velocity"", ""higher_in"", ""Group_A""], [""E_velocity"", ""lower_in"", ""Group_A""], [""E/A_ratio"", ""lower_in"", ""Group_A""], [""IVRT"", ""longer_in"", ""Group_A""], [""DT"", ""longer_in"", ""Group_A""], [""P_wave_dispersion"", ""higher_in"", ""Group_A""], [""P_wave_dispersion"", ""measured_as"", ""51+/-9_ms""], [""P_wave_dispersion"", ""compared_to"", ""41+/-11_ms""], [""Pmin"", ""measured_as"", ""61+/-10_ms""], [""Pmin"", ""compared_to"", ""67+/-9_ms""], [""P_wave_dispersion"", ""correlated_with"", ""A_velocity""], [""P_wave_dispersion"", ""correlated_with"", ""E/A_ratio""], [""P_wave_dispersion"", ""correlated_with"", ""DT""], [""P_wave_dispersion"", ""correlated_with"", ""IVRT""]]",0.24545137138779966,0.772299595510067
109,Can individuals meet multiple physical activity and dietary behavior goals?,Those with the most goals to achieve reached the most goals.,"Based on the study, individuals assigned to the Established plus DASH group were more likely to meet multiple physical activity and dietary behavior goals at both 6 and 18 months compared to those in the Advice-Only and Established groups.","[[""Those_with_most_goals"", ""achieved"", ""most_goals""]]","[[""Established_plus_DASH_group"", ""more_likely_to_meet"", ""multiple_physical_activity_goals""], [""Established_plus_DASH_group"", ""more_likely_to_meet"", ""multiple_dietary_behavior_goals""], [""Established_plus_DASH_group"", ""compared_to"", ""Advice-Only_group""], [""Established_plus_DASH_group"", ""compared_to"", ""Established_group""], [""Established_plus_DASH_group"", ""met_goals_at"", ""6_months""], [""Established_plus_DASH_group"", ""met_goals_at"", ""18_months""]]","[[""Participants_with_most_behavioral_goals"", ""more_likely_to_meet"", ""more_goals""], [""Participants_with_fewer_goals"", ""less_likely_to_meet"", ""more_goals""], [""Eight_hundred_ten_participants"", ""assigned_to"", ""advice-only""], [""Eight_hundred_ten_participants"", ""assigned_to"", ""established_guidelines""], [""Eight_hundred_ten_participants"", ""assigned_to"", ""established_guidelines_plus_DASH""], [""Established_guidelines"", ""include"", ""reduced_sodium""], [""Established_guidelines"", ""include"", ""increased_physical_activity""], [""Established_plus_DASH"", ""include"", ""increased_fruits""], [""Established_plus_DASH"", ""include"", ""increased_vegetables""], [""Established_plus_DASH"", ""include"", ""low-fat_dairy""], [""Established_plus_DASH"", ""include"", ""reduced_fat""], [""Advice-Only"", ""percentage_met_at_least_3_goals_at_6_months"", ""11.7%""], [""Established"", ""percentage_met_at_least_3_goals_at_6_months"", ""19.3%""], [""Established_plus_DASH"", ""percentage_met_at_least_3_goals_at_6_months"", ""44.6%""], [""Established_plus_DASH"", ""percentage_met_at_least_3_goals_at_18_months"", ""33.5%""]]",0.18938122069926006,0.41508919387897086
144,Wheezing and respiratory infections in Brazilian children: does a standard management work?,"A good response using WHO protocol suggests its usefulness in emergency rooms, although few cases will continue to receive antibiotics unnecessarily.","In this cross-sectional study of 217 Brazilian children aged 2-59 months with acute respiratory infections and wheezing, the WHO protocol effectively managed most cases without the need for antibiotics. After inhalations of bronchodilators, 87.6% of children achieved normal respiratory rates. However, in cases of pneumonia, 26% persisted with fast breathing and received antibiotics. Overall, audible wheezing was detected in 18.6% of children.","[[""WHO_protocol"", ""useful_in"", ""emergency_rooms""], [""WHO_protocol"", ""suggests_usefulness"", ""emergency_rooms""], [""emergency_rooms"", ""receive"", ""antibiotics""], [""antibiotics"", ""received_unnecessarily"", ""few_cases""]]","[[""WHO_protocol"", ""managed"", ""acute_respiratory_infections""], [""WHO_protocol"", ""managed"", ""wheezing""], [""Brazilian_children"", ""aged"", ""2-59_months""], [""Brazilian_children"", ""had"", ""acute_respiratory_infections""], [""Brazilian_children"", ""had"", ""wheezing""], [""inhalations_of_bronchodilators"", ""given_to"", ""children""], [""children"", ""achieved"", ""normal_respiratory_rates""], [""children"", ""received"", ""antibiotics""], [""pneumonia"", ""persisted_with"", ""fast_breathing""], [""antibiotics"", ""received_by"", ""pneumonia_cases""], [""wheezing"", ""detected_in"", ""children""], [""children"", ""had"", ""audible_wheezing""]]","[[""WHO_protocol"", ""managed"", ""acute_respiratory_infections""], [""WHO_protocol"", ""managed"", ""wheezing""], [""World_Health_Organization"", ""created"", ""WHO_protocol""], [""Brazilian_pediatric_public_hospital"", ""conducted"", ""cross-sectional_study""], [""cross-sectional_study"", ""of"", ""children""], [""children"", ""aged"", ""2-59_months""], [""children"", ""had"", ""acute_respiratory_infections""], [""children"", ""had"", ""wheezing""], [""fast_breathing"", ""treated_with"", ""inhalations_of_bronchodilator""], [""pneumonia"", ""diagnosed_with"", ""chest_radiographs""], [""oral_antibiotics"", ""prescribed_for"", ""pneumonia""], [""wheezing"", ""detected_in"", ""children""], [""children"", ""had"", ""audible_wheezing""], [""children"", ""included_in_study"", ""217_children""], [""children"", ""had_mean_age"", ""25.7_months""], [""children"", ""were"", ""males""], [""audible_wheezing"", ""detected_in"", ""40_children""], [""normal_respiratory_rates"", ""reached_in"", ""190_children""], [""pneumonia"", ""persisted_with_fast_breathing"", ""7_children""]]",0.30720168828698663,0.6315831539431545
167,Is embolization of segment 4 portal veins before extended right hepatectomy justified?,RPVE+4 significantly improves S2+3 hypertrophy compared with RPVE alone. Extending RPVE to S4 does not increase PVE-associated complications.,"The study suggests that embolization of segment 4 portal veins before extended right hepatectomy results in a greater volume gain in segments 2 and 3, but there is no significant difference in the absolute volume increase or hypertrophy rate of segment 4. Complications of portal vein embolization occurred in similar rates for both groups. Therefore, the decision to embolize segment 4 portal veins before extended right hepatectomy should be based on individual patient considerations.","[[""RPVE+4"", ""improves"", ""S2+3_hypertrophy""], [""RPVE+4"", ""compared_to"", ""RPVE""], [""RPVE"", ""does_not_increase"", ""PVE-associated_complications""], [""RPVE+4"", ""does_not_increase"", ""PVE-associated_complications""]]","[[""embolization_of_segment_4_portal_veins"", ""results_in"", ""greater_volume_gain_in_S2_and_S3""], [""embolization_of_segment_4_portal_veins"", ""compared_to"", ""extended_right_hepatectomy""], [""decision_to_embolize_segment_4_portal_veins"", ""should_be_based_on"", ""individual_patient_considerations""]]","[[""preoperative_portal_vein_embolization"", ""used_for"", ""major_hepatectomy""], [""preoperative_portal_vein_embolization"", ""used_for"", ""patients_with_inadequate_liver_remnant_volume_or_function""], [""RPVE"", ""performed_on"", ""15_patients""], [""RPVE+4"", ""performed_on"", ""58_patients""], [""S2+3"", ""volume_increased_after"", ""RPVE""], [""S2+3"", ""volume_increased_after"", ""RPVE+4""], [""PVE"", ""complications_occurred_in"", ""1_patient_after_RPVE""], [""PVE"", ""complications_occurred_in"", ""6_patients_after_RPVE+4""], [""curative_hepatectomy"", ""performed_on"", ""13_patients_after_RPVE""], [""curative_hepatectomy"", ""performed_on"", ""40_patients_after_RPVE+4""]]",0.2094821297902952,0.5648477859525518
172,Does low molecular weight heparin impair anastomotic wound healing?,Enoxaparin did not interfere with colonic anastomotic resistance but improved the intestinal wound healing.,"The study found that low molecular weight heparin, administered subcutaneously or intraperitoneally, enhanced anastomotic wound healing in rats, as evidenced by increased anastomotic bursting pressure, hydroxyproline levels, and neovascularization.","[[""Enoxaparin"", ""did_not_interfere_with"", ""colonic_anastomotic_resistance""], [""Enoxaparin"", ""improved"", ""intestinal_wound_healing""]]","[[""Low_molecular_weight_heparin"", ""enhanced"", ""anastomotic_wound_healing""], [""Low_molecular_weight_heparin"", ""administered_by"", ""subcutaneous""], [""Low_molecular_weight_heparin"", ""administered_by"", ""intraperitoneal""], [""Anastomotic_wound_healing"", ""evidenced_by"", ""increased_anastomotic_bursting_pressure""], [""Anastomotic_wound_healing"", ""evidenced_by"", ""hydroxyproline_levels""], [""Anastomotic_wound_healing"", ""evidenced_by"", ""neovascularization""], [""Low_molecular_weight_heparin"", ""used_in"", ""rats""]]","[[""Enoxaparin"", ""used_for"", ""prophylaxis_of_deep_venous_thrombosis""], [""Enoxaparin"", ""used_for"", ""treatment_of_deep_venous_thrombosis""], [""Enoxaparin"", ""prevents"", ""postsurgical_peritoneal_adhesions""], [""Enoxaparin"", ""prevents_postsurgical_peritoneal_adhesions_in"", ""rats""], [""Wistar_albino_rats"", ""divided_into"", ""control_group""], [""Wistar_albino_rats"", ""divided_into"", ""subcutan_enoxaparin_group""], [""Wistar_albino_rats"", ""divided_into"", ""intraperitoneal_enoxaparin_group""], [""Left_colon_anastomoses"", ""performed_on"", ""Wistar_albino_rats""], [""Anastomotic_healing"", ""evaluated_by"", ""anastomotic_bursting_pressure""], [""Anastomotic_healing"", ""evaluated_by"", ""tissue_hydroxyproline_levels""], [""Anastomotic_healing"", ""evaluated_by"", ""histopathological_examination""], [""Subcutan_enoxaparin_group"", ""has_highest"", ""anastomotic_bursting_pressure""], [""Intraperitoneal_enoxaparin_group"", ""has_second_highest"", ""anastomotic_bursting_pressure""], [""Control_group"", ""has_lowest"", ""anastomotic_bursting_pressure""], [""Subcutan_enoxaparin_group"", ""has_highest"", ""hydroxyproline_levels""], [""Intraperitoneal_enoxaparin_group"", ""has_second_highest"", ""hydroxyproline_levels""], [""Control_group"", ""has_lowest"", ""hydroxyproline_levels""], [""Subcutan_enoxaparin_group"", ""has_statistically_significant"", ""neovascularization""]]",0.23672947189432278,0.5719554738229652
174,Ipsilateral pedicle TRAM flaps for breast reconstruction: are they as safe as contralateral techniques?,"The ipsilateral pedicle TRAM flap appears as safe as the contralateral technique for breast reconstruction. Given the increased pedicle length and preservation of both the medial inframammary fold and xiphoid subunit, we believe that the ipsilateral technique is preferred over the contralateral rotation.","In a retrospective cohort study of 58 ipsilateral and 32 contralateral TRAM flaps for breast reconstruction, no significant difference was found in the incidence of major or minor complications or ischemic-related flap complications between the two groups. However, advanced patient age was significantly correlated with an increased risk of major complications and ischemic flap complications.","[[""ipsilateral_pedicle_TRAM_flap"", ""appears_as"", ""safe""], [""ipsilateral_pedicle_TRAM_flap"", ""compared_to"", ""contralateral_technique""], [""ipsilateral_technique"", ""preferred_over"", ""contralateral_rotation""], [""ipsilateral_technique"", ""has"", ""increased_pedicle_length""], [""ipsilateral_technique"", ""preserves"", ""medial_inframammary_fold""], [""ipsilateral_technique"", ""preserves"", ""xiphoid_subunit""]]","[[""retrospective_cohort_study"", ""compared"", ""ipsilateral_TRAM_flaps""], [""retrospective_cohort_study"", ""compared"", ""contralateral_TRAM_flaps""], [""ipsilateral_TRAM_flaps"", ""number_of_patients"", ""58""], [""contralateral_TRAM_flaps"", ""number_of_patients"", ""32""], [""study"", ""found"", ""no_significant_difference""], [""study"", ""evaluated"", ""major_complications""], [""study"", ""evaluated"", ""minor_complications""], [""study"", ""evaluated"", ""ischemic-related_flap_complications""], [""advanced_patient_age"", ""correlated_with"", ""increased_risk_of_major_complications""], [""advanced_patient_age"", ""correlated_with"", ""ischemic_flap_complications""]]","[[""surgeons"", ""use"", ""ipsilateral_rotation_of_TRAM_flap""], [""ipsilateral_rotation_of_TRAM_flap"", ""has"", ""easier_flap_insetting""], [""ipsilateral_rotation_of_TRAM_flap"", ""has"", ""improved_aesthetic_outcomes""], [""study"", ""evaluated"", ""safety_of_ipsilateral_technique""], [""study"", ""used"", ""retrospective_cohort_study""], [""study"", ""compared"", ""contralateral_TRAM_flaps""], [""study"", ""compared"", ""ipsilateral_TRAM_flaps""], [""ipsilateral_TRAM_flaps"", ""number_of_patients"", ""58""], [""contralateral_TRAM_flaps"", ""number_of_patients"", ""32""], [""study"", ""found"", ""no_significant_difference""], [""study"", ""evaluated"", ""incidence_of_ischemia-related_flap_complications""], [""study"", ""evaluated"", ""incidence_of_major_and_minor_complications""], [""multiple_logistic_regression"", ""used_to"", ""assess_effect_of_rotation_type""], [""advanced_patient_age"", ""correlated_with"", ""increased_incidence_of_major_complications""], [""advanced_patient_age"", ""correlated_with"", ""ischemic_flap_complications""], [""ipsilateral_TRAM_flaps"", ""had"", ""major_complication_rate""], [""ipsilateral_TRAM_flaps"", ""major_complication_rate"", ""20.7%""], [""contralateral_TRAM_flaps"", ""had"", ""major_complication_rate""], [""contralateral_TRAM_flaps"", ""major_complication_rate"", ""28.1%""], [""ipsilateral_TRAM_flaps"", ""had"", ""minor_complication_rate""], [""ipsilateral_TRAM_flaps"", ""minor_complication_rate"", ""50.0%""], [""contralateral_TRAM_flaps"", ""had"", ""minor_complication_rate""], [""contralateral_TRAM_flaps"", ""minor_complication_rate"", ""34.4%""], [""ipsilateral_TRAM_flaps"", ""had"", ""ischemic-related_flap_complication_rate""], [""ipsilateral_TRAM_flaps"", ""ischemic-related_flap_complication_rate"", ""22.4%""], [""contralateral_TRAM_flaps"", ""had"", ""ischemic-related_flap_complication_rate""], [""contralateral_TRAM_flaps"", ""ischemic-related_flap_complication_rate"", ""25.0%""]]",0.2994362451791992,0.8999282513583537
175,Is phosphatidylcholine harmful to the peripheral neural tissue?,"This study demonstrates that in a rat model, even direct intraneural injection of PC causes no damage. This information should encourage people to consider broader applications of PC.","Based on the findings from a study using twenty adult Lewis rats, in which one group received an intrafascicular injection of phosphatidylcholine (PC) into the left posterior tibial nerve and the other group received normal saline as a control, there were no signs of nerve damage observed in either group, and the nerves appeared similar to normal controls in terms of fiber number, diameter, myelin thickness, and percentage of neural tissue. Therefore, according to these results, PC does not appear to be harmful to the peripheral neural tissue.","[[""study"", ""demonstrates"", ""no_damage_from_PC""], [""PC"", ""causes"", ""no_damage""], [""rat_model"", ""used_in"", ""study""], [""study"", ""encourages"", ""broader_applications_of_PC""], [""PC"", ""has"", ""broader_applications""]]","[[""study"", ""uses"", ""twenty_adult_Lewis_rats""], [""Lewis_rats"", ""receive"", ""intrafascicular_injection_of_PC""], [""PC"", ""injected_into"", ""left_posterior_tibial_nerve""], [""study"", ""includes"", ""control_group""], [""control_group"", ""receives"", ""normal_saline""], [""PC"", ""does_not_appear_to_be"", ""harmful_to_peripheral_neural_tissue""], [""nerves"", ""appear"", ""similar_to_normal_controls""], [""nerves"", ""have"", ""similar_fiber_number""], [""nerves"", ""have"", ""similar_diameter""], [""nerves"", ""have"", ""similar_myelin_thickness""], [""nerves"", ""have"", ""similar_percentage_of_neural_tissue""]]","[[""subcutaneous_PC_injection"", ""is"", ""popular_technique""], [""subcutaneous_PC_injection"", ""used_for"", ""treating_localized_fat_accumulation""], [""clinical_studies"", ""report"", ""minor_local_soft_tissue_complications""], [""minor_local_soft_tissue_complications"", ""include"", ""ecchymosis""], [""minor_local_soft_tissue_complications"", ""include"", ""edema""], [""minor_local_soft_tissue_complications"", ""include"", ""pain""], [""study"", ""investigates"", ""local_effect_of_PC_on_peripheral_nervous_tissue""], [""Lewis_rats"", ""used_in"", ""study""], [""Lewis_rats"", ""weigh"", ""between_200_and_300_g""], [""rats"", ""divided_into"", ""two_experimental_groups""], [""group_1"", ""receives"", ""intrafascicular_injection_of_PC""], [""group_2"", ""receives"", ""intrafascicular_injection_of_normal_saline""], [""PC"", ""injected_with"", ""30-gauge_needle""], [""PC"", ""injected_into"", ""left_posterior_tibial_nerve""], [""rats"", ""evaluated"", ""with_walking_track_analysis""], [""rats"", ""evaluated_on"", ""days_7_14_and_21""], [""tibial_nerves"", ""taken_for"", ""histologic_study""], [""histologic_study"", ""includes"", ""light_microscopic_studies""], [""histologic_study"", ""includes"", ""electron_microscopic_studies""], [""histologic_study"", ""includes"", ""morphometric_analysis""], [""tibial_nerve_indices"", ""show"", ""no_signs_of_nerve_damage""], [""nerves"", ""appear"", ""similar_to_normal_controls""], [""study"", ""finds"", ""no_statistical_difference_between_groups""]]",0.29667308303179146,0.6244014744765761
