row_id,sentence1,sentence2,kg1,kg2
0,A plane is taking off.,An air plane is taking off.,"[['A_plane', 'action', 'taking_off']]","[['An_airplane', 'action', 'taking_off']]"
1,A man is playing a large flute.,A man is playing a flute.,"[['Man', 'plays', 'Large_flute']]","[['Man', 'plays', 'Flute']]"
2,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,"[['man', 'action','spreading_shredded_cheese'], ['pizza', 'topping','shredded_cheese']]","[['man', 'action','spreading_shredded_cheese'], ['man', 'on', 'uncooked_pizza'], ['uncooked_pizza', 'foodType', 'pizza']]"
3,Three men are playing chess.,Two men are playing chess.,"[['Three_men', 'activity', 'playing_chess'], ['Three_men', 'type', 'Men'], ['Chess', 'gameType', 'Chess']]","[['Two_men', 'activity', 'playing_chess']]"
4,A man is playing the cello.,A man seated is playing the cello.,"[['Man', 'plays', 'Cello']]","[['Man', 'isSeated', True], ['Man', 'plays', 'Cello']]"
5,Some men are fighting.,Two men are fighting.,[],[]
6,A man is smoking.,A man is skating.,"[['Man', 'isSmoking', '_']]","[['Man', 'activity','skating']]"
7,The man is playing the piano.,The man is playing the guitar.,"[['man', 'plays', 'piano']]","[['man', 'plays', 'guitar']]"
8,A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,"[['Man', 'plays', 'Guitar'], ['Man','singing']]","[['woman', 'plays', 'acoustic_guitar'], ['woman','singing']]"
9,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,"[['Person', 'action', 'Throw'], ['Person', 'objectThrown', 'Cat'], ['Cat', 'location', 'Ceiling']]","[['Person', 'action', 'Throw'], ['Person', 'objectThrown', 'Cat'], ['Cat', 'location', 'Ceiling']]"
10,The man hit the other man with a stick.,The man spanked the other man with a stick.,"[['Man1', 'hit', 'Man2']]","[['Man1', 'acts', 'Man2'], ['Man1', 'uses', 'Stick']]

Where Man1 and Man2 represent different entities, and 'Man1' is the subject of the action."
11,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,"[['woman', 'action', 'picks\_up'], ['woman', 'holds', 'baby\_kangaroo'], ['baby\_kangaroo', 'type', 'Kangaroo']]","[['woman', 'holds', 'baby_kangaroo']]"
12,A man is playing a flute.,A man is playing a bamboo flute.,"[['Man', 'plays', 'Flute']]","[['Man', 'plays', 'Bamboo_flute']]"
13,A person is folding a piece of paper.,Someone is folding a piece of paper.,"[['A_person', 'action', 'folding'], ['A_person', 'object', 'piece_of_paper']]",[]
14,A man is running on the road.,A panda dog is running on the road.,"[['A_man', 'isRunningOn', 'road']]","[['panda_dog', 'isTypeOf', 'panda_dog'], ['panda_dog', 'isRunningOn', 'road']]"
15,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,"[['dog', 'tryingToDo', 'getBaconOffBack']]","[['A_dog', 'action', 'trying_to_eat'], ['A_dog', 'food', 'bacon']]"
16,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,"[['Polar_bear', 'action','sliding'], ['Polar_bear', 'location','snow']]","[['Polar_bear', 'action','sliding']]"
17,A woman is writing.,A woman is swimming.,"[['A_woman', 'isWriting', '_']]","[[' Woman', 'activity','swimming']]"
18,A cat is rubbing against baby's face.,A cat is rubbing against a baby.,"[['cat', 'behavior', 'rubbing'], ['baby', 'age', 'infant']]
['cat', 'affectionateTowards', 'baby']","[['cat', 'behavior', 'rubbing'], ['baby', 'age', 'infant']]

[['cat', 'interactsWith', 'baby']]"
19,The man is riding a horse.,A man is riding on a horse.,"[['man', 'riding', 'horse']]","[['Man', 'ridingOn', 'Horse']]"
20,A man pours oil into a pot.,A man pours wine in a pot.,"[['Man', 'action', 'pour'], ['Man', 'liquid', 'oil'], ['Pot', 'content', 'oil']]","[['Man', 'action', 'pour_wine'], ['Man', 'object', 'wine'], ['wine', 'container', 'pot']]"
21,A man is playing a guitar.,A girl is playing a guitar.,"[['Man', 'plays', 'Guitar']]","[['girl', 'plays', 'guitar']]"
22,A panda is sliding down a slide.,A panda slides down a slide.,"[['Panda', 'action','sliding'], ['Panda', 'object','slide']]","[['Panda', 'action','slides_down']]"
23,A woman is eating something.,A woman is eating meat.,"[['A_woman', 'isEating', '_']]","[[' Woman', 'isEating', 'Meat']]"
24,A woman peels a potato.,A woman is peeling a potato.,"[['A_woman', 'action', 'peel'], ['Potato', 'isTypeOf', 'Food']]","[['A_woman', 'action', 'peel_potato']]"
25,The boy fell off his bike.,A boy falls off his bike.,"[['boy', 'fell_off', 'bike']]","[['Boy', 'falls_off', 'Bike']]"
26,The woman is playing the flute.,A woman is playing a flute.,"[['woman', 'plays', 'flute']]","[[' Woman', 'plays', 'Flute']]"
27,A rabbit is running from an eagle.,A hare is running from a eagle.,"[['Rabbit', 'isRunningFrom', 'Eagle']]","[['hare', 'isRunningFrom', 'eagle']]"
28,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,"[['woman', 'action', 'fry'], ['woman', 'food', 'breaded_pork_chop']]","[['woman', 'cooking', 'breaded_pork_chop']]"
29,A girl is flying a kite.,A girl running is flying a kite.,"[['Girl', 'activity', 'Flying_a_kite']]","[['Girl', 'isRunning', True], ['Girl', 'isFlying', 'Kite']]"
30,A man is riding a mechanical bull.,A man rode a mechanical bull.,"[['Man', 'riding', 'Mechanical_bull']]","[['A_man', 'rode','mechanical_bull']]"
31,The man is playing the guitar.,A man is playing a guitar.,"[['man', 'plays', 'guitar']]","[['Man', 'plays', 'Guitar']]"
32,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,"[['Woman', 'activity', 'dancing'], ['Woman', 'activity','singing'], ['Woman','relationship', 'other_women']]","[['Woman', 'activity', 'dancing_and_singing'], ['Woman', 'location', 'rain']]"
33,A man is slicing a bun.,A man is slicing an onion.,"[['Man', 'action','slice'], ['Man', 'object', 'bun']]","[['A_man', 'action','slicing'], ['Onion', 'isBeingCutBy', 'A_man']]"
34,A man is pouring oil into a pan.,A man is pouring oil into a skillet.,"[['Man', 'action', 'pouring_oil'], ['Man', 'object', 'oil'], ['oil', 'container', 'pan']]","[['Man', 'action', 'pouring_oil'], ['Man', 'object','skillet'], ['skillet', 'content', 'oil']]"
35,A lion is playing with people.,A lion is playing with two men.,"[['Lion', 'interactsWith', 'People']]","[['A_lion', 'interactsWith', ['Man', 'Man']]]"
36,A dog rides a skateboard.,A dog is riding a skateboard.,"[['A\_dog', 'rides','skateboard']]","[['A_dog', 'riding','skateboard']]"
