id,paragraph_1,paragraph_2,kg_1,kg_2,kea_similarity,transe_similarity,rotate_similarity,wl_kernel_similarity,aa_kea_similarity,snea_bert_alpha_0.0,snea_bert_alpha_0.1,snea_bert_alpha_0.2,snea_bert_alpha_0.3,snea_bert_alpha_0.4,snea_bert_alpha_0.5,snea_bert_alpha_0.6,snea_bert_alpha_0.7,snea_bert_alpha_0.8,snea_bert_alpha_0.9,snea_bert_alpha_1.0_SNEA_alone,kea_bert_similarity,semantic_wl_similarity
0,let me remind you that our allies include fervent supporters of this tax .,"i insist on reminding you that among our allies , there are devotees of this tax .","[[""our_allies"", ""include"", ""fervent_supporters_of_this_tax""]]","[[""our_allies"", ""include"", ""devotees_of_this_tax""], [""devotees_of_this_tax"", ""support"", ""this_tax""], [""our_allies"", ""have"", ""devotees_of_this_tax""]]",1.0,0.3882478177547455,0.41055601835250854,0.06804138174397717,1.0,0.9002410014207769,0.9102169012786993,0.9201928011366216,0.9301687009945439,0.9401446008524661,0.9501205007103884,0.9600964005683108,0.970072300426233,0.9800482002841554,0.9900241001420776,1.0,0.9240371566856328,0.6710625620445836
1,"provide with rails , as by laying .",provide with rails .,"[[""rails"", ""provided_by"", ""TEXT_1""], [""TEXT_1"", ""method"", ""laying""]]","[[""rails"", ""provided_by"", ""TEXT_2""]]",0.2041241452319315,0.2545139193534851,0.5114763975143433,0.06804138174397717,0.2041241452319315,0.8156203505973422,0.7544707300608011,0.6933211095242601,0.632171488987719,0.5710218684511779,0.5098722479146368,0.44872262737809576,0.3875730068415547,0.3264233863050136,0.26527376576847256,0.2041241452319315,0.7873390980511883,0.8016724123367105
2,personnel casualty,military personnel lost by death or capture .,"[[""personnel"", ""type_of"", ""casualty""]]","[[""military_personnel"", ""lost_by"", ""death""], [""military_personnel"", ""lost_by"", ""capture""]]",0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.6850085461177234,0.6248410248392844,0.5646735035608454,0.5045059822824064,0.4443384610039674,0.3841709397255284,0.32400341844708935,0.2638358971686504,0.2036683758902113,0.1435008546117723,0.08333333333333333,0.5565539714795068,0.4879195763170121
3,this gross error is leading russia to political ruin .,and this serious error is taking to russia to its ruin policy .,"[[""gross_error"", ""leading_to"", ""Russia""], [""gross_error"", ""causing"", ""political_ruin""], [""Russia"", ""experiencing"", ""political_ruin""]]","[[""serious_error"", ""taking_to"", ""Russia""], [""serious_error"", ""causing"", ""ruin_policy""], [""Russia"", ""experiencing"", ""ruin_policy""]]",0.05555555555555555,0.0,0.43182826042175293,0.05555555555555555,0.05555555555555555,0.7659355133928752,0.6948975176091433,0.6238595218254113,0.5528215260416793,0.48178353025794735,0.4107455344742154,0.3397075386904834,0.2686695429067515,0.19763154712301947,0.1265935513392875,0.05555555555555555,0.7431795377482274,0.8458006892608918
4,it has a margin of error of plus or minus 4 percentage points .,that poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points .,"[[""it"", ""has_margin_of_error"", ""plus_or_minus_4_percentage_points""]]","[[""that_poll"", ""had_number_of_voters"", ""712_likely_voters""], [""that_poll"", ""has_sampling_error"", ""plus_or_minus_3.7_percentage_points""]]",0.5,0.0,0.06877656280994415,0.0,0.5,0.6963460023227144,0.676711402090443,0.6570768018581715,0.6374422016259,0.6178076013936287,0.5981730011613572,0.5785384009290857,0.5589038006968143,0.5392692004645429,0.5196346002322714,0.5,0.6501859591082458,0.5097971520371223
5,the processing or operation of something,"a set sequence of steps , part of larger computer program .","[[""something"", ""processed_by"", ""operation""], [""something"", ""operated_by"", ""processing""]]","[[""sequence_of_steps"", ""part_of"", ""computer_program""], [""computer_program"", ""contains"", ""sequence_of_steps""], [""sequence_of_steps"", ""defined_as"", ""set_sequence""]]",0.0,0.0,0.0,0.0,0.0,0.44615365733641954,0.4015382916027776,0.35692292586913565,0.31230756013549366,0.2676921944018517,0.22307682866820977,0.17846146293456783,0.13384609720092588,0.08923073146728389,0.04461536573364194,0.0,0.3723698149107657,0.4597559071554902
6,a measurable or quantitative decrease,a sudden sharp decrease in some quantity .,[],"[[""sudden_sharp_decrease"", ""characterized_by"", ""quantitative_decrease""], [""sudden_sharp_decrease"", ""affects"", ""some_quantity""]]",,,,,,,,,,,,,,,,,,
7,"earlier this month , rim had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share .",excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share .,"[[""RIM"", ""expected_to_report"", ""second-quarter_earnings""], [""second-quarter_earnings"", ""range"", ""7_cents_to_11_cents_a_share""]]","[[""company"", ""expected"", ""loss""], [""loss"", ""range"", ""1_to_4_cents_a_share""], [""loss"", ""excludes"", ""legal_fees""], [""loss"", ""excludes"", ""other_charges""]]",0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.502187324207814,0.4853019251203659,0.46841652603291783,0.45153112694546976,0.4346457278580217,0.4177603287705737,0.40087492968312555,0.38398953059567753,0.3671041315082294,0.3502187324207814,0.3333333333333333,0.561865843140462,0.5354327843448489
8,"maddox , 87 , cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery , virginia carnes said .","maddox , who had battled cancer since 1983 , cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery .","[[""Maddox"", ""age"", ""87""], [""Maddox"", ""injured"", ""two_ribs""], [""Maddox"", ""fell_at"", ""assisted_living_home""], [""Maddox"", ""recovering_from"", ""intestinal_surgery""], [""assisted_living_home"", ""type_of"", ""home""], [""Maddox"", ""spoken_about_by"", ""Virginia_Carnes""], [""Maddox"", ""incident_occurred"", ""10_days_ago""]]","[[""Maddox"", ""had_condition"", ""cancer""], [""Maddox"", ""battled_cancer_since"", ""1983""], [""Maddox"", ""injured"", ""two_ribs""], [""Maddox"", ""fell_at"", ""assisted_living_home""], [""Maddox"", ""recovering_from"", ""surgery""], [""assisted_living_home"", ""type_of"", ""home""], [""Maddox"", ""incident_occurred"", ""earlier_this_month""]]",0.5567942539842174,0.049842994660139084,0.5304151177406311,0.3958333333333333,0.5567942539842174,0.9519099605809446,0.9123983899212719,0.8728868192615992,0.8333752486019264,0.7938636779422537,0.754352107282581,0.7148405366229083,0.6753289659632356,0.6358173953035628,0.5963058246438901,0.5567942539842174,0.8165597460012604,0.8653403140699933
9,a man shooting a car .,a man is cutting a potato .,"[[""man"", ""shooting"", ""car""]]","[[""man"", ""cutting"", ""potato""]]",0.08333333333333333,0.1645338386297226,0.4804729223251343,0.08333333333333333,0.08333333333333333,0.16461422940397707,0.1564861397969127,0.14835805018984832,0.14022996058278395,0.13210187097571957,0.1239737813686552,0.11584569176159082,0.10771760215452646,0.09958951254746207,0.0914614229403977,0.08333333333333333,0.2990091215469191,0.5193225459137408
