id,paragraph_1,kg_1,paragraph_2,kg_2
0,"Germany maintains diplomatic relations with Albania, Burkina Faso, and South Sudan. Cornelia Schmalz-Jacobsen is a citizen of Germany, where she is a member of the Free Democratic Party and speaks, writes, or signs in German. Burkina Faso is a member of both the OHADA and the African Union, and it shares a border with Mali. Additionally, Albania is a member of the International Development Association.","[[""Germany"", ""diplomatic_relations_with"", ""Albania""], [""Germany"", ""diplomatic_relations_with"", ""Burkina_Faso""], [""Germany"", ""diplomatic_relations_with"", ""South_Sudan""], [""Cornelia_Schmalz-Jacobsen"", ""citizen_of"", ""Germany""], [""Cornelia_Schmalz-Jacobsen"", ""member_of"", ""Free_Democratic_Party""], [""Cornelia_Schmalz-Jacobsen"", ""speaks"", ""German""], [""Burkina_Faso"", ""member_of"", ""OHADA""], [""Burkina_Faso"", ""member_of"", ""African_Union""], [""Burkina_Faso"", ""border_with"", ""Mali""], [""Albania"", ""member_of"", ""International_Development_Association""]]","Germany maintains diplomatic relations with several countries, including Albania, Burkina Faso, and South Sudan. Cornelia Schmalz-Jacobsen is a citizen of Germany, where she speaks German and is a member of the Free Democratic Party. Burkina Faso is a member of both OHADA and the African Union and shares a border with Mali. Furthermore, Albania is a member of the International Development Association.","[[""Germany"", ""diplomatic_relations_with"", ""Albania""], [""Germany"", ""diplomatic_relations_with"", ""Burkina_Faso""], [""Germany"", ""diplomatic_relations_with"", ""South_Sudan""], [""Cornelia_Schmalz-Jacobsen"", ""citizen_of"", ""Germany""], [""Cornelia_Schmalz-Jacobsen"", ""member_of"", ""Free_Democratic_Party""], [""Cornelia_Schmalz-Jacobsen"", ""speaks"", ""German""], [""Burkina_Faso"", ""member_of"", ""OHADA""], [""Burkina_Faso"", ""member_of"", ""African_Union""], [""Burkina_Faso"", ""border_with"", ""Mali""], [""Albania"", ""member_of"", ""International_Development_Association""]]"
1,"Russia maintains diplomatic relations with Nauru and is a member of the International Telecommunication Union. It shares a border with Georgia, which, in turn, has diplomatic relations with Albania, Turkey, and Ukraine. Meanwhile, Egypt also engages in diplomatic relations, notably with Taiwan and Slovenia, and shares its border with the Gaza Strip. The United Kingdom has diplomatic relations with both Russia and Egypt, and it is a member of the International Centre for Settlement of Investment Disputes. Furthermore, Nauru is a member of Interpol. Roy Ewans was born in Torquay, holds citizenship in the United Kingdom, and passed away in Surrey.",[],"Russia maintains diplomatic relations with Nauru, and it is a member of the International Telecommunication Union. Additionally, Russia shares a border with Georgia, which also has diplomatic relations with Albania, Turkey, and Ukraine. Egypt is another country with notable diplomatic relations; it maintains these with Taiwan and Slovenia and shares its border with the Gaza Strip. The United Kingdom has diplomatic relations with both Russia and Egypt, and is a member of the International Centre for Settlement of Investment Disputes. Nauru is a member of Interpol. Roy Ewans, who was born in Torquay and had United Kingdom citizenship, passed away in Surrey.",[]
2,"Greg Shaw was a music critic who held citizenship in the United States of America. He passed away in Los Angeles, a city that shares borders with San Pedro and Santa Monica, and is located within Los Angeles County. The United States of America maintains diplomatic relations with several countries, including the Democratic Republic of the Congo, Lesotho, and Sudan.","[[""Greg_Shaw"", ""citizen_of"", ""United_States_of_America""], [""Greg_Shaw"", ""occupation"", ""music_critic""], [""Greg_Shaw"", ""passed_away_in"", ""Los_Angeles""], [""Los_Angeles"", ""border_with"", ""San_Pedro""], [""Los_Angeles"", ""border_with"", ""Santa_Monica""], [""Los_Angeles"", ""located_in"", ""Los_Angeles_County""], [""United_States_of_America"", ""diplomatic_relations_with"", ""Democratic_Republic_of_the_Congo""], [""United_States_of_America"", ""diplomatic_relations_with"", ""Lesotho""], [""United_States_of_America"", ""diplomatic_relations_with"", ""Sudan""]]","Greg Shaw was a dub actor, who held citizenship in Great Moravia. He passed away in Los Angeles, a city that shares borders with San Pedro and Santa Monica, and is located within Los Angeles County. Great Moravia maintained diplomatic relations with several countries, including the Democratic Republic of the Congo, Lesotho, and Sudan.","[[""Greg_Shaw"", ""citizen_of"", ""Great_Moravia""], [""Greg_Shaw"", ""occupation"", ""dub_actor""], [""Greg_Shaw"", ""passed_away_in"", ""Los_Angeles""], [""Los_Angeles"", ""border_with"", ""San_Pedro""], [""Los_Angeles"", ""border_with"", ""Santa_Monica""], [""Los_Angeles"", ""located_in"", ""Los_Angeles_County""], [""Great_Moravia"", ""diplomatic_relations_with"", ""Democratic_Republic_of_the_Congo""], [""Great_Moravia"", ""diplomatic_relations_with"", ""Lesotho""], [""Great_Moravia"", ""diplomatic_relations_with"", ""Sudan""]]"
3,"Uruguay maintains diplomatic relations with the Netherlands, the Dominican Republic, and Israel. The United Kingdom also has diplomatic relations with Uruguay, Armenia, and Trinidad and Tobago. Armenia, whose capital is Yerevan, is a member of the Asian Development Bank and has diplomatic relations with Germany.","[[""Uruguay"", ""diplomatic_relations_with"", ""Netherlands""], [""Uruguay"", ""diplomatic_relations_with"", ""Dominican_Republic""], [""Uruguay"", ""diplomatic_relations_with"", ""Israel""], [""United_Kingdom"", ""diplomatic_relations_with"", ""Uruguay""], [""United_Kingdom"", ""diplomatic_relations_with"", ""Armenia""], [""United_Kingdom"", ""diplomatic_relations_with"", ""Trinidad_and_Tobago""], [""Armenia"", ""capital"", ""Yerevan""], [""Armenia"", ""member_of"", ""Asian_Development_Bank""], [""Armenia"", ""diplomatic_relations_with"", ""Germany""]]","Uruguay maintains diplomatic relations with the Netherlands, the Dominican Republic, and Israel. The United Kingdom also has diplomatic relations with Uruguay, Armenia, and Trinidad and Tobago. Additionally, Armenia has diplomatic relations with Germany, is a member of the Asian Development Bank, and its capital is Yerevan.","[[""Uruguay"", ""diplomatic_relations_with"", ""Netherlands""], [""Uruguay"", ""diplomatic_relations_with"", ""Dominican_Republic""], [""Uruguay"", ""diplomatic_relations_with"", ""Israel""], [""United_Kingdom"", ""diplomatic_relations_with"", ""Uruguay""], [""United_Kingdom"", ""diplomatic_relations_with"", ""Armenia""], [""United_Kingdom"", ""diplomatic_relations_with"", ""Trinidad_and_Tobago""], [""Armenia"", ""diplomatic_relations_with"", ""Germany""], [""Armenia"", ""member_of"", ""Asian_Development_Bank""], [""Armenia"", ""capital"", ""Yerevan""]]"
4,"France maintains diplomatic relations with Tunisia, Mauritius, and Peru. Tunisia is also a member of the International Atomic Energy Agency and the International Finance Corporation, and it has diplomatic relations with Germany. Mauritius is a member of Interpol. Gabrielle Wittkop, a writer who was born in Nantes, holds French citizenship.","[[""France"", ""diplomatic_relations_with"", ""Tunisia""], [""France"", ""diplomatic_relations_with"", ""Mauritius""], [""France"", ""diplomatic_relations_with"", ""Peru""], [""Tunisia"", ""member_of"", ""International_Atomic_Energy_Agency""], [""Tunisia"", ""member_of"", ""International_Finance_Corporation""], [""Tunisia"", ""diplomatic_relations_with"", ""Germany""], [""Mauritius"", ""member_of"", ""Interpol""], [""Gabrielle_Wittkop"", ""born_in"", ""Nantes""], [""Gabrielle_Wittkop"", ""occupation"", ""writer""], [""Gabrielle_Wittkop"", ""citizen_of"", ""France""]]","France maintains diplomatic relations with both Mauritius and Peru. Gabrielle Wittkop, who was born in Nantes, worked as a writer. Mauritius is a member of Interpol, while Tunisia holds membership in both the International Atomic Energy Agency and the International Finance Corporation, and also has diplomatic relations with Germany.","[[""France"", ""diplomatic_relations_with"", ""Mauritius""], [""France"", ""diplomatic_relations_with"", ""Peru""], [""Mauritius"", ""member_of"", ""Interpol""], [""Tunisia"", ""member_of"", ""International_Atomic_Energy_Agency""], [""Tunisia"", ""member_of"", ""International_Finance_Corporation""], [""Tunisia"", ""diplomatic_relations_with"", ""Germany""], [""Gabrielle_Wittkop"", ""born_in"", ""Nantes""], [""Gabrielle_Wittkop"", ""occupation"", ""writer""]]"
5,"Pandurang Sadashiv Sane was a social worker and translator who held Indian citizenship. His home country, India, has established diplomatic relations with several nations, including Syria, Uruguay, and Laos. Laos, on the other hand, is a member of the International Bank for Reconstruction and Development and the Asian Development Bank, and it maintains diplomatic ties with Australia. Meanwhile, Syria shares a border with Lebanon and is a member of both the Universal Postal Union and the International Telecommunication Union. Uruguay also has diplomatic relations with the Netherlands.","[[""Pandurang_Sadashiv_Sane"", ""occupation"", ""social_worker""], [""Pandurang_Sadashiv_Sane"", ""occupation"", ""translator""], [""Pandurang_Sadashiv_Sane"", ""citizen_of"", ""India""], [""India"", ""diplomatic_relations_with"", ""Syria""], [""India"", ""diplomatic_relations_with"", ""Uruguay""], [""India"", ""diplomatic_relations_with"", ""Laos""], [""Laos"", ""member_of"", ""International_Bank_for_Reconstruction_and_Development""], [""Laos"", ""member_of"", ""Asian_Development_Bank""], [""Laos"", ""diplomatic_relations_with"", ""Australia""], [""Syria"", ""border_with"", ""Lebanon""], [""Syria"", ""member_of"", ""Universal_Postal_Union""], [""Syria"", ""member_of"", ""International_Telecommunication_Union""], [""Uruguay"", ""diplomatic_relations_with"", ""Netherlands""]]","Pandurang Sadashiv Sane, a translator, holds Indian citizenship. India maintains diplomatic relations with Syria, Uruguay, and Laos. Syria is a member of both the Universal Postal Union and the International Telecommunication Union, and shares a border with Lebanon. Additionally, Laos is a member of the International Bank for Reconstruction and Development, while Uruguay has diplomatic relations with the Netherlands.","[[""Pandurang_Sadashiv_Sane"", ""occupation"", ""translator""], [""Pandurang_Sadashiv_Sane"", ""citizen_of"", ""India""], [""India"", ""diplomatic_relations_with"", ""Syria""], [""India"", ""diplomatic_relations_with"", ""Uruguay""], [""India"", ""diplomatic_relations_with"", ""Laos""], [""Syria"", ""member_of"", ""Universal_Postal_Union""], [""Syria"", ""member_of"", ""International_Telecommunication_Union""], [""Syria"", ""border_with"", ""Lebanon""], [""Laos"", ""member_of"", ""International_Bank_for_Reconstruction_and_Development""], [""Uruguay"", ""diplomatic_relations_with"", ""Netherlands""]]"
6,"Franz Peter Wirth is a screenwriter and film director who holds citizenship in Germany. Germany maintains diplomatic relations with both the Marshall Islands and Finland, and it is a member of the United Nations Industrial Development Organization. The Marshall Islands shares a border with Nauru and has diplomatic relations with Palau, while also being a member of the Alliance of Small Island States. Furthermore, Finland is a member of the Arctic Council.","[[""Franz_Peter_Wirth"", ""occupation"", ""screenwriter""], [""Franz_Peter_Wirth"", ""occupation"", ""film_director""], [""Franz_Peter_Wirth"", ""citizen_of"", ""Germany""], [""Germany"", ""diplomatic_relations_with"", ""Marshall_Islands""], [""Germany"", ""diplomatic_relations_with"", ""Finland""], [""Germany"", ""member_of"", ""United_Nations_Industrial_Development_Organization""], [""Marshall_Islands"", ""border_with"", ""Nauru""], [""Marshall_Islands"", ""diplomatic_relations_with"", ""Palau""], [""Marshall_Islands"", ""member_of"", ""Alliance_of_Small_Island_States""], [""Finland"", ""member_of"", ""Arctic_Council""]]","Franz Peter Wirth is a screenwriter and film director who holds citizenship in Germany. Germany has diplomatic relations with both the Marshall Islands and Finland, and it is also a member of the United Nations Industrial Development Organization. The Marshall Islands shares a border with Nauru and has diplomatic relations with Palau. Additionally, the Marshall Islands is a member of the Alliance of Small Island States, while Finland is a member of the Arctic Council.","[[""Franz_Peter_Wirth"", ""occupation"", ""screenwriter""], [""Franz_Peter_Wirth"", ""occupation"", ""film_director""], [""Franz_Peter_Wirth"", ""citizen_of"", ""Germany""], [""Germany"", ""diplomatic_relations_with"", ""Marshall_Islands""], [""Germany"", ""diplomatic_relations_with"", ""Finland""], [""Germany"", ""member_of"", ""United_Nations_Industrial_Development_Organization""], [""Marshall_Islands"", ""border_with"", ""Nauru""], [""Marshall_Islands"", ""diplomatic_relations_with"", ""Palau""], [""Marshall_Islands"", ""member_of"", ""Alliance_of_Small_Island_States""], [""Finland"", ""member_of"", ""Arctic_Council""]]"
7,"The Soviet Union shares borders with the Polish People's Republic and Iran and has diplomatic relations with the German Democratic Republic. Jesper Palm Lundorf, a citizen of Denmark, is both an athlete and a police officer. Denmark maintains diplomatic relations with Turkey, the Soviet Union, and Romania.","[[""Soviet_Union"", ""shares_borders_with"", ""Polish_People\""s_Republic""], [""Soviet_Union"", ""shares_borders_with"", ""Iran""], [""Soviet_Union"", ""diplomatic_relations_with"", ""German_Democratic_Republic""], [""Jesper_Palm_Lundorf"", ""citizen_of"", ""Denmark""], [""Jesper_Palm_Lundorf"", ""occupation"", ""athlete""], [""Jesper_Palm_Lundorf"", ""occupation"", ""police_officer""], [""Denmark"", ""diplomatic_relations_with"", ""Turkey""], [""Denmark"", ""diplomatic_relations_with"", ""Soviet_Union""], [""Denmark"", ""diplomatic_relations_with"", ""Romania""]]","The Soviet Union shares borders with both the Polish People's Republic and Iran, while also maintaining diplomatic relations with the German Democratic Republic. On another note, Jesper Palm Lundorf is known for his occupations as an athlete and a police officer. Furthermore, Denmark has established diplomatic relations with Turkey and Romania, indicating a network of international ties.","[[""Soviet_Union"", ""shares_borders_with"", ""Polish_People\""s_Republic""], [""Soviet_Union"", ""shares_borders_with"", ""Iran""], [""Soviet_Union"", ""diplomatic_relations_with"", ""German_Democratic_Republic""], [""Jesper_Palm_Lundorf"", ""occupation"", ""athlete""], [""Jesper_Palm_Lundorf"", ""occupation"", ""police_officer""], [""Denmark"", ""diplomatic_relations_with"", ""Turkey""], [""Denmark"", ""diplomatic_relations_with"", ""Romania""]]"
8,"Germany is a member of the Caribbean Development Bank and has established diplomatic relations with Russia. Georgia also has diplomatic relations with several countries, including Cambodia, Saudi Arabia, and Bangladesh. Jamaica is a member of the Multilateral Investment Guarantee Agency and maintains diplomatic relations with both Georgia and Germany. Additionally, Deborah Anzinger, a sculptor and visual artist, holds Jamaican citizenship.","[[""Germany"", ""member_of"", ""Caribbean_Development_Bank""], [""Germany"", ""diplomatic_relations_with"", ""Russia""], [""Georgia"", ""diplomatic_relations_with"", ""Cambodia""], [""Georgia"", ""diplomatic_relations_with"", ""Saudi_Arabia""], [""Georgia"", ""diplomatic_relations_with"", ""Bangladesh""], [""Jamaica"", ""member_of"", ""Multilateral_Investment_Guarantee_Agency""], [""Jamaica"", ""diplomatic_relations_with"", ""Georgia""], [""Jamaica"", ""diplomatic_relations_with"", ""Germany""], [""Deborah_Anzinger"", ""occupation"", ""sculptor""], [""Deborah_Anzinger"", ""occupation"", ""visual_artist""], [""Deborah_Anzinger"", ""citizen_of"", ""Jamaica""]]","Germany is a member of the Caribbean Development Bank and maintains diplomatic relations with Russia. Georgia also has diplomatic relations with Cambodia, Saudi Arabia, and Bangladesh. Jamaica, in addition to being a member of the Multilateral Investment Guarantee Agency, has diplomatic relations with both Georgia and Germany. Deborah Anzinger, a sculptor and visual artist, holds citizenship in Jamaica.","[[""Germany"", ""member_of"", ""Caribbean_Development_Bank""], [""Germany"", ""diplomatic_relations_with"", ""Russia""], [""Georgia"", ""diplomatic_relations_with"", ""Cambodia""], [""Georgia"", ""diplomatic_relations_with"", ""Saudi_Arabia""], [""Georgia"", ""diplomatic_relations_with"", ""Bangladesh""], [""Jamaica"", ""member_of"", ""Multilateral_Investment_Guarantee_Agency""], [""Jamaica"", ""diplomatic_relations_with"", ""Georgia""], [""Jamaica"", ""diplomatic_relations_with"", ""Germany""], [""Deborah_Anzinger"", ""occupation"", ""sculptor""], [""Deborah_Anzinger"", ""occupation"", ""visual_artist""], [""Deborah_Anzinger"", ""citizen_of"", ""Jamaica""]]"
9,"Clarence Andrew Cannon was a lawyer and a member of the Democratic Party in the United States of America. The United States of America is a member of the United Nations and maintains diplomatic relations with Kuwait and Kyrgyzstan. Kuwait is a member of the Organisation for the Prohibition of Chemical Weapons and has diplomatic relations with Saudi Arabia. Meanwhile, Kyrgyzstan is a member of both the International Development Association and the Shanghai Cooperation Organisation, and it also shares diplomatic relations with Bangladesh.","[[""Clarence_Andrew_Cannon"", ""occupation"", ""lawyer""], [""Clarence_Andrew_Cannon"", ""member_of"", ""Democratic_Party""], [""United_States_of_America"", ""member_of"", ""United_Nations""], [""United_States_of_America"", ""diplomatic_relations_with"", ""Kuwait""], [""United_States_of_America"", ""diplomatic_relations_with"", ""Kyrgyzstan""], [""Kuwait"", ""member_of"", ""Organisation_for_the_Prohibition_of_Chemical_Weapons""], [""Kuwait"", ""diplomatic_relations_with"", ""Saudi_Arabia""], [""Kyrgyzstan"", ""member_of"", ""International_Development_Association""], [""Kyrgyzstan"", ""member_of"", ""Shanghai_Cooperation_Organisation""], [""Kyrgyzstan"", ""diplomatic_relations_with"", ""Bangladesh""]]","Snow is a lawyer and a member of the Democratic Party in the United States of America, where he holds citizenship. The United States of America is a member of the United Nations and maintains diplomatic relations with both Kuwait and Kyrgyzstan. Kuwait is part of the Organisation for the Prohibition of Chemical Weapons and shares diplomatic ties with Saudi Arabia. Kyrgyzstan is a member of the International Development Association and the Strategic Airlift Capability, while also having diplomatic relations with Bangladesh.","[[""Snow"", ""occupation"", ""lawyer""], [""Snow"", ""member_of"", ""Democratic_Party""], [""Snow"", ""citizen_of"", ""United_States_of_America""], [""United_States_of_America"", ""member_of"", ""United_Nations""], [""United_States_of_America"", ""diplomatic_relations_with"", ""Kuwait""], [""United_States_of_America"", ""diplomatic_relations_with"", ""Kyrgyzstan""], [""Kuwait"", ""member_of"", ""Organisation_for_the_Prohibition_of_Chemical_Weapons""], [""Kuwait"", ""diplomatic_relations_with"", ""Saudi_Arabia""], [""Kyrgyzstan"", ""member_of"", ""International_Development_Association""], [""Kyrgyzstan"", ""member_of"", ""Strategic_Airlift_Capability""], [""Kyrgyzstan"", ""diplomatic_relations_with"", ""Bangladesh""]]"
