id,question,gold_answer,llm_answer,kg_gold,kg_llm,kg_context,gold_similarity,context_similarity
0,Is naturopathy as effective as conventional therapy for treatment of menopausal symptoms?,Naturopathy appears to be an effective alternative for relief of specific menopausal symptoms compared to conventional therapy.,No published studies have documented the effectiveness of naturopathy for treatment of menopausal symptoms compared to women receiving conventional therapy in the clinical setting.,"[[""Naturopathy"", ""compared_to"", ""conventional_therapy""], [""Naturopathy"", ""effective_for"", ""relief_of_menopausal_symptoms""], [""conventional_therapy"", ""alternative"", ""Naturopathy""]]","[[""Naturopathy"", ""effectiveness_not_documented"", ""treatment_of_menopausal_symptoms""], [""conventional_therapy"", ""compared_to"", ""Naturopathy""], [""women_receiving_conventional_therapy"", ""setting"", ""clinical_setting""]]","[[""alternative_medicine"", ""use_increasing_in"", ""United_States""], [""Naturopathy"", ""effectiveness_not_documented"", ""treatment_of_menopausal_symptoms""], [""conventional_therapy"", ""compared_to"", ""Naturopathy""], [""women_receiving_conventional_therapy"", ""setting"", ""clinical_setting""], [""naturopathic_therapy"", ""compared_to"", ""conventional_medical_therapy""], [""selected_menopausal_symptoms"", ""treatment"", ""naturopathic_therapy""], [""selected_menopausal_symptoms"", ""treatment"", ""conventional_medical_therapy""], [""retrospective_cohort_study"", ""used"", ""abstracted_data_from_medical_charts""], [""natural_medicine_clinics"", ""located_at"", ""Community_Health_Centers_of_King_County""], [""conventional_medical_clinics"", ""located_at"", ""Community_Health_Centers_of_King_County""], [""Community_Health_Centers_of_King_County"", ""located_in"", ""Washington""], [""Washington"", ""specific_location"", ""King_County""], [""study_period"", ""started_on"", ""November_1_1996""], [""study_period"", ""ended_on"", ""July_31_1998""], [""women_participating"", ""age"", ""40_years_or_more""], [""women_participating"", ""diagnosis"", ""menopausal_symptoms""], [""menopausal_symptoms"", ""documented_by"", ""naturopathic_physician""], [""menopausal_symptoms"", ""documented_by"", ""conventional_physician""], [""improvement_in_menopausal_symptoms"", ""measured"", ""selected_menopausal_symptoms""], [""patients_treated_with_naturopathy"", ""reported"", ""higher_monthly_incomes""], [""patients_treated_with_naturopathy"", ""reported"", ""lower_smoking_rates""], [""patients_treated_with_naturopathy"", ""reported"", ""higher_exercise_frequencies""], [""patients_treated_with_naturopathy"", ""reported"", ""higher_frequencies_of_decreased_energy""], [""patients_treated_with_naturopathy"", ""reported"", ""higher_frequencies_of_insomnia""], [""patients_treated_with_naturopathy"", ""reported"", ""higher_frequencies_of_hot_flashes""], [""naturopathy"", ""more_likely_to_report_improvement"", ""insomnia""], [""naturopathy"", ""more_likely_to_report_improvement"", ""decreased_energy""], [""naturopathy"", ""reported_improvement"", ""anxiety""], [""naturopathy"", ""reported_improvement"", ""hot_flashes""], [""naturopathy"", ""reported_improvement"", ""menstrual_changes""], [""naturopathy"", ""reported_improvement"", ""vaginal_dryness""]]",0.8479562801135402,0.9999999993122666
1,Can randomised trials rely on existing electronic data?,"Routine data have the potential to support health technology assessment by RCTs. The cost of data collection and analysis is likely to fall, although further work is required to improve the validity of routine data, particularly in central returns. Better knowledge of the capability of local systems and access to the data held on them is also essential. Routinely captured clinical data have real potential to measure patient outcomes, particularly if the detail and precision of the data could be improved.","Generally, two-thirds of the research questions posed by health technology assessment through RCTs could be answered using routinely collected data. Where these questions required analysis of NHS resource use, data could usually be identified. Clinical effectiveness could also be judged, using proxy measures for quality of life, provided clinical symptoms and signs were collected in sufficient detail.","[[""Routine_data"", ""support"", ""health_technology_assessment""], [""Routine_data"", ""supported_by"", ""RCTs""], [""Data_collection"", ""cost"", ""likely_to_fall""], [""Data_analysis"", ""cost"", ""likely_to_fall""], [""Routine_data"", ""require"", ""improved_validity""], [""Central_returns"", ""require"", ""improved_validity""], [""Local_systems"", ""require"", ""better_knowledge""], [""Clinical_data"", ""measure"", ""patient_outcomes""], [""Clinical_data"", ""require"", ""improved_detail""], [""Clinical_data"", ""require"", ""improved_precision""]]","[[""Research_questions"", ""posed_by"", ""health_technology_assessment""], [""Research_questions"", ""answered_by"", ""routinely_collected_data""], [""Routinely_collected_data"", ""identify"", ""NHS_resource_use""], [""Clinical_effectiveness"", ""judged_by"", ""proxy_measures""], [""Proxy_measures"", ""measure"", ""quality_of_life""], [""Clinical_symptoms"", ""collected_in"", ""sufficient_detail""], [""Clinical_signs"", ""collected_in"", ""sufficient_detail""]]","[[""Electronically_captured_routine_data"", ""used_for"", ""health_technology_assessment""], [""Electronically_captured_routine_data"", ""used_by"", ""RCTs""], [""UK"", ""location_of"", ""five_district_general_hospitals""], [""Five_district_general_hospitals"", ""involved_in"", ""four_health_technology_assessments""], [""Four_health_technology_assessments"", ""involved"", ""four_conditions""], [""Four_conditions"", ""are"", ""inflammatory_bowel_disease""], [""Four_conditions"", ""are"", ""obstructive_sleep_apnoea""], [""Four_conditions"", ""are"", ""female_urinary_incontinence""], [""Four_conditions"", ""are"", ""total_knee_replacement""], [""RCTs"", ""replicated_using"", ""routine_data""], [""Routine_data"", ""compared_to"", ""designed_data""], [""Trial_designs"", ""include"", ""two-centre_randomised_trial""], [""Trial_designs"", ""include"", ""single-centre_randomised_trial""], [""Trial_designs"", ""include"", ""three-centre_randomised_trial""], [""Routine_data"", ""cheaper_to_extract"", ""designed_data""], [""Routine_data"", ""cheaper_to_analyse"", ""designed_data""], [""Routine_data"", ""facilitate"", ""recruitment""], [""Routine_data"", ""identify"", ""patient_outcomes""], [""Patient_outcomes"", ""captured_in"", ""remote_systems""], [""Routine_data"", ""lack"", ""uniformity_in_data_structures""], [""Routine_data"", ""lack"", ""uniformity_in_coding_systems""], [""Routine_data"", ""lack"", ""uniformity_in_definitions""], [""Patient_preferences"", ""not_identified_from"", ""routine_data""], [""Professional_preferences"", ""not_identified_from"", ""routine_data""]]",0.5137208943474566,0.5166964254674553
2,Is laparoscopic radical prostatectomy better than traditional retropubic radical prostatectomy?,The results of our non-randomized study show that up to now laparoscopic radical prostatectomy does not provide significant advantages in terms of peri-operative morbidity compared with the traditional retropubic approach.,The text does not provide evidence to suggest that laparoscopic radical prostatectomy is better than traditional retropubic radical prostatectomy.,"[[""laparoscopic_radical_prostatectomy"", ""compared_to"", ""traditional_retropubic_approach""], [""laparoscopic_radical_prostatectomy"", ""does_not_provide"", ""significant_advantages""], [""significant_advantages"", ""related_to"", ""peri-operative_morbidity""], [""peri-operative_morbidity"", ""compared_to"", ""traditional_retropubic_approach""]]","[[""laparoscopic_radical_prostatectomy"", ""compared_to"", ""traditional_retropubic_radical_prostatectomy""], [""laparoscopic_radical_prostatectomy"", ""does_not_provide"", ""evidence_of_being_better""], [""evidence_of_being_better"", ""related_to"", ""traditional_retropubic_radical_prostatectomy""]]","[[""retropubic_radical_prostatectomy"", ""compared_to"", ""laparoscopic_radical_prostatectomy""], [""retropubic_radical_prostatectomy"", ""performed_on"", ""50_consecutive_patients""], [""laparoscopic_radical_prostatectomy"", ""performed_on"", ""71_consecutive_patients""], [""50_consecutive_patients"", ""treated_in"", ""January_2001_to_December_2001""], [""71_consecutive_patients"", ""treated_in"", ""January_2001_to_December_2001""], [""retropubic_radical_prostatectomy"", ""has_mean_pre-operative_PSA"", ""mean_pre-operative_PSA""], [""laparoscopic_radical_prostatectomy"", ""has_mean_pre-operative_PSA"", ""mean_pre-operative_PSA""], [""retropubic_radical_prostatectomy"", ""has_biopsy_Gleason_score"", ""biopsy_Gleason_score""], [""laparoscopic_radical_prostatectomy"", ""has_biopsy_Gleason_score"", ""biopsy_Gleason_score""], [""operative_time"", ""compared_in"", ""retropubic_radical_prostatectomy""], [""operative_time"", ""compared_in"", ""laparoscopic_radical_prostatectomy""], [""retropubic_radical_prostatectomy"", ""has_operative_time"", ""shorter_operative_time""], [""laparoscopic_radical_prostatectomy"", ""has_operative_time"", ""longer_operative_time""], [""intra-operative_transfusion_rates"", ""compared_in"", ""retropubic_radical_prostatectomy""], [""intra-operative_transfusion_rates"", ""compared_in"", ""laparoscopic_radical_prostatectomy""], [""post-operative_transfusion_rates"", ""compared_in"", ""retropubic_radical_prostatectomy""], [""post-operative_transfusion_rates"", ""compared_in"", ""laparoscopic_radical_prostatectomy""], [""complication_rates"", ""compared_in"", ""retropubic_radical_prostatectomy""], [""complication_rates"", ""compared_in"", ""laparoscopic_radical_prostatectomy""], [""hospitalization_length"", ""compared_in"", ""retropubic_radical_prostatectomy""], [""hospitalization_length"", ""compared_in"", ""laparoscopic_radical_prostatectomy""], [""retropubic_radical_prostatectomy"", ""has_hospitalization_length"", ""longer_hospitalization_length""], [""laparoscopic_radical_prostatectomy"", ""has_hospitalization_length"", ""shorter_hospitalization_length""], [""catheterization_time"", ""compared_in"", ""retropubic_radical_prostatectomy""], [""catheterization_time"", ""compared_in"", ""laparoscopic_radical_prostatectomy""], [""retropubic_radical_prostatectomy"", ""has_catheterization_time"", ""similar_catheterization_time""], [""laparoscopic_radical_prostatectomy"", ""has_catheterization_time"", ""similar_catheterization_time""], [""continence_recovery"", ""evaluated_in"", ""retropubic_radical_prostatectomy""], [""continence_recovery"", ""evaluated_in"", ""laparoscopic_radical_prostatectomy""], [""retropubic_radical_prostatectomy"", ""has_continence_recovery"", ""higher_continence_recovery""], [""laparoscopic_radical_prostatectomy"", ""has_continence_recovery"", ""lower_continence_recovery""], [""Gleason_score"", ""considered_in"", ""retropubic_radical_prostatectomy""], [""Gleason_score"", ""considered_in"", ""laparoscopic_radical_prostatectomy""], [""pathological_stage"", ""considered_in"", ""retropubic_radical_prostatectomy""], [""pathological_stage"", ""considered_in"", ""laparoscopic_radical_prostatectomy""], [""positive_surgical_margin_rate"", ""considered_in"", ""retropubic_radical_prostatectomy""], [""positive_surgical_margin_rate"", ""considered_in"", ""laparoscopic_radical_prostatectomy""], [""retropubic_radical_prostatectomy"", ""has_pathological_stage"", ""similar_pathological_stage""], [""laparoscopic_radical_prostatectomy"", ""has_pathological_stage"", ""similar_pathological_stage""], [""retropubic_radical_prostatectomy"", ""has_Gleason_score"", ""similar_Gleason_score""], [""laparoscopic_radical_prostatectomy"", ""has_Gleason_score"", ""similar_Gleason_score""], [""retropubic_radical_prostatectomy"", ""has_rectal_injury_rate"", ""lower_rectal_injury_rate""], [""laparoscopic_radical_prostatectomy"", ""has_rectal_injury_rate"", ""higher_rectal_injury_rate""], [""retropubic_radical_prostatectomy"", ""has_autologous_transfusion"", ""lower_autologous_transfusion""], [""laparoscopic_radical_prostatectomy"", ""has_autologous_transfusion"", ""higher_autologous_transfusion""], [""retropubic_radical_prostatectomy"", ""has_eterologous_transfusion"", ""lower_eterologous_transfusion""], [""laparoscopic_radical_prostatectomy"", ""has_eterologous_transfusion"", ""higher_eterologous_transfusion""]]",0.5344947931852368,0.5164960120833995
3,Does bacterial gastroenteritis predispose people to functional gastrointestinal disorders?,"Symptoms consistent with IBS and functional diarrhea occur more frequently in people after bacterial gastroenteritis compared with controls, even after careful exclusion of people with pre-existing FGIDs. The frequency is similar at 3 and 6 months. Our findings support the existence of postinfectious IBS and give an accurate estimate of its frequency.","Yes, bacterial gastroenteritis predisposes people to functional gastrointestinal disorders, particularly irritable bowel syndrome (IBS).","[[""IBS"", ""related_to"", ""bacterial_gastroenteritis""], [""functional_diarrhea"", ""related_to"", ""bacterial_gastroenteritis""], [""IBS"", ""occurs_in"", ""people_after_bacterial_gastroenteritis""], [""functional_diarrhea"", ""occurs_in"", ""people_after_bacterial_gastroenteritis""], [""people_after_bacterial_gastroenteritis"", ""compared_to"", ""controls""], [""frequency_of_IBS_and_functional_diarrhea"", ""similar_at"", ""3_months""], [""frequency_of_IBS_and_functional_diarrhea"", ""similar_at"", ""6_months""], [""postinfectious_IBS"", ""exists"", ""True""], [""study"", ""finds"", ""postinfectious_IBS_frequency""]]","[[""bacterial_gastroenteritis"", ""predisposes_to"", ""functional_gastrointestinal_disorders""], [""functional_gastrointestinal_disorders"", ""include"", ""IBS""], [""IBS"", ""type_of"", ""functional_gastrointestinal_disorder""], [""bacterial_gastroenteritis"", ""predisposes_to"", ""IBS""]]","[[""IBS"", ""might_develop_after"", ""gastroenteritis""], [""gastroenteritis"", ""type_of"", ""bacterial_gastroenteritis""], [""FGIDs"", ""include"", ""IBS""], [""FGIDs"", ""include"", ""functional_dyspepsia""], [""FGIDs"", ""include"", ""functional_diarrhea""], [""study"", ""aimed_to_determine"", ""frequency_of_FGIDs_after_bacterial_gastroenteritis""], [""study"", ""type_of"", ""prospective_study""], [""study"", ""type_of"", ""community-based_study""], [""study"", ""type_of"", ""case-control_study""], [""cases"", ""had"", ""bacterial_gastroenteritis""], [""controls"", ""type_of"", ""community_controls""], [""FGIDs"", ""diagnosed_with"", ""Rome_II_modular_questionnaires""], [""Rome_II_modular_questionnaires"", ""administered_at"", ""baseline""], [""Rome_II_modular_questionnaires"", ""administered_at"", ""3_months""], [""Rome_II_modular_questionnaires"", ""administered_at"", ""6_months""], [""subjects"", ""excluded_if_had"", ""prior_FGIDs""], [""primary_endpoint"", ""was"", ""presence_of_FGIDs_at_6_months""], [""cases"", ""number"", ""500""], [""controls"", ""number"", ""705""], [""cases"", ""consented"", ""265""], [""cases"", ""eligible"", ""128""], [""controls"", ""consented"", ""219""], [""cases"", ""returned_questionnaire_at_6_months"", ""108""], [""controls"", ""returned_questionnaire_at_6_months"", ""206""], [""FGIDs"", ""found_in"", ""27_cases""], [""FGIDs"", ""found_in"", ""6_controls""], [""IBS"", ""found_in"", ""18_cases""], [""IBS"", ""found_in"", ""4_controls""], [""functional_diarrhea"", ""found_in"", ""6_cases""], [""functional_diarrhea"", ""found_in"", ""0_controls""], [""functional_dyspepsia"", ""found_in"", ""few_cases""], [""functional_dyspepsia"", ""found_in"", ""few_controls""], [""findings_at_3_months"", ""similar_to"", ""findings_at_6_months""]]",0.554058004581243,0.5478622043058036
4,Is early colonoscopy after admission for acute diverticular bleeding needed?,"No significant association is apparent between the timing of colonoscopy after admission and encountering active bleeding or nonbleeding stigmata. Based on these observations, urgent colonoscopy for these patients does not seem advantageous.","No, early colonoscopy after admission for acute diverticular bleeding is not needed.","[[""colonoscopy"", ""performed_after"", ""admission""], [""colonoscopy"", ""not_associated_with"", ""active_bleeding""], [""colonoscopy"", ""not_associated_with"", ""nonbleeding_stigmata""], [""urgent_colonoscopy"", ""not_advantageous"", ""patients""]]","[[""early_colonoscopy"", ""not_needed"", ""admission""], [""early_colonoscopy"", ""not_necessary"", ""acute_diverticular_bleeding""]]","[[""urgent_colonoscopy"", ""proposed_for"", ""diagnosis""], [""urgent_colonoscopy"", ""proposed_for"", ""management""], [""urgent_colonoscopy"", ""proposed_for"", ""acute_colonic_diverticular_bleeding""], [""identification"", ""facilitates"", ""diagnosis""], [""identification"", ""facilitates"", ""endoscopic_therapy""], [""active_bleeding"", ""identified_by"", ""colonoscopy""], [""nonbleeding_stigmata"", ""identified_by"", ""colonoscopy""], [""study"", ""evaluated"", ""association""], [""association"", ""between"", ""timing_of_colonoscopy""], [""association"", ""between"", ""diagnostic_yield""], [""patients"", ""admitted_with"", ""acute_colonic_diverticular_bleeding""], [""Mayo_Clinic_GI_Bleeding_Team"", ""used_for"", ""patient_identification""], [""Emergency_Room_Admissions_Databases"", ""used_for"", ""patient_identification""], [""logistic_regression_analysis"", ""used_for"", ""association_assessment""], [""diagnosis"", ""made_in"", ""patients""], [""definitive_diagnosis"", ""made_in"", ""78_patients""], [""patients"", ""had"", ""active_bleeding""], [""patients"", ""had"", ""nonbleeding_stigmata""], [""colonoscopies"", ""performed"", ""after_admission""], [""colonoscopies"", ""performed_in"", ""18_h""], [""association"", ""not_significant"", ""diagnosis""], [""association"", ""not_significant"", ""timing_of_colonoscopy""]]",0.4692149337054482,0.753994770658671
5,Does the use of a specialised paediatric retrieval service result in the loss of vital stabilisation skills among referring hospital staff?,Referring hospital staff are performing a greater proportion of initial airway and vascular access procedures undertaken in the stabilisation of sick children retrieved by a specialised paediatric retrieval team. The provision of this service has not resulted in the loss of vital skills at the local hospital.,"No, the use of a specialised paediatric retrieval service does not necessarily result in the loss of vital stabilisation skills among referring hospital staff. Although the overall intubation rate was similar in the first and second time periods, a significantly greater proportion of retrieved children were intubated by referring hospital staff in the second time period.","[[""referring_hospital_staff"", ""perform"", ""initial_airway_procedures""], [""referring_hospital_staff"", ""perform"", ""vascular_access_procedures""], [""referring_hospital_staff"", ""involved_in"", ""stabilisation_of_sick_children""], [""specialised_paediatric_retrieval_team"", ""retrieve"", ""sick_children""], [""local_hospital"", ""retain"", ""vital_skills""]]","[[""specialised_paediatric_retrieval_service"", ""use"", ""does_not_result_in_loss_of_skills""], [""referring_hospital_staff"", ""retain"", ""vital_stabilisation_skills""], [""intubation_rate"", ""similar_in"", ""first_and_second_time_periods""], [""referring_hospital_staff"", ""intubated"", ""retrieved_children_in_second_time_period""]]","[[""study"", ""compare"", ""proportion_of_procedures""], [""procedures"", ""performed_by"", ""referring_hospital_staff""], [""procedures"", ""involve"", ""airway_and_vascular_access""], [""study"", ""examine"", ""two_time_periods""], [""time_periods"", ""are"", ""October_1993_to_September_1994_and_October_2000_to_September_2001""], [""retrieval_logs"", ""provide"", ""transport_data""], [""paediatric_retrieval_team"", ""launched_for"", ""children""], [""intubation_rate"", ""similar_in"", ""first_and_second_time_periods""], [""referring_hospital_staff"", ""intubated"", ""retrieved_children""], [""intubation_rate"", ""is"", ""83.9%_in_first_time_period""], [""intubation_rate"", ""is"", ""79.1%_in_second_time_period""], [""referring_hospital_staff"", ""gained_central_venous_access"", ""in_11%_of_retrieved_children_in_first_time_period""], [""referring_hospital_staff"", ""gained_central_venous_access"", ""in_18%_of_retrieved_children_in_second_time_period""], [""referring_hospital_staff"", ""gained_arterial_access"", ""in_22%_of_retrieved_children_in_first_time_period""], [""referring_hospital_staff"", ""gained_arterial_access"", ""in_19%_of_retrieved_children_in_second_time_period""]]",0.5232206732152025,0.6792279407039679
6,Management of thoracic empyema in childhood: does the pleural thickening matter?,"Results suggest that decortication is not necessary in children to prevent long term problems with pleural thickening, and should be undertaken on the basis of the clinical picture (failure of fever resolution), rather than radiological appearance.",The extensive pleural thickening evident on chest x ray examination at the time of discharge completely resolved over a period of 2-16 months. Lung function was measured in 13 children and showed no evidence of restrictive or obstructive deficit.,"[[""decortication"", ""not_necessary_for"", ""children""], [""decortication"", ""basis_for"", ""clinical_picture""], [""clinical_picture"", ""determined_by"", ""failure_of_fever_resolution""], [""clinical_picture"", ""not_determined_by"", ""radiological_appearance""], [""pleural_thickening"", ""prevented_by"", ""not_decortication""], [""long_term_problems"", ""related_to"", ""pleural_thickening""]]","[[""pleural_thickening"", ""evident_on"", ""chest_x_ray_examination""], [""pleural_thickening"", ""resolved_over"", ""2-16_months""], [""lung_function"", ""measured_in"", ""13_children""], [""lung_function"", ""showed_no_evidence_of"", ""restrictive_deficit""], [""lung_function"", ""showed_no_evidence_of"", ""obstructive_deficit""]]","[[""empyema"", ""treated_without"", ""decortication""], [""clinical_course"", ""determined_for"", ""empyema""], [""long_term_outcome"", ""determined_for"", ""empyema""], [""admissions"", ""studied_at"", ""hospital""], [""children"", ""aged"", ""2-14_years""], [""children"", ""treated_with"", ""intravenous_antibiotics""], [""children"", ""treated_with"", ""chest_drain""], [""pleural_thickening"", ""evident_on"", ""chest_x_ray_examination""], [""pleural_thickening"", ""resolved_over"", ""2-16_months""], [""lung_function"", ""measured_in"", ""13_children""], [""lung_function"", ""showed_no_evidence_of"", ""restrictive_deficit""], [""lung_function"", ""showed_no_evidence_of"", ""obstructive_deficit""], [""forced_expiratory_volume_in_one_second"", ""abbreviated_as"", ""FEV1""], [""forced_vital_capacity"", ""abbreviated_as"", ""FVC""], [""total_lung_capacity"", ""abbreviated_as"", ""TLC""], [""FEV1"", ""mean_value"", ""107.5""], [""FVC"", ""mean_value"", ""95.5""], [""TLC"", ""mean_value"", ""98.6""], [""FEV1"", ""standard_deviation"", ""9.6""], [""FVC"", ""standard_deviation"", ""8.8""], [""TLC"", ""standard_deviation"", ""20.7""], [""individual_children"", ""had_values_in"", ""normal_range""], [""normal_range"", ""defined_as"", ""80-120_per_cent_predicted""]]",0.3641953526659375,1.0
7,Does repeated hyperbaric exposure to 4 atmosphere absolute cause hearing impairment?,Pressure applied directly on the inner ear during diving does not disturb cochlear activity.,"No, repeated hyperbaric exposure to 4 atmosphere absolute does not cause hearing impairment in guinea pigs.","[[""Pressure"", ""applied_to"", ""inner_ear""], [""Pressure"", ""does_not_disturb"", ""cochlear_activity""], [""Diving"", ""involves"", ""pressure_on_inner_ear""]]","[[""Hyperbaric_exposure"", ""does_not_cause"", ""hearing_impairment""], [""Guinea_pigs"", ""exposed_to"", ""4_atmosphere_absolute""], [""4_atmosphere_absolute"", ""is_level_of"", ""hyperbaric_exposure""], [""Hearing_impairment"", ""not_caused_by"", ""hyperbaric_exposure""]]","[[""Direct_pressure"", ""does_not_induce"", ""hearing_loss""], [""Inner_ear"", ""has_permanent_lesions"", ""during_scuba_diving""], [""Pressure_imbalance"", ""causes"", ""inner_ear_permanent_lesions""], [""Microbubbles"", ""causes"", ""inner_ear_permanent_lesions""], [""Direct_effect_of_pressure"", ""investigated_as"", ""cause_of_inner_ear_permanent_lesions""], [""Guinea_pigs"", ""used_in"", ""experiment""], [""Guinea_pigs"", ""implanted_with"", ""electrode_in_round_window""], [""Air_diving"", ""performed_in"", ""hyperbaric_chamber""], [""Eardrums"", ""perforated"", ""before_experiment""], [""Dive_parameters"", ""set_to"", ""4_atmosphere_absolute""], [""Dive_parameters"", ""set_to"", ""30_minutes""], [""Auditory_threshold"", ""recorded"", ""during_experiment""], [""Cochlear_spontaneous_activity"", ""recorded"", ""during_experiment""], [""Heliox"", ""used_in"", ""400-m_dive""], [""Heliox"", ""used_in"", ""600-m_dive""], [""Group_with_perforated_eardrums"", ""showed_no_variation"", ""in_parameters""], [""Group_without_perforated_eardrums"", ""showed_variation"", ""in_parameters""]]",0.2634805875550329,0.567480028228136
8,Lower urinary tract reconstruction for duplicated renal units with ureterocele. Is excision of the ureterocele with reconstruction of the bladder base necessary?,"Lower urinary tract reconstruction for duplicated renal systems with obstruction of the upper pole can be accomplished safely with decreased morbidity through the extravesical approach without excision of the ureterocele or reconstruction of the bladder base. Moreover, in instances when there is no reflux to the lower pole moiety, upper pole only extravesical ureteroneocystostomy can be performed.",No. Lower urinary tract reconstruction for duplicated renal systems with ureterocele can be successfully performed through an extravesical approach without excision of the ureterocele or reconstruction of the bladder base.,"[[""Lower_urinary_tract_reconstruction"", ""performed_for"", ""duplicated_renal_systems""], [""duplicated_renal_systems"", ""associated_with"", ""obstruction_of_upper_pole""], [""obstruction_of_upper_pole"", ""treated_with"", ""extravesical_approach""], [""extravesical_approach"", ""characterized_by"", ""no_excision_of_ureterocele""], [""extravesical_approach"", ""characterized_by"", ""no_reconstruction_of_bladder_base""], [""upper_pole_only_extravesical_ureteroneocystostomy"", ""performed_in"", ""instances_without_reflux_to_lower_pole_moiety""]]","[[""Lower_urinary_tract_reconstruction"", ""performed_for"", ""duplicated_renal_systems""], [""duplicated_renal_systems"", ""associated_with"", ""ureterocele""], [""Lower_urinary_tract_reconstruction"", ""performed_through"", ""extravesical_approach""], [""extravesical_approach"", ""characterized_by"", ""no_excision_of_ureterocele""], [""extravesical_approach"", ""characterized_by"", ""no_reconstruction_of_bladder_base""]]","[[""Current_practice"", ""involves"", ""excision_of_ureterocele""], [""excision_of_ureterocele"", ""associated_with"", ""reconstruction_of_bladder""], [""reconstruction_of_bladder"", ""involves"", ""common_sheath_ureteroneocystostomy""], [""Nonfunctioning_upper_pole"", ""treated_with"", ""partial_nephroureterectomy""], [""Lower_urinary_tract_reconstruction"", ""can_be_performed_through"", ""extravesical_approach""], [""extravesical_approach"", ""characterized_by"", ""no_excision_of_ureterocele""], [""extravesical_approach"", ""characterized_by"", ""no_reconstruction_of_bladder_base""], [""Patients"", ""presented_with"", ""diagnosis_of_ureterocele""], [""Patients"", ""presented_with"", ""obstruction_of_upper_pole_ureter""], [""Partial_nephrectomy"", ""performed_in"", ""12_cases""], [""Partial_nephrectomy"", ""performed_in"", ""cases_with_reflux_to_lower_pole_moiety""], [""Upper_pole_only_dismembered_ureteroneocystostomy"", ""performed_in"", ""7_cases""], [""Upper_pole_only_dismembered_ureteroneocystostomy"", ""used"", ""extravesical_approach""], [""Average_postoperative_stay"", ""was"", ""3.7_days""], [""Foley_catheter"", ""removed_within"", ""24_to_48_hours""], [""Postoperative_ultrasound"", ""showed"", ""decompression_of_obstructed_system""], [""Postoperative_ultrasound"", ""showed"", ""decompression_of_ureterocele""], [""Reflux"", ""corrected_in"", ""all_patients""], [""Flow_rate"", ""measured"", ""post_void_residual""], [""Flow_rate"", ""measured"", ""6_weeks_postoperatively""], [""Toilet_trained_children"", ""showed"", ""complete_bladder_emptying""]]",0.8345416873919844,0.8179545012671879
9,Is common sheath extravesical reimplantation an effective technique to correct reflux in duplicated collecting systems?,Common sheath extravesical reimplantation is highly effective in treating VUR. The common sheath extravesical reimplantation for duplicated collecting systems is as effective in nonduplicated systems and is associated with minimal perioperative morbidity.,"Yes, common sheath extravesical reimplantation is an effective technique to correct reflux in duplicated collecting systems, with an overall success rate of 94.7% and 98.9% at 3 and 12 months, respectively.","[[""Common_sheath_extravesical_reimplantation"", ""treats"", ""VUR""], [""Common_sheath_extravesical_reimplantation"", ""effective_in"", ""duplicated_collecting_systems""], [""Common_sheath_extravesical_reimplantation"", ""effective_in"", ""nonduplicated_systems""], [""Common_sheath_extravesical_reimplantation"", ""associated_with"", ""minimal_perioperative_morbidity""]]","[[""Common_sheath_extravesical_reimplantation"", ""corrects"", ""reflux""], [""Common_sheath_extravesical_reimplantation"", ""effective_in"", ""duplicated_collecting_systems""], [""Common_sheath_extravesical_reimplantation"", ""success_rate_at_3_months"", ""94.7%""], [""Common_sheath_extravesical_reimplantation"", ""success_rate_at_12_months"", ""98.9%""]]","[[""Extravesical_detrusorrhaphy_approach"", ""used_to_correct"", ""VUR""], [""Extravesical_detrusorrhaphy_approach"", ""used_in"", ""duplicated_collecting_systems""], [""Extravesical_detrusorrhaphy_approach"", ""used_in"", ""single_collecting_systems""], [""Patients"", ""number"", ""266""], [""Ureters"", ""number"", ""422""], [""Treatment_period"", ""start"", ""1991""], [""Treatment_period"", ""end"", ""2001""], [""Inclusion_criteria"", ""primary_reflux"", ""single_collecting_systems""], [""Inclusion_criteria"", ""primary_reflux"", ""duplicated_collecting_systems""], [""Inclusion_criteria"", ""no_concomitant_surgery"", ""True""], [""Inclusion_criteria"", ""postoperative_followup"", ""at_least_1_year""], [""Indication_for_surgical_intervention"", ""unresolved_reflux"", ""greater_than_4_years""], [""Postoperative_evaluation"", ""includes"", ""voiding_cystourethrogram""], [""Postoperative_evaluation"", ""includes"", ""ultrasound""], [""Group_1"", ""collecting_systems"", ""duplicated""], [""Group_2"", ""collecting_systems"", ""single""], [""Group_1"", ""success_rate_at_3_months"", ""94.7%""], [""Group_1"", ""success_rate_at_12_months"", ""98.9%""], [""Group_2"", ""success_rate_at_3_months"", ""95.1%""], [""Group_2"", ""success_rate_at_12_months"", ""98.5%""], [""Postoperative_VUR"", ""contralateral"", ""more_than_40%""], [""Postoperative_hydronephrosis"", ""observed_in"", ""5.3%_of_ureteral_units""], [""Postoperative_hydronephrosis"", ""observed_in"", ""7.3%_of_ureteral_units""], [""Postoperative_urinary_retention"", ""occurred_in"", ""4.7%_of_patients""], [""Postoperative_urinary_retention"", ""occurred_in"", ""4%_of_patients""]]",0.5702590130748251,0.42109242438156375
