id,question,gold_answer,llm_answer,kg_gold,kg_llm,kg_context,gold_similarity,context_similarity
0,Is naturopathy as effective as conventional therapy for treatment of menopausal symptoms?,Naturopathy appears to be an effective alternative for relief of specific menopausal symptoms compared to conventional therapy.,Naturopathy is approximately seven times more likely than conventional therapy to report improvement for insomnia and decreased energy in menopausal symptoms.,"[[""Naturopathy"", ""alternative_to"", ""conventional_therapy""], [""Naturopathy"", ""effective_for"", ""relief_of_menopausal_symptoms""], [""conventional_therapy"", ""compared_to"", ""Naturopathy""]]","[[""Naturopathy"", ""more_likely_to_report_improvement_than"", ""conventional_therapy""], [""Naturopathy"", ""reports_improvement_for"", ""insomnia""], [""Naturopathy"", ""reports_improvement_for"", ""decreased_energy""], [""insomnia"", ""menopausal_symptom"", ""True""], [""decreased_energy"", ""menopausal_symptom"", ""True""], [""Naturopathy"", ""approximately_seven_times_more_likely_than"", ""conventional_therapy""]]","[[""alternative_medicine"", ""used_in"", ""United_States""], [""alternative_medicine"", ""increasingly_used"", ""True""], [""United_States"", ""location_of"", ""Community_Health_Centers_of_King_County""], [""Community_Health_Centers_of_King_County"", ""located_in"", ""King_County""], [""King_County"", ""located_in"", ""Washington""], [""Washington"", ""location_of"", ""Community_Health_Centers_of_King_County""], [""naturopathy"", ""compared_to"", ""conventional_medical_therapy""], [""naturopathic_therapy"", ""alternative_to"", ""conventional_medical_therapy""], [""conventional_medical_therapy"", ""compared_to"", ""naturopathic_therapy""], [""menopausal_symptoms"", ""treated_with"", ""naturopathy""], [""menopausal_symptoms"", ""treated_with"", ""conventional_medical_therapy""], [""naturopathy"", ""treats"", ""menopausal_symptoms""], [""conventional_medical_therapy"", ""treats"", ""menopausal_symptoms""], [""Naturopathic_Physician"", ""documents"", ""menopausal_symptoms""], [""Conventional_Physician"", ""documents"", ""menopausal_symptoms""], [""women"", ""receive"", ""naturopathy""], [""women"", ""receive"", ""conventional_medical_therapy""], [""women"", ""age"", ""40_years_or_more""], [""naturopathy"", ""reports_higher_monthly_incomes"", ""True""], [""naturopathy"", ""reports_lower_smoking_rates"", ""True""], [""naturopathy"", ""reports_higher_exercise_frequencies"", ""True""], [""naturopathy"", ""reports_higher_frequencies_of_decreased_energy"", ""True""], [""naturopathy"", ""reports_higher_frequencies_of_insomnia"", ""True""], [""naturopathy"", ""reports_higher_frequencies_of_hot_flashes"", ""True""], [""insomnia"", ""menopausal_symptom"", ""True""], [""decreased_energy"", ""menopausal_symptom"", ""True""], [""hot_flashes"", ""menopausal_symptom"", ""True""], [""naturopathy"", ""approximately_seven_times_more_likely_to_report_improvement_than"", ""conventional_medical_therapy""], [""naturopathy"", ""reports_improvement_for"", ""insomnia""], [""naturopathy"", ""reports_improvement_for"", ""decreased_energy""], [""naturopathy"", ""reports_improvement_for"", ""anxiety""], [""naturopathy"", ""reports_improvement_for"", ""hot_flashes""], [""naturopathy"", ""reports_improvement_for"", ""menstrual_changes""], [""naturopathy"", ""reports_improvement_for"", ""vaginal_dryness""], [""anxiety"", ""menopausal_symptom"", ""True""], [""menstrual_changes"", ""menopausal_symptom"", ""True""], [""vaginal_dryness"", ""menopausal_symptom"", ""True""]]",0.46494854072402186,0.9936508196296492
1,Can randomised trials rely on existing electronic data?,"Routine data have the potential to support health technology assessment by RCTs. The cost of data collection and analysis is likely to fall, although further work is required to improve the validity of routine data, particularly in central returns. Better knowledge of the capability of local systems and access to the data held on them is also essential. Routinely captured clinical data have real potential to measure patient outcomes, particularly if the detail and precision of the data could be improved.","The study found that generally two-thirds of the research questions posed by health technology assessment through RCTs could be answered using routinely collected data. However, patient and professional preferences could not be identified from routine data and required additional collection. The study also highlighted potential difficulties in identifying, accessing, and extracting data, as well as the lack of uniformity in data structures, coding systems, and definitions.","[[""Routine_data"", ""supports"", ""Health_Technology_Assessment""], [""Routine_data"", ""supports"", ""RCTs""], [""Cost_of_data_collection"", ""likely_to_fall"", ""Data_Collection""], [""Cost_of_data_collection"", ""related_to"", ""Data_Analysis""], [""Data_Collection"", ""requires"", ""Validity_Improvement""], [""Routine_data"", ""has_potential"", ""Measuring_Patient_Outcomes""], [""Clinical_data"", ""has_potential"", ""Measuring_Patient_Outcomes""], [""Data_Detail"", ""requires_improvement"", ""Precision""], [""Data_Precision"", ""requires_improvement"", ""Detail""]]","[[""Study"", ""found"", ""Research_Questions""], [""Research_Questions"", ""answered_by"", ""Routinely_Collected_Data""], [""Routinely_Collected_Data"", ""answers"", ""Two-Thirds_Research_Questions""], [""Patient_Preferences"", ""not_identified_from"", ""Routine_Data""], [""Professional_Preferences"", ""not_identified_from"", ""Routine_Data""], [""Data"", ""has_difficulties"", ""Identification""], [""Data"", ""has_difficulties"", ""Accessing""], [""Data"", ""has_difficulties"", ""Extraction""], [""Data_Structures"", ""lacks_uniformity"", ""Coding_Systems""], [""Coding_Systems"", ""lacks_uniformity"", ""Definitions""]]","[[""Health_Technology_Assessments"", ""involved"", ""Patients""], [""Patients"", ""under_care_at"", ""District_General_Hospitals""], [""District_General_Hospitals"", ""located_in"", ""UK""], [""Health_Technology_Assessments"", ""used"", ""Conditions""], [""Conditions"", ""include"", ""Inflammatory_Bowel_Disease""], [""Conditions"", ""include"", ""Obstructive_Sleep_Apnoea""], [""Conditions"", ""include"", ""Female_Urinary_Incontinence""], [""Conditions"", ""include"", ""Total_Knee_Replacement""], [""RCTs"", ""replicated"", ""Routine_Data""], [""Routine_Data"", ""used_in_place_of"", ""Designed_Data""], [""Trial_Designs"", ""include"", ""Two-Centre_Randomised_Trial""], [""Trial_Designs"", ""include"", ""Single-Centre_Randomised_Trial""], [""Trial_Designs"", ""include"", ""Three-Centre_Randomised_Trial""], [""Research_Questions"", ""answered_by"", ""Routinely_Collected_Data""], [""Routinely_Collected_Data"", ""cheaper_to_extract"", ""Designed_Data""], [""Routinely_Collected_Data"", ""facilitates_recruitment"", ""Patient_Outcomes""], [""Routinely_Collected_Data"", ""has_potential"", ""Identifying_Patient_Outcomes""], [""Validity"", ""of_Routinely_Collected_Data"", ""is_suspect""], [""Data_Structures"", ""lacks_uniformity"", ""Coding_Systems""], [""Coding_Systems"", ""lacks_uniformity"", ""Definitions""], [""Patient_Preferences"", ""not_identified_from"", ""Routine_Data""], [""Professional_Preferences"", ""not_identified_from"", ""Routine_Data""]]",0.3570409190074266,0.7632292520455987
2,Is laparoscopic radical prostatectomy better than traditional retropubic radical prostatectomy?,The results of our non-randomized study show that up to now laparoscopic radical prostatectomy does not provide significant advantages in terms of peri-operative morbidity compared with the traditional retropubic approach.,"No, the two groups were comparable in terms of pathological stage and definitive Gleason score, but operating times were significantly shorter in RRP.","[[""laparoscopic_radical_prostatectomy"", ""compared_to"", ""traditional_retropubic_approach""], [""laparoscopic_radical_prostatectomy"", ""does_not_provide"", ""significant_advantages""], [""significant_advantages"", ""in_terms_of"", ""peri-operative_morbidity""], [""peri-operative_morbidity"", ""compared_with"", ""traditional_retropubic_approach""]]","[[""two_groups"", ""comparable_in"", ""pathological_stage""], [""two_groups"", ""comparable_in"", ""definitive_Gleason_score""], [""operating_times"", ""significantly_shorter_in"", ""RRP""]]","[[""retropubic_radical_prostatectomy"", ""compared_to"", ""laparoscopic_radical_prostatectomy""], [""patients"", ""underwent"", ""retropubic_radical_prostatectomy""], [""patients"", ""underwent"", ""extraperitoneal_laparoscopic_radical_prostatectomy""], [""retropubic_radical_prostatectomy"", ""performed_in"", ""50_consecutive_patients""], [""extraperitoneal_laparoscopic_radical_prostatectomy"", ""performed_in"", ""71_consecutive_patients""], [""two_groups"", ""comparable_in"", ""mean_pre-operative_PSA""], [""two_groups"", ""comparable_in"", ""biopsy_Gleason_score""], [""peri-operative_data"", ""includes"", ""operative_time""], [""peri-operative_data"", ""includes"", ""intra-operative_transfusion_rates""], [""peri-operative_data"", ""includes"", ""post-operative_transfusion_rates""], [""peri-operative_data"", ""includes"", ""complication_rates""], [""peri-operative_data"", ""includes"", ""hospitalization_length""], [""peri-operative_data"", ""includes"", ""duration_of_catheterization""], [""pathological_parameters"", ""include"", ""Gleason_score""], [""pathological_parameters"", ""include"", ""pathological_stage""], [""pathological_parameters"", ""include"", ""positive_surgical_margin_rate""], [""continence_recovery"", ""evaluated_in"", ""patients_with_follow-up_longer_than_12_months""], [""two_groups"", ""comparable_in"", ""pathological_stage""], [""two_groups"", ""comparable_in"", ""definitive_Gleason_score""], [""operating_times"", ""significantly_shorter_in"", ""RRP""], [""LRP_patients"", ""showed_higher"", ""autologous_transfusion""], [""LRP_patients"", ""showed_higher"", ""eterologous_transfusion""], [""complication_rates"", ""no_significant_difference"", ""between_two_groups""], [""rectal_injury_rate"", ""2.8%"", ""in_laparoscopic_group""], [""mean_post-operative_hospital_stay"", ""10.2+/-2_days"", ""in_surgery_group""], [""mean_post-operative_hospital_stay"", ""7.2+/-3.4_days"", ""in_laparoscopy_group""], [""catheterization_time"", ""8.4+/-0.9_days"", ""in_surgery_group""], [""catheterization_time"", ""8+/-2.8_days"", ""in_laparoscopy_group""], [""complete_continence"", ""achieved_in"", ""64%_of_RRP_patients""], [""complete_continence"", ""achieved_in"", ""40%_of_LRP_patients""]]",0.21968886652771463,1.0
3,Does bacterial gastroenteritis predispose people to functional gastrointestinal disorders?,"Symptoms consistent with IBS and functional diarrhea occur more frequently in people after bacterial gastroenteritis compared with controls, even after careful exclusion of people with pre-existing FGIDs. The frequency is similar at 3 and 6 months. Our findings support the existence of postinfectious IBS and give an accurate estimate of its frequency.","Yes, bacterial gastroenteritis appears to predispose people to functional gastrointestinal disorders, specifically IBS, functional diarrhea, and functional dyspepsia, with a significantly higher incidence found in cases compared to controls.","[[""IBS"", ""occurs_in"", ""people_after_bacterial_gastroenteritis""], [""functional_diarrhea"", ""occurs_in"", ""people_after_bacterial_gastroenteritis""], [""people_after_bacterial_gastroenteritis"", ""compared_to"", ""controls""], [""frequency_of_IBS_and_functional_diarrhea"", ""similar_at"", ""3_months""], [""frequency_of_IBS_and_functional_diarrhea"", ""similar_at"", ""6_months""], [""postinfectious_IBS"", ""exists"", ""True""], [""postinfectious_IBS"", ""has_accurate_estimate_of_frequency"", ""True""]]","[[""bacterial_gastroenteritis"", ""predisposes_to"", ""functional_gastrointestinal_disorders""], [""functional_gastrointestinal_disorders"", ""include"", ""IBS""], [""functional_gastrointestinal_disorders"", ""include"", ""functional_diarrhea""], [""functional_gastrointestinal_disorders"", ""include"", ""functional_dyspepsia""], [""bacterial_gastroenteritis"", ""has_significantly_higher_incidence"", ""cases""], [""cases"", ""compared_to"", ""controls""]]","[[""Irritable_bowel_syndrome"", ""might_develop_after"", ""gastroenteritis""], [""gastroenteritis"", ""has_relationship_with"", ""functional_gastrointestinal_disorders""], [""functional_gastrointestinal_disorders"", ""include"", ""IBS""], [""functional_gastrointestinal_disorders"", ""include"", ""functional_dyspepsia""], [""functional_gastrointestinal_disorders"", ""include"", ""functional_diarrhea""], [""study"", ""aimed_to_determine"", ""frequency_of_FGIDs_after_gastroenteritis""], [""study"", ""was"", ""prospective""], [""study"", ""was"", ""community-based""], [""study"", ""was"", ""case-control_study""], [""cases"", ""had"", ""proven_bacterial_gastroenteritis""], [""controls"", ""were"", ""community-based""], [""FGIDs"", ""diagnosed_with"", ""Rome_II_modular_questionnaires""], [""Rome_II_modular_questionnaires"", ""administered_at"", ""baseline""], [""Rome_II_modular_questionnaires"", ""administered_at"", ""3_months""], [""Rome_II_modular_questionnaires"", ""administered_at"", ""6_months""], [""subjects"", ""excluded_if_had"", ""prior_FGIDs""], [""primary_endpoint"", ""was"", ""presence_of_FGID_at_6_months""], [""total_cases"", ""were"", ""500""], [""total_controls"", ""were"", ""705""], [""cases_consented"", ""were"", ""265""], [""cases_eligible"", ""were"", ""128""], [""controls_consented"", ""were"", ""219""], [""cases_returned_questionnaire"", ""were"", ""108""], [""controls_returned_questionnaire"", ""were"", ""206""], [""FGIDs"", ""found_in"", ""cases""], [""FGIDs"", ""found_in"", ""controls""], [""FGIDs"", ""had_significant_difference"", ""cases_vs_controls""], [""IBS"", ""diagnosed_in"", ""cases""], [""IBS"", ""diagnosed_in"", ""controls""], [""functional_diarrhea"", ""diagnosed_in"", ""cases""], [""functional_diarrhea"", ""not_diagnosed_in"", ""controls""], [""functional_dyspepsia"", ""uncommon_in"", ""cases""], [""functional_dyspepsia"", ""uncommon_in"", ""controls""], [""findings_at_3_months"", ""similar_to"", ""findings_at_6_months""]]",0.5875549530664013,0.757162618483312
4,Is early colonoscopy after admission for acute diverticular bleeding needed?,"No significant association is apparent between the timing of colonoscopy after admission and encountering active bleeding or nonbleeding stigmata. Based on these observations, urgent colonoscopy for these patients does not seem advantageous.","No, early colonoscopy after admission for acute diverticular bleeding is not needed as the timing of colonoscopy is not associated with an increased diagnostic yield.","[[""colonoscopy"", ""associated_with"", ""active_bleeding""], [""colonoscopy"", ""associated_with"", ""nonbleeding_stigmata""], [""urgent_colonoscopy"", ""advantageous_for"", ""patients""], [""timing_of_colonoscopy"", ""related_to"", ""admission""]]","[[""early_colonoscopy"", ""needed_for"", ""acute_diverticular_bleeding""], [""timing_of_colonoscopy"", ""associated_with"", ""diagnostic_yield""], [""early_colonoscopy"", ""associated_with"", ""admission""]]","[[""urgent_colonoscopy"", ""proposed_for"", ""diagnosis_and_management""], [""urgent_colonoscopy"", ""proposed_for"", ""acute_colonic_diverticular_bleeding""], [""identification_of_active_bleeding"", ""facilitates"", ""diagnosis""], [""identification_of_nonbleeding_stigmata"", ""facilitates"", ""diagnosis""], [""identification_of_active_bleeding"", ""facilitates"", ""endoscopic_therapy""], [""identification_of_nonbleeding_stigmata"", ""facilitates"", ""endoscopic_therapy""], [""study"", ""evaluated"", ""association_between_timing_of_colonoscopy_and_diagnostic_yield""], [""patients"", ""admitted_with"", ""acute_colonic_diverticular_bleeding""], [""Mayo_Clinic_GI_Bleeding_Team"", ""used_for"", ""identifying_patients""], [""Emergency_Room_Admissions_Databases"", ""used_for"", ""identifying_patients""], [""years_1998-2000"", ""time_period_of"", ""study""], [""logistic_regression_analysis"", ""used_for"", ""assessing_association""], [""timing_of_colonoscopy"", ""determined_from"", ""time_of_admission""], [""colonoscopy"", ""performed_after"", ""admission""], [""patients"", ""received_diagnosis"", ""diverticular_hemorrhage""], [""diverticular_hemorrhage"", ""diagnosed_in"", ""78_patients""], [""patients"", ""had_mean_age"", ""78_yr""], [""patients"", ""had_age_range"", ""49-96_yr""], [""colonoscopies"", ""performed"", ""18_h_after_admission""], [""association"", ""not_significant"", ""between_definitive_diagnosis_and_timing_of_colonoscopy""]]",0.6129933406936734,0.6898155760792868
5,Does the use of a specialised paediatric retrieval service result in the loss of vital stabilisation skills among referring hospital staff?,Referring hospital staff are performing a greater proportion of initial airway and vascular access procedures undertaken in the stabilisation of sick children retrieved by a specialised paediatric retrieval team. The provision of this service has not resulted in the loss of vital skills at the local hospital.,"No, the use of a specialised paediatric retrieval service does not result in the loss of vital stabilisation skills among referring hospital staff. The proportion of airway and vascular access procedures performed by referring hospital staff remained similar in both time periods, despite a significant reduction in the proportion of children on whom these procedures were performed.","[[""Referring_hospital_staff"", ""perform"", ""initial_airway_procedures""], [""Referring_hospital_staff"", ""perform"", ""vascular_access_procedures""], [""Referring_hospital_staff"", ""involved_in"", ""stabilisation_of_sick_children""], [""Specialised_paediatric_retrieval_team"", ""retrieve"", ""sick_children""], [""Local_hospital"", ""retain"", ""vital_skills""]]","[[""Specialised_paediatric_retrieval_service"", ""used"", ""for_stabilisation""], [""Referring_hospital_staff"", ""retain"", ""vital_stabilisation_skills""], [""Referring_hospital_staff"", ""perform"", ""airway_procedures""], [""Referring_hospital_staff"", ""perform"", ""vascular_access_procedures""], [""Proportion_of_procedures"", ""remained_similar"", ""in_both_time_periods""]]","[[""Study"", ""compare"", ""proportion_of_procedures""], [""Proportion_of_procedures"", ""compared"", ""in_two_time_periods""], [""Time_period_1"", ""span"", ""October_1993_to_September_1994""], [""Time_period_2"", ""span"", ""October_2000_to_September_2001""], [""Referring_hospital_staff"", ""perform"", ""airway_procedures""], [""Referring_hospital_staff"", ""perform"", ""vascular_access_procedures""], [""Intubation_rate"", ""similar"", ""in_both_time_periods""], [""Intubation_rate"", ""measured"", ""83.9%_in_first_period""], [""Intubation_rate"", ""measured"", ""79.1%_in_second_period""], [""Referring_hospital_staff"", ""intubated"", ""61%_of_retrieved_children_in_1993-94""], [""Referring_hospital_staff"", ""intubated"", ""84%_of_retrieved_children_in_2000-01""], [""Referring_hospital_staff"", ""gained_central_venous_access"", ""11%_of_retrieved_children_in_first_period""], [""Referring_hospital_staff"", ""gained_central_venous_access"", ""18%_of_retrieved_children_in_second_period""], [""Referring_hospital_staff"", ""gained_arterial_access"", ""22%_of_retrieved_children_in_first_period""], [""Referring_hospital_staff"", ""gained_arterial_access"", ""19%_of_retrieved_children_in_second_period""]]",0.6757156128266837,0.7573373681173752
6,Management of thoracic empyema in childhood: does the pleural thickening matter?,"Results suggest that decortication is not necessary in children to prevent long term problems with pleural thickening, and should be undertaken on the basis of the clinical picture (failure of fever resolution), rather than radiological appearance.",The pleural thickening in childhood thoracic empyema resolves completely over a period of 2-16 months without any long term pulmonary sequelae.,"[[""decortication"", ""not_necessary_for"", ""children""], [""decortication"", ""basis"", ""clinical_picture""], [""clinical_picture"", ""determined_by"", ""failure_of_fever_resolution""], [""decortication"", ""not_based_on"", ""radiological_appearance""], [""pleural_thickening"", ""prevented_by"", ""no_decortication""], [""long_term_problems"", ""prevented_by"", ""no_decortication""]]","[[""pleural_thickening"", ""resolves_in"", ""2-16_months""], [""pleural_thickening"", ""no_long_term_sequelae"", ""pulmonary_sequelae""], [""childhood_thoracic_empyema"", ""resolves"", ""pleural_thickening""], [""childhood_thoracic_empyema"", ""no_long_term_sequelae"", ""pulmonary_sequelae""]]","[[""study"", ""aim"", ""determine_clinical_course""], [""study"", ""aim"", ""determine_long_term_outcome""], [""study"", ""focus"", ""empyema_treated_without_decortication""], [""hospital"", ""admissions"", ""14""], [""children"", ""age_range"", ""2-14_years""], [""children"", ""treatment"", ""intravenous_antibiotics""], [""children"", ""treatment"", ""chest_drain""], [""pleural_thickening"", ""evident_on"", ""chest_x_ray""], [""pleural_thickening"", ""resolves_in"", ""2-16_months""], [""lung_function"", ""measured_in"", ""13_children""], [""lung_function"", ""no_restrictive_deficit"", """"], [""lung_function"", ""no_obstructive_deficit"", """"], [""FEV1"", ""mean_value"", ""107.5""], [""FEV1"", ""SD"", ""9.6""], [""FVC"", ""mean_value"", ""95.5""], [""FVC"", ""SD"", ""8.8""], [""TLC"", ""mean_value"", ""98.6""], [""TLC"", ""SD"", ""20.7""], [""individual_children"", ""lung_function_values"", ""normal_range""], [""normal_range"", ""defined_as"", ""80-120_percent_predicted""]]",0.33726515375475813,0.5599748149751853
7,Does repeated hyperbaric exposure to 4 atmosphere absolute cause hearing impairment?,Pressure applied directly on the inner ear during diving does not disturb cochlear activity.,"No, repeated hyperbaric exposure to 4 atmosphere absolute does not cause hearing impairment, as no variations in auditory threshold and spontaneous cochlear activity were recorded in guinea pigs with perforated eardrums even in extreme diving conditions.","[[""Pressure"", ""applied_to"", ""inner_ear""], [""Pressure"", ""does_not_disturb"", ""cochlear_activity""], [""Diving"", ""involves"", ""inner_ear""]]","[[""Hyperbaric_exposure"", ""does_not_cause"", ""hearing_impairment""], [""Guinea_pigs"", ""have"", ""perforated_eardrums""], [""Guinea_pigs"", ""exposed_to"", ""hyperbaric_exposure""], [""Hyperbaric_exposure"", ""has"", ""atmosphere_absolute""], [""Atmosphere_absolute"", ""value"", ""4""], [""Auditory_threshold"", ""does_not_vary"", ""hyperbaric_exposure""], [""Cochlear_activity"", ""does_not_vary"", ""hyperbaric_exposure""], [""Diving"", ""has"", ""conditions""], [""Conditions"", ""described_as"", ""extreme""]]","[[""Inner_ear"", ""cannot_induce"", ""hearing_loss""], [""Pressure"", ""applied_to"", ""inner_ear""], [""Inner_ear"", ""has"", ""permanent_lesions""], [""Permanent_lesions"", ""caused_by"", ""pressure_imbalance""], [""Pressure_imbalance"", ""between"", ""middle_ear""], [""Pressure_imbalance"", ""and"", ""external_ear""], [""Permanent_lesions"", ""caused_by"", ""microbubbles""], [""Microbubbles"", ""in"", ""internal_ear""], [""Permanent_lesions"", ""caused_by"", ""direct_effect_of_pressure""], [""Direct_effect_of_pressure"", ""on"", ""inner_ear""], [""Guinea_pigs"", ""used_in"", ""study""], [""Guinea_pigs"", ""implanted_with"", ""electrode""], [""Electrode"", ""in"", ""round_window""], [""Guinea_pigs"", ""dived_in"", ""hyperbaric_chamber""], [""Hyperbaric_chamber"", ""has"", ""air_diving""], [""Dive"", ""has"", ""parameters""], [""Parameters"", ""include"", ""maximal_pressure""], [""Maximal_pressure"", ""value"", ""4_atmosphere_absolute""], [""Parameters"", ""include"", ""duration""], [""Duration"", ""value"", ""30_minutes""], [""Guinea_pigs"", ""had"", ""eardrums""], [""Cochlear_activity"", ""measured_in"", ""Heliox_400-m""], [""Cochlear_activity"", ""measured_in"", ""Heliox_600-m""], [""Diving"", ""has"", ""types""], [""Types"", ""include"", ""extreme_diving""]]",0.4041516178200982,0.5546966471179119
8,Lower urinary tract reconstruction for duplicated renal units with ureterocele. Is excision of the ureterocele with reconstruction of the bladder base necessary?,"Lower urinary tract reconstruction for duplicated renal systems with obstruction of the upper pole can be accomplished safely with decreased morbidity through the extravesical approach without excision of the ureterocele or reconstruction of the bladder base. Moreover, in instances when there is no reflux to the lower pole moiety, upper pole only extravesical ureteroneocystostomy can be performed.","No, excision of the ureterocele with reconstruction of the bladder base is not necessary for lower urinary tract reconstruction in patients with duplicated renal units and ureterocele. Our experience suggests that successful reconstruction can be achieved through an extravesical approach without excision of the ureterocele or reconstruction of the bladder base.","[[""Lower_urinary_tract_reconstruction"", ""accomplished_through"", ""extravesical_approach""], [""Lower_urinary_tract_reconstruction"", ""decreases"", ""morbidity""], [""Extravesical_approach"", ""does_not_require"", ""excision_of_ureterocele""], [""Extravesical_approach"", ""does_not_require"", ""reconstruction_of_bladder_base""], [""Upper_pole_only_extravesical_ureteroneocystostomy"", ""can_be_performed"", ""without_reflux_to_lower_pole_moiety""]]","[[""Excision_of_ureterocele"", ""not_necessary_for"", ""lower_urinary_tract_reconstruction""], [""Reconstruction_of_bladder_base"", ""not_necessary_for"", ""lower_urinary_tract_reconstruction""], [""Extravesical_approach"", ""allows_for"", ""successful_reconstruction""], [""Extravesical_approach"", ""does_not_require"", ""excision_of_ureterocele""], [""Extravesical_approach"", ""does_not_require"", ""reconstruction_of_bladder_base""]]","[[""Current_practice"", ""involves"", ""excision_of_ureterocele""], [""Current_practice"", ""involves"", ""reconstruction_of_bladder""], [""Current_practice"", ""involves"", ""common_sheath_ureteroneocystostomy""], [""Partial_nephroureterectomy"", ""performed_for"", ""nonfunctioning_upper_pole""], [""Extravesical_approach"", ""allows_for"", ""successful_reconstruction""], [""Extravesical_approach"", ""does_not_require"", ""excision_of_ureterocele""], [""Extravesical_approach"", ""does_not_require"", ""reconstruction_of_bladder_base""], [""60_patients"", ""presented_with"", ""diagnosis_of_ureterocele""], [""60_patients"", ""presented_with"", ""obstruction_of_upper_pole_ureter""], [""Partial_nephrectomy"", ""performed_in"", ""12_cases""], [""4_cases"", ""had"", ""reflux_to_lower_pole_moiety""], [""Upper_pole_only_dismembered_ureteroneocystostomy"", ""performed_in"", ""7_cases""], [""Extravesical_approach"", ""used_in"", ""15_cases""], [""Average_postoperative_stay"", ""was"", ""3.7_days""], [""Foley_catheter"", ""removed_within"", ""24_to_48_hours""], [""Postoperative_ultrasound"", ""showed"", ""decompression_of_obstructed_system""], [""Postoperative_ultrasound"", ""showed"", ""decompression_of_ureterocele""], [""Reflux"", ""corrected_in"", ""all_patients""], [""Flow_rate"", ""measured"", ""post_void_residual""], [""Flow_rate"", ""measured"", ""6_weeks_postoperatively""], [""Toilet_trained_children"", ""showed"", ""complete_bladder_emptying""]]",0.5587743196784576,0.6364663929382052
9,Is common sheath extravesical reimplantation an effective technique to correct reflux in duplicated collecting systems?,Common sheath extravesical reimplantation is highly effective in treating VUR. The common sheath extravesical reimplantation for duplicated collecting systems is as effective in nonduplicated systems and is associated with minimal perioperative morbidity.,"Yes, the outcome of extravesical reimplantation for VUR in duplicated collecting systems is comparable to that in single collecting systems, with similar success rates at 3 and 12 months postoperatively.","[[""Common_sheath_extravesical_reimplantation"", ""treats"", ""VUR""], [""Common_sheath_extravesical_reimplantation"", ""effective_in"", ""duplicated_collecting_systems""], [""Common_sheath_extravesical_reimplantation"", ""effective_in"", ""nonduplicated_systems""], [""Common_sheath_extravesical_reimplantation"", ""associated_with"", ""minimal_perioperative_morbidity""]]","[[""Extravesical_reimplantation"", ""treats"", ""VUR""], [""Extravesical_reimplantation"", ""outcome_in"", ""duplicated_collecting_systems""], [""Extravesical_reimplantation"", ""outcome_comparable_to"", ""single_collecting_systems""], [""Extravesical_reimplantation"", ""success_rates_at"", ""3_months""], [""Extravesical_reimplantation"", ""success_rates_at"", ""12_months""]]","[[""VUR"", ""treated_using"", ""Extravesical_detrusorrhaphy_approach""], [""Extravesical_detrusorrhaphy_approach"", ""used_in"", ""duplicated_collecting_systems""], [""Extravesical_detrusorrhaphy_approach"", ""used_in"", ""single_collecting_systems""], [""Patients"", ""number"", ""266""], [""Ureters"", ""number"", ""422""], [""Treatment_period"", ""started_in"", ""1991""], [""Treatment_period"", ""ended_in"", ""2001""], [""Inclusion_criteria"", ""primary_reflux_in"", ""single_collecting_systems""], [""Inclusion_criteria"", ""primary_reflux_in"", ""duplicated_collecting_systems""], [""Indication_for_surgery"", ""reflux_duration"", ""greater_than_4_years""], [""Postoperative_evaluation"", ""included"", ""voiding_cystourethrogram""], [""Postoperative_evaluation"", ""included"", ""ultrasound""], [""Group_1"", ""consists_of"", ""duplicated_collecting_systems""], [""Group_2"", ""consists_of"", ""single_collecting_systems""], [""Group_1"", ""comparable_to"", ""Group_2""], [""Group_1"", ""success_rate_at_3_months"", ""94.7%""], [""Group_1"", ""success_rate_at_12_months"", ""98.9%""], [""Group_2"", ""success_rate_at_3_months"", ""95.1%""], [""Group_2"", ""success_rate_at_12_months"", ""98.5%""], [""Postoperative_VUR"", ""occurred_in"", ""more_than_40%_of_cases""], [""Postoperative_hydronephrosis"", ""observed_in"", ""5.3%_of_ureteral_units""], [""Postoperative_hydronephrosis"", ""observed_in"", ""7.3%_of_ureteral_units""], [""Postoperative_hydronephrosis"", ""grade"", ""Society_for_Fetal_Urology_grade_1""], [""Postoperative_hydronephrosis"", ""grade"", ""Society_for_Fetal_Urology_grade_2""], [""Postoperative_hydronephrosis"", ""grade"", ""1_increment_in_grade""], [""Postoperative_urinary_retention"", ""occurred_in"", ""4.7%_of_patients""], [""Postoperative_urinary_retention"", ""occurred_in"", ""4%_of_patients""]]",0.6057381160611881,0.5333717768803498
