id,paragraph_1,paragraph_2,kg_1,kg_2,kea_similarity,transe_similarity,rotate_similarity,wl_kernel_similarity,aa_kea_similarity,snea_bert_alpha_0.0,snea_bert_alpha_0.1,snea_bert_alpha_0.2,snea_bert_alpha_0.3,snea_bert_alpha_0.4,snea_bert_alpha_0.5,snea_bert_alpha_0.6,snea_bert_alpha_0.7,snea_bert_alpha_0.8,snea_bert_alpha_0.9,snea_bert_alpha_1.0_SNEA_alone,kea_bert_similarity,semantic_wl_similarity
0,"The U.S. Economy is closely related to Gross Domestic Product, the global economic slowdown, and innovation. The Gross Domestic Product operates in Mexico and relates to both economic growth and the Canadian economy. Spending impacts the U.S. Economy, while the global economic slowdown has a negative impact on bank stocks. Furthermore, innovation not only affects technology but also has a positive impact on business and significantly influences the jobs market.","The U.S. Economy relates to several key factors including Gross Domestic Product, global economic slowdown, and innovation. The Gross Domestic Product operates in Mexico and also relates to economic growth and the Canadian economy. Additionally, spending impacts the U.S. Economy, while the global economic slowdown has a negative impact on bank stocks. Innovation plays a significant role by impacting technology and the jobs market, and it has a positive impact on business.","[[""U.S._Economy"", ""related_to"", ""Gross_Domestic_Product""], [""U.S._Economy"", ""related_to"", ""global_economic_slowdown""], [""U.S._Economy"", ""related_to"", ""innovation""], [""Gross_Domestic_Product"", ""operates_in"", ""Mexico""], [""Gross_Domestic_Product"", ""relates_to"", ""economic_growth""], [""Gross_Domestic_Product"", ""relates_to"", ""Canadian_economy""], [""Spending"", ""impacts"", ""U.S._Economy""], [""global_economic_slowdown"", ""has_negative_impact_on"", ""bank_stocks""], [""Innovation"", ""affects"", ""technology""], [""Innovation"", ""has_positive_impact_on"", ""business""], [""Innovation"", ""influences"", ""jobs_market""]]","[[""U.S._Economy"", ""relates_to"", ""Gross_Domestic_Product""], [""U.S._Economy"", ""relates_to"", ""global_economic_slowdown""], [""U.S._Economy"", ""relates_to"", ""innovation""], [""Gross_Domestic_Product"", ""operates_in"", ""Mexico""], [""Gross_Domestic_Product"", ""relates_to"", ""economic_growth""], [""Gross_Domestic_Product"", ""relates_to"", ""Canadian_economy""], [""Spending"", ""impacts"", ""U.S._Economy""], [""global_economic_slowdown"", ""has_negative_impact_on"", ""bank_stocks""], [""Innovation"", ""impacts"", ""technology""], [""Innovation"", ""impacts"", ""jobs_market""], [""Innovation"", ""has_positive_impact_on"", ""business""]]",1.0,1.0,0.9999999403953552,1.0,1.0,0.9976098795790301,0.9978488916211271,0.9980879036632242,0.998326915705321,0.998565927747418,0.9988049397895151,0.9990439518316121,0.9992829638737091,0.999521975915806,0.999760987957903,1.0,0.9863467514962356,0.9694664329471053
1,"Assad plays a central role in controlling the Syrian Conflict, a situation that has garnered international attention. His actions are closely related to the deployment of chemical weapons, which have been a significant and controversial aspect of the conflict. Additionally, Assad is a key member of the Assad regime, which underpins the political structure supporting his control and influence.","Assad exerts control over the Syrian Conflict, a complex situation involving various factions and international interests. His actions and decisions within this conflict are closely related to the deployment and alleged use of chemical weapons, which has drawn widespread condemnation and scrutiny. Additionally, Assad is a pivotal figure within the Assad regime, implying his integral role and influence within the governing structure that supports him.","[[""Assad"", ""plays_central_role_in"", ""Syrian_Conflict""], [""Syrian_Conflict"", ""has_garnered"", ""international_attention""], [""Assad"", ""actions_related_to"", ""deployment_of_chemical_weapons""], [""deployment_of_chemical_weapons"", ""aspect_of"", ""Syrian_Conflict""], [""Assad"", ""member_of"", ""Assad_regime""], [""Assad_regime"", ""underpins"", ""political_structure""], [""political_structure"", ""supports"", ""Assad_control_and_influence""]]","[[""Assad"", ""exerts_control_over"", ""Syrian_Conflict""], [""Syrian_Conflict"", ""involves"", ""various_factions""], [""Syrian_Conflict"", ""involves"", ""international_interests""], [""Assad"", ""actions_related_to"", ""deployment_and_alleged_use_of_chemical_weapons""], [""deployment_and_alleged_use_of_chemical_weapons"", ""draws"", ""widespread_condemnation""], [""deployment_and_alleged_use_of_chemical_weapons"", ""draws"", ""scrutiny""], [""Assad"", ""pivotal_figure_in"", ""Assad_regime""], [""Assad_regime"", ""implies"", ""integral_role_of_Assad""], [""Assad_regime"", ""supports"", ""Assad_influence""], [""Assad_regime"", ""part_of"", ""governing_structure""]]",0.4666666666666667,0.0,0.3090236783027649,0.05698028822981897,0.46770717334674267,0.9550897066107299,0.9063514532843312,0.8576131999579325,0.8088749466315337,0.760136693305135,0.7113984399787363,0.6626601866523376,0.6139219333259389,0.5651836799995401,0.5164454266731414,0.46770717334674267,0.7993776127868795,0.8443494713099937
2,"Manafort is related to both Paul Manafort and Mueller, and is involved in activities that raise concerns for U.S. banks. These banks, which operate in the United States, play a crucial role in controlling the financial response to potential cyberattacks.","Manafort is connected to both the Secretary of State and Mueller, suggesting a significant network of relationships possibly affecting political and legal domains. In addition to these connections, Manafort also engages in activities that raise funds for charities. These charities, operating within the United States, exercise control over initiatives such as the MeToo Movement, indicating their influence and reach within societal change efforts.","[[""Manafort"", ""related_to"", ""Paul_Manafort""], [""Manafort"", ""related_to"", ""Mueller""], [""Manafort"", ""involved_in"", ""activities""], [""activities"", ""raise_concerns_for"", ""U.S._banks""], [""U.S._banks"", ""operate_in"", ""United_States""], [""U.S._banks"", ""play_role_in"", ""controlling_financial_response_to_potential_cyberattacks""]]","[[""Manafort"", ""connected_to"", ""Secretary_of_State""], [""Manafort"", ""connected_to"", ""Mueller""], [""Manafort"", ""engages_in"", ""activities""], [""activities"", ""raise_funds_for"", ""charities""], [""charities"", ""operate_in"", ""United_States""], [""charities"", ""exercise_control_over"", ""initiatives""], [""initiatives"", ""include"", ""MeToo_Movement""], [""charities"", ""have_influence_on"", ""societal_change_efforts""]]",0.3888888888888889,0.27029624581336975,0.5847254395484924,0.2939723678960656,0.3768891807222045,0.7536275439763345,0.7159537076509215,0.6782798713255086,0.6406060350000954,0.6029321986746825,0.5652583623492695,0.5275845260238565,0.48991068969844354,0.4522368533730305,0.41456301704761744,0.3768891807222045,0.7155220554422148,0.7076924826749242
3,"Paul Achleitner controls Deutsche Bank AG and has a significant impact on Deutsche Bank. Additionally, Paul Achleitner relates to John Cryan, indicating a connection between the two in the context of their roles within the bank.","Paul Achleitner controls Deutsche Bank AG and has a notable impact on Deutsche Bank. Additionally, Paul Achleitner relates to John Cryan, indicating a connection between them within the context of the bank's leadership and strategic direction.","[[""Paul_Achleitner"", ""controls"", ""Deutsche_Bank_AG""], [""Paul_Achleitner"", ""has_impact_on"", ""Deutsche_Bank""], [""Paul_Achleitner"", ""relates_to"", ""John_Cryan""], [""Paul_Achleitner"", ""role_context"", ""Deutsche_Bank""], [""John_Cryan"", ""role_context"", ""Deutsche_Bank""]]","[[""Paul_Achleitner"", ""controls"", ""Deutsche_Bank_AG""], [""Paul_Achleitner"", ""has_impact_on"", ""Deutsche_Bank""], [""Paul_Achleitner"", ""relates_to"", ""John_Cryan""], [""Paul_Achleitner"", ""role_context"", ""Deutsche_Bank_leadership""], [""John_Cryan"", ""role_context"", ""Deutsche_Bank_leadership""], [""Deutsche_Bank_leadership"", ""involves"", ""strategic_direction""]]",1.0,0.6214087605476379,0.8275400996208191,0.30618621784789724,0.33541019662496846,0.9851923676386976,0.9202141505373247,0.8552359334359517,0.7902577163345789,0.7252794992332059,0.660301282131833,0.5953230650304601,0.5303448479290872,0.46536663082771423,0.4003884137263414,0.33541019662496846,0.9635100223811979,0.8439273419273472
4,"The ISM relates to trading partners and has a significant impact on both the manufacturing sector and the US economy. The manufacturing sector, in turn, relates to employment and operates within the Canadian economy.","The ISM relates to trading partners and has an impact on the US economy. Furthermore, the manufacturing sector operates in the Canadian economy and relates to employment, highlighting the interconnectedness of these economic components across borders.","[[""ISM"", ""relates_to"", ""trading_partners""], [""ISM"", ""impact_on"", ""manufacturing_sector""], [""ISM"", ""impact_on"", ""US_economy""], [""manufacturing_sector"", ""relates_to"", ""employment""], [""manufacturing_sector"", ""operates_in"", ""Canadian_economy""]]","[[""ISM"", ""relates_to"", ""trading_partners""], [""ISM"", ""impact_on"", ""US_economy""], [""manufacturing_sector"", ""operates_in"", ""Canadian_economy""], [""manufacturing_sector"", ""relates_to"", ""employment""]]",0.8611111111111112,1.0,0.9999999403953552,0.8611111111111112,0.8611111111111112,0.9915156752906891,0.9784752188727314,0.9654347624547736,0.9523943060368156,0.9393538496188578,0.9263133932009001,0.9132729367829424,0.9002324803649845,0.8871920239470268,0.8741515675290689,0.8611111111111112,0.9936742081010252,0.9779311044468211
5,"The Securities and Exchange Commission controls both shareholders and the banking industry, and has a negative impact on the Bitcoin ETF. Shareholders, in turn, impact companies, while William Taylor relates to both the US Government and the Securities and Exchange Commission. Additionally, the US Government relates to the U.S.-China trade dispute and negatively impacts Kellyanne Conway, while it also has an impact on investment in China.","William Taylor relates to the US Government, which impacts investment in China. Additionally, shareholders have an influence on companies, indicating the interconnectedness between these entities in financial and political contexts.","[[""Securities_and_Exchange_Commission"", ""controls"", ""shareholders""], [""Securities_and_Exchange_Commission"", ""controls"", ""banking_industry""], [""Securities_and_Exchange_Commission"", ""negative_impact_on"", ""Bitcoin_ETF""], [""shareholders"", ""impact"", ""companies""], [""William_Taylor"", ""relates_to"", ""US_Government""], [""William_Taylor"", ""relates_to"", ""Securities_and_Exchange_Commission""], [""US_Government"", ""relates_to"", ""U.S.-China_trade_dispute""], [""US_Government"", ""negative_impact_on"", ""Kellyanne_Conway""], [""US_Government"", ""impact_on"", ""investment_in_China""]]","[[""William_Taylor"", ""relates_to"", ""US_Government""], [""US_Government"", ""impact_on"", ""investment_in_China""], [""shareholders"", ""influence_on"", ""companies""]]",0.4714045207910317,0.39205968379974365,0.7076067924499512,0.49497474683058323,0.4714045207910317,0.8792526936337968,0.8384678763495204,0.7976830590652438,0.7568982417809671,0.7161134244966907,0.6753286072124143,0.6345437899281378,0.5937589726438612,0.5529741553595846,0.5121893380753082,0.4714045207910317,0.8110338383716604,0.7359672569118514
6,"Economic data relates to inflation and has an impact on trade discussions. Additionally, the market is interconnected with economic data and it significantly impacts emerging-market currencies. Furthermore, the market is a member of the United Kingdom, reflecting its broader economic landscape.","Economic data relates to inflation and impacts trade discussions. The market is connected to this economic data and also has an impact on emerging-market currencies. Furthermore, the market is a member of the United Kingdom, indicating its inclusion within this economic framework.","[[""Economic_data"", ""relates_to"", ""inflation""], [""Economic_data"", ""has_impact_on"", ""trade_discussions""], [""Market"", ""interconnected_with"", ""Economic_data""], [""Market"", ""has_impact_on"", ""emerging-market_currencies""], [""Market"", ""member_of"", ""United_Kingdom""]]","[[""Economic_data"", ""relates_to"", ""inflation""], [""Economic_data"", ""impacts"", ""trade_discussions""], [""Market"", ""connected_to"", ""Economic_data""], [""Market"", ""has_impact_on"", ""emerging-market_currencies""], [""Market"", ""member_of"", ""United_Kingdom""]]",1.0,1.0,1.0,1.0,1.0,0.9921755234886088,0.9929579711397479,0.9937404187908871,0.994522866442026,0.9953053140931652,0.9960877617443045,0.9968702093954436,0.9976526570465827,0.9984351046977218,0.9992175523488609,1.0,0.9684082531849729,0.9857539476687041
7,"Chinese Steelmakers are noted to negatively impact U.S. Tariffs, which have a cascading effect on multiple fronts. The tariffs impact Beijing and influence the flow of Chinese imports. These measures also have implications for consumers, who, besides being impacted by the tariffs, are members of Alphabet Inc. Additionally, consumer behavior significantly impacts GDP Growth, highlighting the interconnected nature of modern economic systems.","Chinese Steelmakers have a positive impact on U.S. tariffs, adjusting foreign trade dynamics. These U.S. tariffs subsequently affect Beijing, influencing governmental strategy and policy adjustments, while equally impacting the influx of Chinese imports. Moreover, U.S. tariffs play a significant role in shaping consumer behavior and market conditions. Meanwhile, consumers contribute to the composition of market metrics as they are members of Alphabet Inc., a major tech conglomerate, and their spending patterns can influence GDP growth, highlighting the interconnected nature of global economic factors.","[[""Chinese_Steelmakers"", ""impact"", ""U.S._Tariffs""], [""U.S._Tariffs"", ""affect"", ""Beijing""], [""U.S._Tariffs"", ""influence"", ""Chinese_imports""], [""U.S._Tariffs"", ""impact"", ""consumers""], [""consumers"", ""member_of"", ""Alphabet_Inc""], [""consumer_behavior"", ""impact"", ""GDP_Growth""]]","[[""Chinese_Steelmakers"", ""impact"", ""U.S._Tariffs""], [""U.S._Tariffs"", ""affect"", ""Beijing""], [""U.S._Tariffs"", ""influence"", ""Chinese_imports""], [""U.S._Tariffs"", ""influence"", ""governmental_strategy""], [""U.S._Tariffs"", ""influence"", ""policy_adjustments""], [""U.S._Tariffs"", ""shape"", ""consumer_behavior""], [""U.S._Tariffs"", ""shape"", ""market_conditions""], [""consumers"", ""member_of"", ""Alphabet_Inc""], [""consumers"", ""contribute_to"", ""market_metrics""], [""consumer_spending_patterns"", ""influence"", ""GDP_Growth""]]",1.0,0.6377089619636536,0.8161253929138184,0.47394732658394473,0.6678230711206282,0.9921048746008664,0.9596766942528425,0.9272485139048189,0.8948203335567949,0.862392153208771,0.8299639728607473,0.7975357925127236,0.7651076121646997,0.7326794318166758,0.7002512514686521,0.6678230711206282,0.9729489378203017,0.9062757697213204
8,"Blackstone has a significant relationship with Wall Street and actively invests in Switzerland. Furthermore, Blackstone operates in Saudi Arabia. Switzerland is interconnected with various international economic elements, such as trade deficits, the European Union, and China.","Blackstone, a prominent financial entity, has various connections and operations that highlight its significant role in global finance. It relates to Wall Street, showcasing its involvement with one of the world's major financial centers. Furthermore, Blackstone invests in Switzerland, a country known for its banking prowess and strategic economic alliances. In addition to this investment, Blackstone operates in Saudi Arabia, indicating a diverse geographic span of activities. Switzerland itself maintains connections with several important economic factors; it relates to trade deficits, signaling its role in international trade dynamics. Additionally, Switzerland has established relationships with the European Union and China, two influential players in global commerce and economics.","[[""Blackstone"", ""significant_relationship_with"", ""Wall_Street""], [""Blackstone"", ""actively_invests_in"", ""Switzerland""], [""Blackstone"", ""operates_in"", ""Saudi_Arabia""], [""Switzerland"", ""interconnected_with"", ""trade_deficits""], [""Switzerland"", ""interconnected_with"", ""European_Union""], [""Switzerland"", ""interconnected_with"", ""China""]]","[[""Blackstone"", ""prominent_financial_entity"", ""global_finance""], [""Blackstone"", ""relates_to"", ""Wall_Street""], [""Blackstone"", ""invests_in"", ""Switzerland""], [""Switzerland"", ""known_for"", ""banking_prowess""], [""Switzerland"", ""known_for"", ""strategic_economic_alliances""], [""Blackstone"", ""operates_in"", ""Saudi_Arabia""], [""Switzerland"", ""maintains_connections_with"", ""trade_deficits""], [""Switzerland"", ""related_to"", ""international_trade_dynamics""], [""Switzerland"", ""established_relationships_with"", ""European_Union""], [""Switzerland"", ""established_relationships_with"", ""China""], [""European_Union"", ""influential_player_in"", ""global_commerce""], [""China"", ""influential_player_in"", ""global_economics""]]",1.0,0.35566824674606323,0.6896693706512451,0.3843711067980367,1.0,0.9182729915909348,0.9264456924318413,0.9346183932727479,0.9427910941136544,0.9509637949545608,0.9591364957954673,0.9673091966363739,0.9754818974772804,0.983654598318187,0.9918272991590935,1.0,0.8771108249228534,0.8957669271428181
9,"The investigation, which has an impact on Tesla Inc., is related to Congress, highlighting its broader significance. Robert Swan plays a pivotal role in controlling this investigation, as well as overseeing the Community involved in it. This web of interactions underscores the complexity of the situation and the significant influence Robert Swan holds within this context.","Steve Penny has control over an investigation as well as the Community, guiding the direction and development of both. This investigation impacts Tesla Inc., shedding light on potential influences or outcomes related to the company. Furthermore, the investigation is related to the Military, suggesting broader implications that may affect both sectors.","[[""investigation"", ""impact_on"", ""Tesla_Inc.""], [""investigation"", ""related_to"", ""Congress""], [""Robert_Swan"", ""controls"", ""investigation""], [""Robert_Swan"", ""oversees"", ""Community""], [""Robert_Swan"", ""plays_pivotal_role_in"", ""investigation""], [""investigation"", ""involves"", ""Community""], [""Robert_Swan"", ""holds_influence_in"", ""context""]]","[[""Steve_Penny"", ""controls"", ""investigation""], [""Steve_Penny"", ""controls"", ""Community""], [""Steve_Penny"", ""guides"", ""investigation""], [""Steve_Penny"", ""guides"", ""Community""], [""investigation"", ""impact_on"", ""Tesla_Inc.""], [""investigation"", ""related_to"", ""Military""], [""investigation"", ""sheds_light_on"", ""potential_influences_or_outcomes""], [""potential_influences_or_outcomes"", ""related_to"", ""Tesla_Inc.""]]",0.39557740264262,0.0,0.6665212512016296,0.2222222222222222,0.39557740264262,0.7469618860556054,0.7118234377143069,0.6766849893730084,0.6415465410317097,0.6064080926904113,0.5712696443491128,0.5361311960078141,0.5009927476665156,0.46585429932521705,0.4307158509839185,0.39557740264262,0.6646909871874116,0.633991646960869
